Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Patriots,                    386                  ,                    4977                  ,                    12.9                  ,                    26                  ,                    79                  ,                    9                  ,                    58                  ,                    245                  ,                    63.5                  ,                    0                  ,                    63                  ,2011
Cowboys,                    336                  ,                    4149                  ,                    12.4                  ,                    24                  ,                    57                  ,                    9                  ,                    74T                  ,                    199                  ,                    59.2                  ,                    4                  ,                    59                  ,2011
Packers,                    390                  ,                    4988                  ,                    12.8                  ,                    29                  ,                    71                  ,                    10                  ,                    72                  ,                    246                  ,                    63.1                  ,                    8                  ,                    102                  ,2011
Chargers,                    299                  ,                    3778                  ,                    12.6                  ,                    29                  ,                    53                  ,                    10                  ,                    78                  ,                    186                  ,                    62.2                  ,                    3                  ,                    67                  ,2011
Falcons,                    340                  ,                    4017                  ,                    11.8                  ,                    25                  ,                    56                  ,                    12                  ,                    70T                  ,                    186                  ,                    54.7                  ,                    4                  ,                    86                  ,2011
Buccaneers,                    301                  ,                    3962                  ,                    13.2                  ,                    30                  ,                    49                  ,                    12                  ,                    91T                  ,                    188                  ,                    62.5                  ,                    3                  ,                    61                  ,2011
Giants,                    361                  ,                    4417                  ,                    12.2                  ,                    28                  ,                    60                  ,                    7                  ,                    74                  ,                    210                  ,                    58.2                  ,                    1                  ,                    86                  ,2011
Bills,                    321                  ,                    3924                  ,                    12.2                  ,                    30                  ,                    48                  ,                    11                  ,                    65T                  ,                    196                  ,                    61.1                  ,                    2                  ,                    70                  ,2011
Titans,                    369                  ,                    3809                  ,                    10.3                  ,                    21                  ,                    54                  ,                    4                  ,                    78T                  ,                    187                  ,                    50.7                  ,                    5                  ,                    76                  ,2011
Redskins,                    308                  ,                    3804                  ,                    12.4                  ,                    22                  ,                    58                  ,                    9                  ,                    73T                  ,                    180                  ,                    58.4                  ,                    5                  ,                    78                  ,2011
Steelers,                    289                  ,                    2981                  ,                    10.3                  ,                    15                  ,                    34                  ,                    2                  ,                    73T                  ,                    156                  ,                    54                  ,                    1                  ,                    73                  ,2011
Eagles,                    301                  ,                    3713                  ,                    12.3                  ,                    27                  ,                    53                  ,                    13                  ,                    74T                  ,                    173                  ,                    57.5                  ,                    3                  ,                    67                  ,2011
Browns,                    265                  ,                    3158                  ,                    11.9                  ,                    16                  ,                    43                  ,                    8                  ,                    80T                  ,                    149                  ,                    56.2                  ,                    4                  ,                    71                  ,2011
Raiders,                    324                  ,                    4262                  ,                    13.2                  ,                    31                  ,                    58                  ,                    11                  ,                    81                  ,                    206                  ,                    63.6                  ,                    3                  ,                    91                  ,2011
Ravens,                    288                  ,                    3430                  ,                    11.9                  ,                    11                  ,                    46                  ,                    8                  ,                    66                  ,                    166                  ,                    57.6                  ,                    6                  ,                    112                  ,2011
Panthers,                    318                  ,                    4119                  ,                    13                  ,                    28                  ,                    52                  ,                    11                  ,                    84T                  ,                    191                  ,                    60.1                  ,                    4                  ,                    74                  ,2011
Jets,                    275                  ,                    3414                  ,                    12.4                  ,                    15                  ,                    43                  ,                    10                  ,                    99T                  ,                    167                  ,                    60.7                  ,                    2                  ,                    76                  ,2011
Bengals,                    319                  ,                    3662                  ,                    11.5                  ,                    21                  ,                    46                  ,                    7                  ,                    74T                  ,                    170                  ,                    53.3                  ,                    8                  ,                    75                  ,2011
Cardinals,                    340                  ,                    4000                  ,                    11.8                  ,                    17                  ,                    58                  ,                    7                  ,                    95T                  ,                    174                  ,                    51.2                  ,                    3                  ,                    88                  ,2011
Colts,                    351                  ,                    3824                  ,                    10.9                  ,                    25                  ,                    45                  ,                    6                  ,                    81T                  ,                    193                  ,                    55                  ,                    4                  ,                    48                  ,2011
