Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Cardinals,                    343                  ,                    3796                  ,                    11.1                  ,                    24                  ,                    44                  ,                    8                  ,                    72T                  ,                    187                  ,                    54.5                  ,                    3                  ,                    74                  ,2017
Broncos,                    294                  ,                    3385                  ,                    11.5                  ,                    29                  ,                    47                  ,                    6                  ,                    64T                  ,                    166                  ,                    56.5                  ,                    3                  ,                    62                  ,2017
Jets,                    329                  ,                    3904                  ,                    11.9                  ,                    30                  ,                    61                  ,                    8                  ,                    79T                  ,                    191                  ,                    58                  ,                    5                  ,                    62                  ,2017
Rams,                    324                  ,                    3799                  ,                    11.7                  ,                    21                  ,                    54                  ,                    6                  ,                    65T                  ,                    181                  ,                    55.9                  ,                    3                  ,                    96                  ,2017
Jaguars,                    289                  ,                    3074                  ,                    10.6                  ,                    17                  ,                    40                  ,                    12                  ,                    74T                  ,                    143                  ,                    49.5                  ,                    1                  ,                    81                  ,2017
Browns,                    360                  ,                    3881                  ,                    10.8                  ,                    28                  ,                    48                  ,                    7                  ,                    61T                  ,                    189                  ,                    52.5                  ,                    7                  ,                    73                  ,2017
Cowboys,                    371                  ,                    3746                  ,                    10.1                  ,                    28                  ,                    43                  ,                    6                  ,                    56T                  ,                    181                  ,                    48.8                  ,                    3                  ,                    64                  ,2017
Titans,                    369                  ,                    4100                  ,                    11.1                  ,                    27                  ,                    37                  ,                    7                  ,                    80T                  ,                    231                  ,                    62.6                  ,                    5                  ,                    74                  ,2017
Bengals,                    336                  ,                    3657                  ,                    10.9                  ,                    20                  ,                    45                  ,                    8                  ,                    72                  ,                    173                  ,                    51.5                  ,                    1                  ,                    73                  ,2017
Texans,                    321                  ,                    3999                  ,                    12.5                  ,                    30                  ,                    53                  ,                    17                  ,                    94T                  ,                    176                  ,                    54.8                  ,                    2                  ,                    58                  ,2017
Panthers,                    351                  ,                    3969                  ,                    11.3                  ,                    25                  ,                    49                  ,                    8                  ,                    70                  ,                    187                  ,                    53.3                  ,                    4                  ,                    56                  ,2017
Bears,                    343                  ,                    3653                  ,                    10.6                  ,                    18                  ,                    36                  ,                    8                  ,                    88T                  ,                    180                  ,                    52.5                  ,                    4                  ,                    69                  ,2017
Bills,                    370                  ,                    3844                  ,                    10.4                  ,                    14                  ,                    42                  ,                    3                  ,                    77T                  ,                    199                  ,                    53.8                  ,                    7                  ,                    82                  ,2017
Colts,                    320                  ,                    4123                  ,                    12.9                  ,                    23                  ,                    64                  ,                    11                  ,                    67                  ,                    192                  ,                    60                  ,                    4                  ,                    69                  ,2017
Steelers,                    362                  ,                    4044                  ,                    11.2                  ,                    27                  ,                    53                  ,                    7                  ,                    71                  ,                    200                  ,                    55.2                  ,                    2                  ,                    69                  ,2018
Colts,                    384                  ,                    4033                  ,                    10.5                  ,                    21                  ,                    41                  ,                    4                  ,                    80T                  ,                    203                  ,                    52.9                  ,                    7                  ,                    61                  ,2018
Falcons,                    398                  ,                    4408                  ,                    11.1                  ,                    33                  ,                    46                  ,                    7                  ,                    58                  ,                    226                  ,                    56.8                  ,                    1                  ,                    72                  ,2018
Vikings,                    315                  ,                    3501                  ,                    11.1                  ,                    15                  ,                    43                  ,                    10                  ,                    70T                  ,                    160                  ,                    50.8                  ,                    1                  ,                    63                  ,2018
Eagles,                    417                  ,                    4619                  ,                    11.1                  ,                    22                  ,                    60                  ,                    6                  ,                    75T                  ,                    215                  ,                    51.6                  ,                    3                  ,                    68                  ,2018
Buccaneers,                    387                  ,                    4383                  ,                    11.3                  ,                    34                  ,                    56                  ,                    6                  ,                    75T                  ,                    209                  ,                    54                  ,                    4                  ,                    56                  ,2018
Packers,                    336                  ,                    4074                  ,                    12.1                  ,                    30                  ,                    54                  ,                    7                  ,                    75T                  ,                    199                  ,                    59.2                  ,                    3                  ,                    59                  ,2018
Chiefs,                    406                  ,                    4721                  ,                    11.6                  ,                    30                  ,                    65                  ,                    8                  ,                    49                  ,                    247                  ,                    60.8                  ,                    3                  ,                    64                  ,2018
Raiders,                    299                  ,                    3933                  ,                    13.2                  ,                    36                  ,                    58                  ,                    15                  ,                    89T                  ,                    178                  ,                    59.5                  ,                    1                  ,                    73                  ,2018
Giants,                    362                  ,                    4229                  ,                    11.7                  ,                    24                  ,                    61                  ,                    8                  ,                    79T                  ,                    205                  ,                    56.6                  ,                    4                  ,                    76                  ,2018
Saints,                    384                  ,                    4623                  ,                    12                  ,                    30                  ,                    57                  ,                    14                  ,                    75T                  ,                    224                  ,                    58.3                  ,                    9                  ,                    69                  ,2018
Panthers,                    353                  ,                    4062                  ,                    11.5                  ,                    32                  ,                    51                  ,                    12                  ,                    75T                  ,                    185                  ,                    52.4                  ,                    2                  ,                    71                  ,2018
Patriots,                    370                  ,                    4181                  ,                    11.3                  ,                    29                  ,                    57                  ,                    9                  ,                    75T                  ,                    208                  ,                    56.2                  ,                    5                  ,                    67                  ,2018
Lions,                    323                  ,                    3897                  ,                    12.1                  ,                    29                  ,                    50                  ,                    10                  ,                    82                  ,                    191                  ,                    59.1                  ,                    2                  ,                    48                  ,2018
Rams,                    347                  ,                    4106                  ,                    11.8                  ,                    31                  ,                    59                  ,                    14                  ,                    73T                  ,                    185                  ,                    53.3                  ,                    2                  ,                    68                  ,2018
Broncos,                    353                  ,                    4240                  ,                    12                  ,                    26                  ,                    56                  ,                    9                  ,                    97T                  ,                    197                  ,                    55.8                  ,                    3                  ,                    82                  ,2018
Cowboys,                    367                  ,                    3984                  ,                    10.9                  ,                    22                  ,                    43                  ,                    7                  ,                    53T                  ,                    193                  ,                    52.6                  ,                    5                  ,                    66                  ,2018
Browns,                    393                  ,                    4370                  ,                    11.1                  ,                    21                  ,                    51                  ,                    8                  ,                    67                  ,                    216                  ,                    55                  ,                    8                  ,                    78                  ,2018
Chargers,                    351                  ,                    3886                  ,                    11.1                  ,                    23                  ,                    52                  ,                    9                  ,                    82T                  ,                    178                  ,                    50.7                  ,                    3                  ,                    73                  ,2018
Texans,                    385                  ,                    4477                  ,                    11.6                  ,                    28                  ,                    55                  ,                    13                  ,                    83T                  ,                    200                  ,                    52                  ,                    6                  ,                    90                  ,2018
Bears,                    377                  ,                    3854                  ,                    10.2                  ,                    22                  ,                    39                  ,                    9                  ,                    75T                  ,                    186                  ,                    49.3                  ,                    4                  ,                    98                  ,2018
Ravens,                    337                  ,                    3651                  ,                    10.8                  ,                    21                  ,                    44                  ,                    7                  ,                    64                  ,                    174                  ,                    51.6                  ,                    4                  ,                    89                  ,2018
Bengals,                    389                  ,                    4587                  ,                    11.8                  ,                    32                  ,                    60                  ,                    13                  ,                    72T                  ,                    221                  ,                    56.8                  ,                    3                  ,                    75                  ,2018
49ers,                    344                  ,                    3959                  ,                    11.5                  ,                    35                  ,                    49                  ,                    9                  ,                    75T                  ,                    195                  ,                    56.7                  ,                    4                  ,                    39                  ,2018
Jaguars,                    312                  ,                    3354                  ,                    10.8                  ,                    17                  ,                    37                  ,                    6                  ,                    78T                  ,                    162                  ,                    51.9                  ,                    0                  ,                    52                  ,2018
Redskins,                    362                  ,                    4091                  ,                    11.3                  ,                    27                  ,                    52                  ,                    9                  ,                    90T                  ,                    197                  ,                    54.4                  ,                    9                  ,                    60                  ,2018
Jets,                    367                  ,                    4358                  ,                    11.9                  ,                    29                  ,                    58                  ,                    11                  ,                    70T                  ,                    201                  ,                    54.8                  ,                    3                  ,                    76                  ,2018
Titans,                    337                  ,                    3719                  ,                    11                  ,                    21                  ,                    48                  ,                    7                  ,                    75T                  ,                    182                  ,                    54                  ,                    4                  ,                    64                  ,2018
Dolphins,                    335                  ,                    4141                  ,                    12.4                  ,                    31                  ,                    59                  ,                    11                  ,                    73T                  ,                    195                  ,                    58.2                  ,                    7                  ,                    59                  ,2018
Cardinals,                    342                  ,                    3595                  ,                    10.5                  ,                    21                  ,                    37                  ,                    5                  ,                    64T                  ,                    186                  ,                    54.4                  ,                    5                  ,                    52                  ,2018
Seahawks,                    355                  ,                    4103                  ,                    11.6                  ,                    26                  ,                    58                  ,                    8                  ,                    75T                  ,                    201                  ,                    56.6                  ,                    5                  ,                    64                  ,2018
Bills,                    313                  ,                    3084                  ,                    9.8                  ,                    22                  ,                    36                  ,                    2                  ,                    43                  ,                    157                  ,                    50.2                  ,                    4                  ,                    73                  ,2018
Falcons,                    351                  ,                    4137                  ,                    11.8                  ,                    28                  ,                    56                  ,                    9                  ,                    71T                  ,                    192                  ,                    54.7                  ,                    3                  ,                    57                  ,2019
Saints,                    371                  ,                    4201                  ,                    11.3                  ,                    27                  ,                    54                  ,                    13                  ,                    75T                  ,                    197                  ,                    53.1                  ,                    2                  ,                    78                  ,2019
Rams,                    348                  ,                    3928                  ,                    11.3                  ,                    23                  ,                    40                  ,                    6                  ,                    67T                  ,                    194                  ,                    55.8                  ,                    5                  ,                    76                  ,2019
Chargers,                    328                  ,                    3394                  ,                    10.4                  ,                    21                  ,                    41                  ,                    6                  ,                    70T                  ,                    156                  ,                    47.6                  ,                    1                  ,                    45                  ,2019
Eagles,                    348                  ,                    4136                  ,                    11.9                  ,                    27                  ,                    49                  ,                    15                  ,                    75T                  ,                    185                  ,                    53.2                  ,                    3                  ,                    82                  ,2019
Cowboys,                    370                  ,                    3879                  ,                    10.5                  ,                    21                  ,                    55                  ,                    5                  ,                    92T                  ,                    188                  ,                    50.8                  ,                    3                  ,                    71                  ,2019
Panthers,                    347                  ,                    3997                  ,                    11.5                  ,                    21                  ,                    53                  ,                    7                  ,                    93T                  ,                    197                  ,                    56.8                  ,                    0                  ,                    67                  ,2019
Buccaneers,                    408                  ,                    4647                  ,                    11.4                  ,                    30                  ,                    57                  ,                    14                  ,                    75T                  ,                    222                  ,                    54.4                  ,                    5                  ,                    96                  ,2019
Chiefs,                    352                  ,                    3881                  ,                    11                  ,                    21                  ,                    46                  ,                    7                  ,                    69                  ,                    190                  ,                    54                  ,                    2                  ,                    65                  ,2019
Patriots,                    303                  ,                    3214                  ,                    10.6                  ,                    13                  ,                    42                  ,                    5                  ,                    64T                  ,                    150                  ,                    49.5                  ,                    6                  ,                    89                  ,2019
Giants,                    369                  ,                    4471                  ,                    12.1                  ,                    30                  ,                    67                  ,                    15                  ,                    62                  ,                    211                  ,                    57.2                  ,                    3                  ,                    65                  ,2019
Bears,                    362                  ,                    3796                  ,                    10.5                  ,                    17                  ,                    40                  ,                    7                  ,                    75T                  ,                    190                  ,                    52.5                  ,                    4                  ,                    67                  ,2019
Dolphins,                    344                  ,                    4353                  ,                    12.6                  ,                    39                  ,                    68                  ,                    6                  ,                    83T                  ,                    214                  ,                    62.2                  ,                    2                  ,                    66                  ,2019
Raiders,                    337                  ,                    4355                  ,                    12.9                  ,                    33                  ,                    68                  ,                    16                  ,                    91T                  ,                    201                  ,                    59.6                  ,                    2                  ,                    67                  ,2019
Jaguars,                    327                  ,                    4088                  ,                    12.5                  ,                    22                  ,                    60                  ,                    12                  ,                    84T                  ,                    193                  ,                    59                  ,                    2                  ,                    60                  ,2019
Bengals,                    308                  ,                    4121                  ,                    13.4                  ,                    25                  ,                    70                  ,                    12                  ,                    79T                  ,                    183                  ,                    59.4                  ,                    4                  ,                    58                  ,2019
Packers,                    326                  ,                    4016                  ,                    12.3                  ,                    19                  ,                    56                  ,                    15                  ,                    66                  ,                    191                  ,                    58.6                  ,                    4                  ,                    74                  ,2019
Texans,                    375                  ,                    4491                  ,                    12                  ,                    33                  ,                    58                  ,                    12                  ,                    65T                  ,                    220                  ,                    58.7                  ,                    1                  ,                    75                  ,2019
Cardinals,                    421                  ,                    4785                  ,                    11.4                  ,                    38                  ,                    72                  ,                    7                  ,                    57                  ,                    243                  ,                    57.7                  ,                    5                  ,                    56                  ,2019
Lions,                    381                  ,                    4739                  ,                    12.4                  ,                    33                  ,                    72                  ,                    10                  ,                    66                  ,                    232                  ,                    60.9                  ,                    5                  ,                    73                  ,2019
Seahawks,                    383                  ,                    4407                  ,                    11.5                  ,                    19                  ,                    53                  ,                    6                  ,                    58T                  ,                    224                  ,                    58.5                  ,                    7                  ,                    74                  ,2019
49ers,                    318                  ,                    3074                  ,                    9.7                  ,                    23                  ,                    34                  ,                    5                  ,                    88T                  ,                    150                  ,                    47.2                  ,                    7                  ,                    75                  ,2019
Jets,                    363                  ,                    4001                  ,                    11                  ,                    25                  ,                    51                  ,                    7                  ,                    89T                  ,                    187                  ,                    51.5                  ,                    2                  ,                    67                  ,2019
Vikings,                    394                  ,                    4099                  ,                    10.4                  ,                    23                  ,                    47                  ,                    7                  ,                    60T                  ,                    215                  ,                    54.6                  ,                    9                  ,                    83                  ,2019
Browns,                    318                  ,                    3740                  ,                    11.8                  ,                    25                  ,                    48                  ,                    8                  ,                    75T                  ,                    184                  ,                    57.9                  ,                    3                  ,                    64                  ,2019
Steelers,                    314                  ,                    3455                  ,                    11                  ,                    23                  ,                    43                  ,                    6                  ,                    58T                  ,                    164                  ,                    52.2                  ,                    3                  ,                    83                  ,2019
Broncos,                    348                  ,                    3822                  ,                    11                  ,                    19                  ,                    46                  ,                    10                  ,                    75                  ,                    175                  ,                    50.3                  ,                    5                  ,                    70                  ,2019
Colts,                    394                  ,                    4231                  ,                    10.7                  ,                    29                  ,                    50                  ,                    9                  ,                    61T                  ,                    207                  ,                    52.5                  ,                    4                  ,                    50                  ,2019
Bills,                    348                  ,                    3421                  ,                    9.8                  ,                    15                  ,                    34                  ,                    4                  ,                    61T                  ,                    169                  ,                    48.6                  ,                    9                  ,                    83                  ,2019
Redskins,                    371                  ,                    4093                  ,                    11                  ,                    35                  ,                    56                  ,                    9                  ,                    53T                  ,                    200                  ,                    53.9                  ,                    3                  ,                    52                  ,2019
Titans,                    386                  ,                    4356                  ,                    11.3                  ,                    25                  ,                    55                  ,                    8                  ,                    63T                  ,                    213                  ,                    55.2                  ,                    3                  ,                    72                  ,2019
Ravens,                    318                  ,                    3583                  ,                    11.3                  ,                    15                  ,                    47                  ,                    9                  ,                    83T                  ,                    163                  ,                    51.3                  ,                    6                  ,                    71                  ,2019
Steelers,                    298                  ,                    3494                  ,                    11.7                  ,                    22                  ,                    45                  ,                    7                  ,                    73T                  ,                    163                  ,                    54.7                  ,                    4                  ,                    84                  ,2020
Chiefs,                    349                  ,                    3968                  ,                    11.4                  ,                    29                  ,                    54                  ,                    9                  ,                    72T                  ,                    202                  ,                    57.9                  ,                    8                  ,                    64                  ,2020
Cowboys,                    328                  ,                    3820                  ,                    11.6                  ,                    34                  ,                    51                  ,                    11                  ,                    81T                  ,                    180                  ,                    54.9                  ,                    2                  ,                    46                  ,2020
Chargers,                    340                  ,                    3715                  ,                    10.9                  ,                    29                  ,                    44                  ,                    10                  ,                    54T                  ,                    186                  ,                    54.7                  ,                    2                  ,                    54                  ,2020
Bills,                    369                  ,                    3946                  ,                    10.7                  ,                    23                  ,                    44                  ,                    7                  ,                    69T                  ,                    199                  ,                    53.9                  ,                    5                  ,                    76                  ,2020
Buccaneers,                    426                  ,                    4311                  ,                    10.1                  ,                    29                  ,                    46                  ,                    7                  ,                    75T                  ,                    215                  ,                    50.5                  ,                    4                  ,                    70                  ,2020
Falcons,                    425                  ,                    4918                  ,                    11.6                  ,                    34                  ,                    66                  ,                    9                  ,                    58                  ,                    239                  ,                    56.2                  ,                    4                  ,                    51                  ,2020
Bears,                    350                  ,                    3939                  ,                    11.2                  ,                    28                  ,                    50                  ,                    7                  ,                    72T                  ,                    190                  ,                    54.3                  ,                    4                  ,                    71                  ,2020
Rams,                    347                  ,                    3401                  ,                    9.8                  ,                    17                  ,                    36                  ,                    4                  ,                    59T                  ,                    170                  ,                    49                  ,                    1                  ,                    68                  ,2020
FootballTeam,                    330                  ,                    3393                  ,                    10.3                  ,                    21                  ,                    35                  ,                    11                  ,                    56T                  ,                    161                  ,                    48.8                  ,                    1                  ,                    66                  ,2020
Seahawks,                    450                  ,                    4811                  ,                    10.7                  ,                    23                  ,                    55                  ,                    9                  ,                    52                  ,                    253                  ,                    56.2                  ,                    2                  ,                    80                  ,2020
Jaguars,                    370                  ,                    4322                  ,                    11.7                  ,                    34                  ,                    52                  ,                    9                  ,                    78T                  ,                    210                  ,                    56.8                  ,                    4                  ,                    60                  ,2020
Cardinals,                    365                  ,                    3949                  ,                    10.8                  ,                    26                  ,                    48                  ,                    5                  ,                    76T                  ,                    207                  ,                    56.7                  ,                    1                  ,                    57                  ,2020
Texans,                    377                  ,                    4325                  ,                    11.5                  ,                    30                  ,                    52                  ,                    11                  ,                    73T                  ,                    222                  ,                    58.9                  ,                    1                  ,                    50                  ,2020
Lions,                    383                  ,                    4753                  ,                    12.4                  ,                    38                  ,                    66                  ,                    8                  ,                    75T                  ,                    253                  ,                    66.1                  ,                    7                  ,                    51                  ,2020
Panthers,                    398                  ,                    4024                  ,                    10.1                  ,                    28                  ,                    50                  ,                    6                  ,                    50                  ,                    211                  ,                    53                  ,                    3                  ,                    58                  ,2020
Bengals,                    340                  ,                    3942                  ,                    11.6                  ,                    32                  ,                    56                  ,                    8                  ,                    55                  ,                    192                  ,                    56.5                  ,                    6                  ,                    80                  ,2020
Packers,                    346                  ,                    3793                  ,                    11                  ,                    23                  ,                    39                  ,                    9                  ,                    53                  ,                    184                  ,                    53.2                  ,                    5                  ,                    74                  ,2020
