Team,Rsh TD,Rec TD,Tot TD,2-PT,year
Packers,                    9                  ,                    40                  ,                    53                  ,                    1                  ,2012
Chiefs,                    9                  ,                    8                  ,                    18                  ,                    0                  ,2012
Cowboys,                    8                  ,                    29                  ,                    41                  ,                    3                  ,2012
Steelers,                    8                  ,                    27                  ,                    36                  ,                    1                  ,2012
Jaguars,                    5                  ,                    20                  ,                    26                  ,                    3                  ,2012
Rams,                    5                  ,                    22                  ,                    32                  ,                    5                  ,2012
Raiders,                    4                  ,                    24                  ,                    28                  ,                    2                  ,2012
Chargers,                    4                  ,                    26                  ,                    39                  ,                    0                  ,2012
Vikings,                    23                  ,                    18                  ,                    45                  ,                    0                  ,2013
Patriots,                    19                  ,                    25                  ,                    47                  ,                    2                  ,2013
Eagles,                    19                  ,                    32                  ,                    53                  ,                    3                  ,2013
Niners,                    18                  ,                    21                  ,                    44                  ,                    0                  ,2013
Packers,                    17                  ,                    25                  ,                    46                  ,                    0                  ,2013
Chiefs,                    17                  ,                    24                  ,                    52                  ,                    0                  ,2013
Broncos,                    16                  ,                    55                  ,                    76                  ,                    0                  ,2013
Titans,                    16                  ,                    22                  ,                    41                  ,                    0                  ,2013
Raiders,                    16                  ,                    17                  ,                    37                  ,                    0                  ,2013
Bills,                    15                  ,                    16                  ,                    34                  ,                    2                  ,2013
Lions,                    15                  ,                    29                  ,                    48                  ,                    2                  ,2013
Colts,                    15                  ,                    23                  ,                    40                  ,                    4                  ,2013
Panthers,                    14                  ,                    24                  ,                    42                  ,                    0                  ,2013
Bengals,                    14                  ,                    33                  ,                    54                  ,                    0                  ,2013
Seahawks,                    14                  ,                    27                  ,                    45                  ,                    0                  ,2013
Redskins,                    14                  ,                    20                  ,                    39                  ,                    2                  ,2013
Bears,                    13                  ,                    32                  ,                    52                  ,                    5                  ,2013
Cowboys,                    12                  ,                    33                  ,                    51                  ,                    1                  ,2013
Jets,                    12                  ,                    13                  ,                    27                  ,                    0                  ,2013
Cardinals,                    12                  ,                    24                  ,                    41                  ,                    1                  ,2013
Falcons,                    11                  ,                    26                  ,                    40                  ,                    1                  ,2013
Giants,                    11                  ,                    18                  ,                    32                  ,                    1                  ,2013
Rams,                    10                  ,                    22                  ,                    38                  ,                    3                  ,2013
Saints,                    10                  ,                    39                  ,                    49                  ,                    0                  ,2013
Steelers,                    9                  ,                    28                  ,                    41                  ,                    1                  ,2013
Chargers,                    9                  ,                    32                  ,                    42                  ,                    0                  ,2013
Dolphins,                    8                  ,                    24                  ,                    34                  ,                    0                  ,2013
Ravens,                    7                  ,                    19                  ,                    29                  ,                    3                  ,2013
Texans,                    7                  ,                    19                  ,                    28                  ,                    1                  ,2013
Jaguars,                    7                  ,                    16                  ,                    25                  ,                    0                  ,2013
Buccaneers,                    6                  ,                    22                  ,                    31                  ,                    0                  ,2013
Browns,                    4                  ,                    26                  ,                    35                  ,                    1                  ,2013
Seahawks,                    20                  ,                    20                  ,                    43                  ,                    0                  ,2014
Bengals,                    19                  ,                    20                  ,                    40                  ,                    1                  ,2014
Chiefs,                    18                  ,                    18                  ,                    40                  ,                    0                  ,2014
Browns,                    17                  ,                    12                  ,                    32                  ,                    0                  ,2014
Ravens,                    16                  ,                    27                  ,                    46                  ,                    1                  ,2014
Cowboys,                    16                  ,                    37                  ,                    56                  ,                    0                  ,2014
Saints,                    16                  ,                    33                  ,                    49                  ,                    0                  ,2014
Eagles,                    16                  ,                    27                  ,                    54                  ,                    0                  ,2014
Broncos,                    15                  ,                    40                  ,                    58                  ,                    2                  ,2014
Redskins,                    15                  ,                    18                  ,                    33                  ,                    0                  ,2014
Packers,                    14                  ,                    38                  ,                    58                  ,                    1                  ,2014
Patriots,                    13                  ,                    34                  ,                    52                  ,                    0                  ,2014
Giants,                    13                  ,                    30                  ,                    44                  ,                    0                  ,2014
Texans,                    12                  ,                    22                  ,                    40                  ,                    0                  ,2014
Dolphins,                    12                  ,                    27                  ,                    42                  ,                    1                  ,2014
Vikings,                    12                  ,                    17                  ,                    35                  ,                    4                  ,2014
Falcons,                    11                  ,                    28                  ,                    42                  ,                    1                  ,2014
Lions,                    11                  ,                    22                  ,                    35                  ,                    1                  ,2014
Rams,                    11                  ,                    20                  ,                    36                  ,                    1                  ,2014
Jets,                    11                  ,                    16                  ,                    27                  ,                    0                  ,2014
Panthers,                    10                  ,                    23                  ,                    36                  ,                    1                  ,2014
Steelers,                    10                  ,                    33                  ,                    49                  ,                    4                  ,2014
Niners,                    10                  ,                    20                  ,                    33                  ,                    0                  ,2014
Colts,                    9                  ,                    42                  ,                    53                  ,                    0                  ,2014
Jaguars,                    9                  ,                    15                  ,                    27                  ,                    1                  ,2014
Bears,                    8                  ,                    30                  ,                    40                  ,                    5                  ,2014
Bills,                    7                  ,                    23                  ,                    34                  ,                    2                  ,2014
Buccaneers,                    7                  ,                    21                  ,                    31                  ,                    0                  ,2014
Titans,                    6                  ,                    20                  ,                    28                  ,                    0                  ,2014
Cardinals,                    6                  ,                    21                  ,                    32                  ,                    2                  ,2014
Chargers,                    6                  ,                    31                  ,                    40                  ,                    0                  ,2014
Raiders,                    4                  ,                    22                  ,                    28                  ,                    0                  ,2014
Bills,                    19                  ,                    23                  ,                    45                  ,                    2                  ,2015
Panthers,                    19                  ,                    35                  ,                    59                  ,                    0                  ,2015
Chiefs,                    19                  ,                    20                  ,                    45                  ,                    2                  ,2015
Bengals,                    18                  ,                    31                  ,                    50                  ,                    1                  ,2015
Vikings,                    18                  ,                    14                  ,                    38                  ,                    1                  ,2015
Rams,                    16                  ,                    11                  ,                    31                  ,                    1                  ,2015
Saints,                    16                  ,                    32                  ,                    51                  ,                    1                  ,2015
Cardinals,                    16                  ,                    35                  ,                    58                  ,                    0                  ,2015
Steelers,                    16                  ,                    26                  ,                    45                  ,                    8                  ,2015
Eagles,                    15                  ,                    23                  ,                    45                  ,                    0                  ,2015
Patriots,                    14                  ,                    36                  ,                    52                  ,                    0                  ,2015
Falcons,                    13                  ,                    21                  ,                    38                  ,                    1                  ,2015
Bears,                    13                  ,                    21                  ,                    34                  ,                    2                  ,2015
Broncos,                    13                  ,                    19                  ,                    38                  ,                    0                  ,2015
Buccaneers,                    12                  ,                    22                  ,                    37                  ,                    1                  ,2015
Dolphins,                    11                  ,                    24                  ,                    39                  ,                    2                  ,2015
Jets,                    11                  ,                    33                  ,                    44                  ,                    0                  ,2015
Titans,                    10                  ,                    25                  ,                    37                  ,                    3                  ,2015
Seahawks,                    10                  ,                    34                  ,                    49                  ,                    1                  ,2015
Redskins,                    9                  ,                    30                  ,                    44                  ,                    2                  ,2015
Ravens,                    8                  ,                    21                  ,                    33                  ,                    1                  ,2015
Cowboys,                    8                  ,                    16                  ,                    26                  ,                    1                  ,2015
Packers,                    8                  ,                    31                  ,                    42                  ,                    4                  ,2015
Lions,                    7                  ,                    33                  ,                    42                  ,                    0                  ,2015
Texans,                    7                  ,                    29                  ,                    39                  ,                    2                  ,2015
Raiders,                    7                  ,                    34                  ,                    42                  ,                    1                  ,2015
Niners,                    7                  ,                    16                  ,                    24                  ,                    1                  ,2015
Colts,                    6                  ,                    26                  ,                    37                  ,                    1                  ,2015
Browns,                    5                  ,                    20                  ,                    28                  ,                    2                  ,2015
Jaguars,                    5                  ,                    35                  ,                    44                  ,                    1                  ,2015
Giants,                    5                  ,                    36                  ,                    47                  ,                    1                  ,2015
Chargers,                    4                  ,                    30                  ,                    35                  ,                    2                  ,2015
Bills,                    29                  ,                    17                  ,                    49                  ,                    4                  ,2016
Cowboys,                    24                  ,                    25                  ,                    49                  ,                    0                  ,2016
Falcons,                    20                  ,                    38                  ,                    63                  ,                    2                  ,2016
Cardinals,                    20                  ,                    28                  ,                    51                  ,                    1                  ,2016
Patriots,                    19                  ,                    32                  ,                    51                  ,                    1                  ,2016
Bengals,                    17                  ,                    18                  ,                    35                  ,                    0                  ,2016
Raiders,                    17                  ,                    29                  ,                    47                  ,                    5                  ,2016
Saints,                    17                  ,                    38                  ,                    55                  ,                    2                  ,2016
Redskins,                    17                  ,                    25                  ,                    43                  ,                    0                  ,2016
Panthers,                    16                  ,                    21                  ,                    40                  ,                    3                  ,2016
Titans,                    16                  ,                    29                  ,                    46                  ,                    0                  ,2016
Eagles,                    16                  ,                    16                  ,                    37                  ,                    4                  ,2016
Chiefs,                    15                  ,                    19                  ,                    42                  ,                    2                  ,2016
49ers,                    15                  ,                    21                  ,                    36                  ,                    2                  ,2016
Dolphins,                    14                  ,                    27                  ,                    45                  ,                    1                  ,2016
Browns,                    13                  ,                    15                  ,                    29                  ,                    2                  ,2016
Colts,                    13                  ,                    32                  ,                    47                  ,                    2                  ,2016
Steelers,                    13                  ,                    33                  ,                    47                  ,                    3                  ,2016
Seahawks,                    13                  ,                    23                  ,                    37                  ,                    1                  ,2016
Broncos,                    11                  ,                    20                  ,                    35                  ,                    1                  ,2016
Packers,                    11                  ,                    40                  ,                    51                  ,                    2                  ,2016
Ravens,                    10                  ,                    20                  ,                    32                  ,                    4                  ,2016
Bears,                    10                  ,                    19                  ,                    32                  ,                    0                  ,2016
Jets,                    10                  ,                    16                  ,                    28                  ,                    1                  ,2016
Chargers,                    10                  ,                    33                  ,                    48                  ,                    0                  ,2016
Lions,                    9                  ,                    24                  ,                    36                  ,                    1                  ,2016
Rams,                    9                  ,                    14                  ,                    24                  ,                    0                  ,2016
Vikings,                    9                  ,                    20                  ,                    36                  ,                    1                  ,2016
Texans,                    8                  ,                    15                  ,                    25                  ,                    0                  ,2016
Jaguars,                    8                  ,                    24                  ,                    34                  ,                    2                  ,2016
Buccaneers,                    8                  ,                    29                  ,                    41                  ,                    4                  ,2016
Giants,                    6                  ,                    26                  ,                    36                  ,                    0                  ,2016
Saints,                    23                  ,                    23                  ,                    51                  ,                    1                  ,2017
Cowboys,                    18                  ,                    22                  ,                    42                  ,                    0                  ,2017
Titans,                    18                  ,                    14                  ,                    33                  ,                    0                  ,2017
Jaguars,                    18                  ,                    21                  ,                    47                  ,                    3                  ,2017
Rams,                    17                  ,                    28                  ,                    51                  ,                    0                  ,2017
Patriots,                    16                  ,                    32                  ,                    49                  ,                    2                  ,2017
Panthers,                    15                  ,                    22                  ,                    40                  ,                    1                  ,2017
