Team,Rsh TD,Rec TD,Tot TD,2-PT,year
Giants,                    21                  ,                    17                  ,                    40                  ,                    3                  ,2022
49ers,                    20                  ,                    30                  ,                    53                  ,                    0                  ,2022
Browns,                    19                  ,                    19                  ,                    42                  ,                    1                  ,2022
Bears,                    18                  ,                    19                  ,                    37                  ,                    1                  ,2022
Chiefs,                    18                  ,                    41                  ,                    61                  ,                    3                  ,2022
Vikings,                    18                  ,                    30                  ,                    50                  ,                    3                  ,2022
Falcons,                    17                  ,                    17                  ,                    38                  ,                    3                  ,2022
Panthers,                    16                  ,                    16                  ,                    36                  ,                    1                  ,2022
Titans,                    16                  ,                    16                  ,                    34                  ,                    1                  ,2022
Jaguars,                    16                  ,                    25                  ,                    45                  ,                    4                  ,2022
Steelers,                    16                  ,                    12                  ,                    29                  ,                    3                  ,2022
Bills,                    15                  ,                    35                  ,                    53                  ,                    2                  ,2022
Rams,                    15                  ,                    16                  ,                    32                  ,                    0                  ,2022
Cardinals,                    15                  ,                    17                  ,                    37                  ,                    5                  ,2022
Chargers,                    15                  ,                    26                  ,                    42                  ,                    2                  ,2022
Ravens,                    14                  ,                    19                  ,                    34                  ,                    2                  ,2022
Bengals,                    14                  ,                    35                  ,                    50                  ,                    3                  ,2022
Jets,                    13                  ,                    15                  ,                    29                  ,                    0                  ,2022
Packers,                    12                  ,                    27                  ,                    42                  ,                    2                  ,2022
Raiders,                    12                  ,                    28                  ,                    43                  ,                    0                  ,2022
Dolphins,                    12                  ,                    30                  ,                    46                  ,                    0                  ,2022
Patriots,                    12                  ,                    19                  ,                    39                  ,                    1                  ,2022
Saints,                    12                  ,                    24                  ,                    37                  ,                    3                  ,2022
Seahawks,                    12                  ,                    30                  ,                    44                  ,                    0                  ,2022
Broncos,                    11                  ,                    18                  ,                    29                  ,                    1                  ,2022
Commanders,                    9                  ,                    24                  ,                    36                  ,                    2                  ,2022
Colts,                    8                  ,                    17                  ,                    28                  ,                    1                  ,2022
Texans,                    7                  ,                    20                  ,                    29                  ,                    1                  ,2022
Buccaneers,                    5                  ,                    26                  ,                    32                  ,                    2                  ,2022
Lions,                    27                  ,                    30                  ,                    58                  ,                    3                  ,2023
Dolphins,                    27                  ,                    30                  ,                    61                  ,                    0                  ,2023
49ers,                    27                  ,                    33                  ,                    61                  ,                    0                  ,2023
Ravens,                    26                  ,                    27                  ,                    55                  ,                    2                  ,2023
Bills,                    22                  ,                    29                  ,                    54                  ,                    3                  ,2023
Eagles,                    22                  ,                    24                  ,                    49                  ,                    1                  ,2023
Colts,                    19                  ,                    18                  ,                    42                  ,                    4                  ,2023
Rams,                    18                  ,                    26                  ,                    44                  ,                    4                  ,2023
Jaguars,                    17                  ,                    22                  ,                    41                  ,                    3                  ,2023
Cardinals,                    17                  ,                    18                  ,                    36                  ,                    4                  ,2023
Bears,                    16                  ,                    19                  ,                    37                  ,                    1                  ,2023
Titans,                    16                  ,                    14                  ,                    31                  ,                    1                  ,2023
Steelers,                    16                  ,                    13                  ,                    31                  ,                    1                  ,2023
Browns,                    15                  ,                    24                  ,                    42                  ,                    6                  ,2023
Falcons,                    14                  ,                    17                  ,                    32                  ,                    2                  ,2023
Cowboys,                    14                  ,                    36                  ,                    57                  ,                    4                  ,2023
Commanders,                    14                  ,                    24                  ,                    39                  ,                    3                  ,2023
Saints,                    13                  ,                    28                  ,                    44                  ,                    4                  ,2023
Bengals,                    12                  ,                    27                  ,                    41                  ,                    1                  ,2023
Raiders,                    11                  ,                    20                  ,                    36                  ,                    2                  ,2023
Chargers,                    11                  ,                    24                  ,                    36                  ,                    1                  ,2023
Seahawks,                    11                  ,                    23                  ,                    37                  ,                    2                  ,2023
Packers,                    10                  ,                    32                  ,                    44                  ,                    2                  ,2023
Texans,                    10                  ,                    27                  ,                    40                  ,                    2                  ,2023
Giants,                    10                  ,                    15                  ,                    29                  ,                    1                  ,2023
Chiefs,                    9                  ,                    28                  ,                    39                  ,                    0                  ,2023
Patriots,                    9                  ,                    16                  ,                    27                  ,                    0                  ,2023
Broncos,                    8                  ,                    28                  ,                    38                  ,                    4                  ,2023
Buccaneers,                    8                  ,                    28                  ,                    37                  ,                    2                  ,2023
Panthers,                    7                  ,                    13                  ,                    23                  ,                    3                  ,2023
Vikings,                    7                  ,                    30                  ,                    39                  ,                    1                  ,2023
Jets,                    7                  ,                    11                  ,                    22                  ,                    3                  ,2023
Bills,                    32                  ,                    30                  ,                    65                  ,                    1                  ,2024
Lions,                    29                  ,                    39                  ,                    70                  ,                    1                  ,2024
Eagles,                    29                  ,                    24                  ,                    54                  ,                    3                  ,2024
Commanders,                    25                  ,                    29                  ,                    55                  ,                    4                  ,2024
Packers,                    23                  ,                    28                  ,                    52                  ,                    3                  ,2024
Ravens,                    21                  ,                    41                  ,                    65                  ,                    1                  ,2024
Colts,                    20                  ,                    20                  ,                    41                  ,                    1                  ,2024
Falcons,                    18                  ,                    21                  ,                    43                  ,                    2                  ,2024
Panthers,                    18                  ,                    22                  ,                    40                  ,                    1                  ,2024
Cardinals,                    18                  ,                    21                  ,                    42                  ,                    3                  ,2024
Chargers,                    17                  ,                    23                  ,                    41                  ,                    3                  ,2024
49ers,                    17                  ,                    23                  ,                    42                  ,                    0                  ,2024
Seahawks,                    17                  ,                    21                  ,                    43                  ,                    0                  ,2024
Buccaneers,                    16                  ,                    41                  ,                    59                  ,                    1                  ,2024
Texans,                    15                  ,                    20                  ,                    38                  ,                    0                  ,2024
Chiefs,                    15                  ,                    26                  ,                    42                  ,                    0                  ,2024
Rams,                    15                  ,                    22                  ,                    41                  ,                    0                  ,2024
Saints,                    15                  ,                    21                  ,                    37                  ,                    1                  ,2024
Steelers,                    14                  ,                    21                  ,                    37                  ,                    0                  ,2024
Bears,                    13                  ,                    20                  ,                    36                  ,                    3                  ,2024
Jaguars,                    13                  ,                    19                  ,                    34                  ,                    4                  ,2024
Giants,                    13                  ,                    15                  ,                    30                  ,                    1                  ,2024
Broncos,                    12                  ,                    30                  ,                    47                  ,                    0                  ,2024
Dolphins,                    12                  ,                    22                  ,                    34                  ,                    2                  ,2024
Bengals,                    11                  ,                    43                  ,                    57                  ,                    1                  ,2024
Titans,                    11                  ,                    22                  ,                    33                  ,                    3                  ,2024
Patriots,                    11                  ,                    18                  ,                    30                  ,                    3                  ,2024
Raiders,                    10                  ,                    19                  ,                    30                  ,                    2                  ,2024
Vikings,                    9                  ,                    35                  ,                    47                  ,                    0                  ,2024
Browns,                    8                  ,                    19                  ,                    29                  ,                    5                  ,2024
Jets,                    8                  ,                    31                  ,                    40                  ,                    5                  ,2024
Cowboys,                    6                  ,                    23                  ,                    33                  ,                    1                  ,2024
