Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Niners,                    223                  ,                    76                  ,                    23                  ,                    10                  ,                    181                  ,                    52.5                  ,                    77                  ,                    19.4                  ,                    1020                  ,2013
Cardinals,                    221                  ,                    78                  ,                    16                  ,                    6                  ,                    208                  ,                    56.7                  ,                    68                  ,                    18.4                  ,                    1042                  ,2013
Panthers,                    212                  ,                    76                  ,                    11                  ,                    3                  ,                    178                  ,                    47.5                  ,                    70                  ,                    19.9                  ,                    975                  ,2013
Falcons,                    209                  ,                    96                  ,                    11                  ,                    7                  ,                    196                  ,                    57.5                  ,                    102                  ,                    22.4                  ,                    1003                  ,2013
Chargers,                    180                  ,                    70                  ,                    13                  ,                    6                  ,                    208                  ,                    57.1                  ,                    98                  ,                    26.1                  ,                    959                  ,2013
Broncos,                    218                  ,                    83                  ,                    15                  ,                    4                  ,                    208                  ,                    58.3                  ,                    90                  ,                    21.4                  ,                    1074                  ,2013
Seahawks,                    216                  ,                    76                  ,                    11                  ,                    4                  ,                    156                  ,                    50.5                  ,                    83                  ,                    19.7                  ,                    990                  ,2013
Bears,                    200                  ,                    83                  ,                    16                  ,                    12                  ,                    184                  ,                    58.4                  ,                    147                  ,                    30.4                  ,                    1021                  ,2013
Cowboys,                    210                  ,                    91                  ,                    18                  ,                    9                  ,                    231                  ,                    57.3                  ,                    122                  ,                    27.9                  ,                    1094                  ,2013
Eagles,                    232                  ,                    88                  ,                    12                  ,                    3                  ,                    211                  ,                    61.2                  ,                    88                  ,                    18.6                  ,                    1113                  ,2014
Raiders,                    221                  ,                    85                  ,                    9                  ,                    4                  ,                    190                  ,                    55.4                  ,                    95                  ,                    19.8                  ,                    1041                  ,2014
Texans,                    218                  ,                    74                  ,                    17                  ,                    6                  ,                    206                  ,                    56.8                  ,                    89                  ,                    21.2                  ,                    1077                  ,2014
Giants,                    200                  ,                    72                  ,                    10                  ,                    4                  ,                    187                  ,                    57.7                  ,                    112                  ,                    25.6                  ,                    1007                  ,2014
Jets,                    219                  ,                    99                  ,                    4                  ,                    0                  ,                    194                  ,                    56.2                  ,                    74                  ,                    18.8                  ,                    976                  ,2014
Bills,                    220                  ,                    73                  ,                    11                  ,                    5                  ,                    171                  ,                    50.7                  ,                    89                  ,                    21.5                  ,                    1027                  ,2014
Cardinals,                    215                  ,                    81                  ,                    13                  ,                    5                  ,                    195                  ,                    53.4                  ,                    77                  ,                    19.4                  ,                    1010                  ,2014
Lions,                    207                  ,                    77                  ,                    15                  ,                    6                  ,                    209                  ,                    54.6                  ,                    59                  ,                    16.9                  ,                    984                  ,2014
Panthers,                    210                  ,                    89                  ,                    11                  ,                    5                  ,                    193                  ,                    53                  ,                    91                  ,                    22.9                  ,                    999                  ,2014
Patriots,                    209                  ,                    84                  ,                    23                  ,                    8                  ,                    196                  ,                    57.3                  ,                    88                  ,                    21                  ,                    1033                  ,2014
Colts,                    201                  ,                    67                  ,                    17                  ,                    4                  ,                    175                  ,                    54.7                  ,                    103                  ,                    24.4                  ,                    1007                  ,2014
Jaguars,                    236                  ,                    101                  ,                    10                  ,                    4                  ,                    200                  ,                    56.3                  ,                    107                  ,                    21.4                  ,                    1085                  ,2014
Chargers,                    207                  ,                    89                  ,                    10                  ,                    2                  ,                    168                  ,                    52.5                  ,                    98                  ,                    22.4                  ,                    988                  ,2014
Broncos,                    222                  ,                    81                  ,                    17                  ,                    10                  ,                    219                  ,                    54.9                  ,                    60                  ,                    17.2                  ,                    1031                  ,2014
Niners,                    203                  ,                    88                  ,                    14                  ,                    7                  ,                    188                  ,                    58                  ,                    83                  ,                    20.6                  ,                    989                  ,2014
Seahawks,                    202                  ,                    75                  ,                    14                  ,                    8                  ,                    175                  ,                    55.9                  ,                    70                  ,                    18.4                  ,                    924                  ,2014
Bengals,                    215                  ,                    79                  ,                    19                  ,                    10                  ,                    197                  ,                    54                  ,                    105                  ,                    23.9                  ,                    1067                  ,2014
Vikings,                    217                  ,                    90                  ,                    14                  ,                    9                  ,                    189                  ,                    53.5                  ,                    100                  ,                    22.2                  ,                    1025                  ,2014
Falcons,                    203                  ,                    95                  ,                    8                  ,                    4                  ,                    224                  ,                    62.4                  ,                    108                  ,                    24                  ,                    1038                  ,2014
Steelers,                    189                  ,                    71                  ,                    14                  ,                    10                  ,                    193                  ,                    55.1                  ,                    88                  ,                    23.9                  ,                    944                  ,2014
Bears,                    201                  ,                    85                  ,                    19                  ,                    12                  ,                    227                  ,                    62                  ,                    78                  ,                    18.5                  ,                    1008                  ,2014
Browns,                    239                  ,                    90                  ,                    18                  ,                    11                  ,                    184                  ,                    54.9                  ,                    126                  ,                    25.2                  ,                    1118                  ,2014
Ravens,                    221                  ,                    89                  ,                    14                  ,                    5                  ,                    205                  ,                    53.7                  ,                    75                  ,                    19.2                  ,                    1034                  ,2014
Saints,                    215                  ,                    99                  ,                    8                  ,                    4                  ,                    205                  ,                    60.1                  ,                    111                  ,                    25.1                  ,                    1022                  ,2014
Buccaneers,                    213                  ,                    93                  ,                    9                  ,                    5                  ,                    223                  ,                    57.6                  ,                    103                  ,                    22                  ,                    1067                  ,2014
Cowboys,                    204                  ,                    89                  ,                    20                  ,                    10                  ,                    195                  ,                    52.6                  ,                    86                  ,                    21.9                  ,                    978                  ,2014
Chiefs,                    216                  ,                    79                  ,                    21                  ,                    8                  ,                    184                  ,                    57.9                  ,                    108                  ,                    24.9                  ,                    1024                  ,2014
Dolphins,                    223                  ,                    98                  ,                    22                  ,                    13                  ,                    194                  ,                    57.4                  ,                    99                  ,                    21.8                  ,                    1029                  ,2014
Packers,                    206                  ,                    83                  ,                    28                  ,                    15                  ,                    196                  ,                    58.9                  ,                    116                  ,                    25.8                  ,                    1054                  ,2014
Redskins,                    207                  ,                    89                  ,                    9                  ,                    5                  ,                    195                  ,                    56.5                  ,                    77                  ,                    18.3                  ,                    976                  ,2014
Titans,                    227                  ,                    94                  ,                    11                  ,                    5                  ,                    211                  ,                    60.8                  ,                    119                  ,                    23.1                  ,                    1099                  ,2014
Rams,                    213                  ,                    82                  ,                    10                  ,                    0                  ,                    189                  ,                    51.4                  ,                    83                  ,                    19.5                  ,                    1005                  ,2014
Texans,                    214                  ,                    61                  ,                    12                  ,                    7                  ,                    173                  ,                    53.1                  ,                    79                  ,                    20.4                  ,                    986                  ,2015
Colts,                    227                  ,                    89                  ,                    14                  ,                    10                  ,                    210                  ,                    59.3                  ,                    89                  ,                    19.7                  ,                    1072                  ,2015
Chargers,                    195                  ,                    74                  ,                    8                  ,                    7                  ,                    170                  ,                    51.8                  ,                    101                  ,                    24.2                  ,                    959                  ,2015
Eagles,                    231                  ,                    99                  ,                    9                  ,                    6                  ,                    239                  ,                    60.7                  ,                    100                  ,                    20.9                  ,                    1148                  ,2015
Jets,                    232                  ,                    77                  ,                    23                  ,                    13                  ,                    185                  ,                    53.9                  ,                    62                  ,                    16.6                  ,                    1013                  ,2015
Falcons,                    191                  ,                    82                  ,                    15                  ,                    5                  ,                    197                  ,                    53.2                  ,                    107                  ,                    25.7                  ,                    996                  ,2015
Bills,                    210                  ,                    85                  ,                    13                  ,                    3                  ,                    197                  ,                    56.8                  ,                    87                  ,                    22.1                  ,                    1017                  ,2015
Browns,                    203                  ,                    81                  ,                    15                  ,                    10                  ,                    186                  ,                    57.8                  ,                    104                  ,                    22.7                  ,                    998                  ,2015
Ravens,                    216                  ,                    86                  ,                    9                  ,                    4                  ,                    189                  ,                    54                  ,                    80                  ,                    19.1                  ,                    1000                  ,2015
Broncos,                    227                  ,                    80                  ,                    14                  ,                    5                  ,                    162                  ,                    47.1                  ,                    81                  ,                    19.8                  ,                    1033                  ,2015
Raiders,                    224                  ,                    84                  ,                    17                  ,                    9                  ,                    206                  ,                    51                  ,                    94                  ,                    23.2                  ,                    1085                  ,2015
Bears,                    201                  ,                    89                  ,                    12                  ,                    5                  ,                    182                  ,                    56.5                  ,                    103                  ,                    23.8                  ,                    980                  ,2015
Saints,                    176                  ,                    71                  ,                    13                  ,                    10                  ,                    223                  ,                    60                  ,                    103                  ,                    24.5                  ,                    996                  ,2015
Giants,                    230                  ,                    108                  ,                    14                  ,                    8                  ,                    236                  ,                    55.8                  ,                    104                  ,                    23.4                  ,                    1105                  ,2015
Redskins,                    207                  ,                    78                  ,                    20                  ,                    11                  ,                    202                  ,                    57.1                  ,                    103                  ,                    25.4                  ,                    1010                  ,2015
Patriots,                    225                  ,                    84                  ,                    18                  ,                    8                  ,                    204                  ,                    56.5                  ,                    77                  ,                    19.4                  ,                    1042                  ,2015
Niners,                    210                  ,                    82                  ,                    11                  ,                    6                  ,                    199                  ,                    53.1                  ,                    128                  ,                    25.4                  ,                    1081                  ,2015
Seahawks,                    195                  ,                    67                  ,                    7                  ,                    1                  ,                    175                  ,                    52.6                  ,                    71                  ,                    19.6                  ,                    947                  ,2015
Packers,                    220                  ,                    79                  ,                    21                  ,                    10                  ,                    183                  ,                    57                  ,                    96                  ,                    22.9                  ,                    1014                  ,2015
Jaguars,                    227                  ,                    105                  ,                    12                  ,                    6                  ,                    222                  ,                    56.9                  ,                    102                  ,                    22                  ,                    1102                  ,2015
Dolphins,                    221                  ,                    96                  ,                    12                  ,                    4                  ,                    203                  ,                    58                  ,                    112                  ,                    22.3                  ,                    1075                  ,2015
Panthers,                    227                  ,                    86                  ,                    26                  ,                    15                  ,                    198                  ,                    50.8                  ,                    74                  ,                    20.3                  ,                    1058                  ,2015
Lions,                    200                  ,                    82                  ,                    8                  ,                    5                  ,                    191                  ,                    53.1                  ,                    96                  ,                    22.4                  ,                    999                  ,2015
Buccaneers,                    211                  ,                    97                  ,                    6                  ,                    4                  ,                    208                  ,                    55                  ,                    104                  ,                    22.3                  ,                    1044                  ,2015
Bengals,                    218                  ,                    86                  ,                    20                  ,                    9                  ,                    202                  ,                    48.7                  ,                    74                  ,                    21.5                  ,                    1032                  ,2015
Titans,                    216                  ,                    92                  ,                    12                  ,                    4                  ,                    192                  ,                    60.2                  ,                    101                  ,                    21.9                  ,                    1003                  ,2015
Rams,                    225                  ,                    78                  ,                    15                  ,                    4                  ,                    192                  ,                    48.1                  ,                    98                  ,                    21.6                  ,                    1091                  ,2015
Chiefs,                    217                  ,                    72                  ,                    27                  ,                    13                  ,                    193                  ,                    55.3                  ,                    86                  ,                    22.4                  ,                    1037                  ,2015
Vikings,                    206                  ,                    71                  ,                    22                  ,                    11                  ,                    189                  ,                    52.6                  ,                    94                  ,                    22.9                  ,                    1015                  ,2015
Cardinals,                    210                  ,                    75                  ,                    17                  ,                    8                  ,                    177                  ,                    51.6                  ,                    79                  ,                    21.2                  ,                    982                  ,2015
Steelers,                    225                  ,                    90                  ,                    24                  ,                    7                  ,                    231                  ,                    57.5                  ,                    71                  ,                    18.6                  ,                    1055                  ,2015
Cowboys,                    208                  ,                    81                  ,                    10                  ,                    5                  ,                    172                  ,                    52.1                  ,                    113                  ,                    24.5                  ,                    998                  ,2015
Ravens,                    214                  ,                    75                  ,                    16                  ,                    11                  ,                    190                  ,                    51.5                  ,                    74                  ,                    19.3                  ,                    993                  ,2016
Texans,                    213                  ,                    82                  ,                    13                  ,                    3                  ,                    157                  ,                    49.2                  ,                    87                  ,                    21.9                  ,                    950                  ,2016
Patriots,                    206                  ,                    76                  ,                    18                  ,                    7                  ,                    190                  ,                    51.6                  ,                    81                  ,                    22                  ,                    998                  ,2016
Eagles,                    205                  ,                    82                  ,                    18                  ,                    8                  ,                    177                  ,                    53.2                  ,                    89                  ,                    22.8                  ,                    978                  ,2016
Panthers,                    211                  ,                    80                  ,                    13                  ,                    9                  ,                    223                  ,                    54.5                  ,                    90                  ,                    23.9                  ,                    1035                  ,2016
49ers,                    226                  ,                    102                  ,                    7                  ,                    4                  ,                    187                  ,                    58.1                  ,                    140                  ,                    25.6                  ,                    1102                  ,2016
Jaguars,                    224                  ,                    83                  ,                    13                  ,                    6                  ,                    174                  ,                    50.4                  ,                    93                  ,                    20.8                  ,                    1030                  ,2016
Saints,                    194                  ,                    84                  ,                    10                  ,                    4                  ,                    230                  ,                    60.8                  ,                    91                  ,                    23                  ,                    1008                  ,2016
Broncos,                    236                  ,                    86                  ,                    16                  ,                    6                  ,                    169                  ,                    55.2                  ,                    101                  ,                    21                  ,                    1076                  ,2016
Giants,                    238                  ,                    84                  ,                    14                  ,                    7                  ,                    191                  ,                    51.8                  ,                    82                  ,                    20.6                  ,                    1062                  ,2016
Raiders,                    198                  ,                    78                  ,                    15                  ,                    4                  ,                    188                  ,                    57.3                  ,                    94                  ,                    22.3                  ,                    987                  ,2016
Titans,                    210                  ,                    77                  ,                    22                  ,                    12                  ,                    227                  ,                    58.5                  ,                    70                  ,                    19.7                  ,                    1031                  ,2016
Cardinals,                    219                  ,                    85                  ,                    15                  ,                    7                  ,                    175                  ,                    50.9                  ,                    90                  ,                    21.2                  ,                    1019                  ,2016
Buccaneers,                    195                  ,                    67                  ,                    10                  ,                    8                  ,                    203                  ,                    58.5                  ,                    102                  ,                    23.9                  ,                    1013                  ,2016
Chiefs,                    222                  ,                    96                  ,                    20                  ,                    10                  ,                    209                  ,                    59.7                  ,                    102                  ,                    23.3                  ,                    1063                  ,2016
Rams,                    220                  ,                    82                  ,                    14                  ,                    12                  ,                    194                  ,                    51.3                  ,                    91                  ,                    21.5                  ,                    1037                  ,2016
Vikings,                    206                  ,                    80                  ,                    14                  ,                    3                  ,                    186                  ,                    56                  ,                    87                  ,                    21.5                  ,                    993                  ,2016
Browns,                    206                  ,                    93                  ,                    12                  ,                    9                  ,                    220                  ,                    63.4                  ,                    121                  ,                    24.3                  ,                    1067                  ,2016
Bills,                    205                  ,                    82                  ,                    14                  ,                    4                  ,                    183                  ,                    59.8                  ,                    122                  ,                    26.1                  ,                    1017                  ,2016
Bengals,                    217                  ,                    86                  ,                    19                  ,                    9                  ,                    196                  ,                    52.4                  ,                    95                  ,                    23.1                  ,                    1038                  ,2016
Packers,                    199                  ,                    82                  ,                    18                  ,                    12                  ,                    227                  ,                    61.4                  ,                    80                  ,                    21.3                  ,                    987                  ,2016
Jets,                    210                  ,                    84                  ,                    10                  ,                    2                  ,                    203                  ,                    58.5                  ,                    86                  ,                    20.1                  ,                    1000                  ,2016
Seahawks,                    212                  ,                    82                  ,                    20                  ,                    6                  ,                    180                  ,                    54.4                  ,                    94                  ,                    21.3                  ,                    1020                  ,2016
Colts,                    193                  ,                    80                  ,                    8                  ,                    3                  ,                    225                  ,                    59.5                  ,                    93                  ,                    22.7                  ,                    1024                  ,2016
Steelers,                    214                  ,                    88                  ,                    21                  ,                    11                  ,                    184                  ,                    48.3                  ,                    95                  ,                    25.8                  ,                    997                  ,2016
Chargers,                    208                  ,                    83                  ,                    16                  ,                    11                  ,                    204                  ,                    56                  ,                    98                  ,                    23.9                  ,                    1025                  ,2016
Redskins,                    208                  ,                    97                  ,                    16                  ,                    9                  ,                    225                  ,                    58.1                  ,                    109                  ,                    25.8                  ,                    1050                  ,2016
Lions,                    198                  ,                    90                  ,                    8                  ,                    3                  ,                    206                  ,                    51.6                  ,                    99                  ,                    25.4                  ,                    964                  ,2016
Cowboys,                    197                  ,                    77                  ,                    14                  ,                    9                  ,                    226                  ,                    53.2                  ,                    79                  ,                    23.2                  ,                    1009                  ,2016
Dolphins,                    213                  ,                    77                  ,                    16                  ,                    9                  ,                    199                  ,                    54.1                  ,                    109                  ,                    23.5                  ,                    1088                  ,2016
Bears,                    210                  ,                    85                  ,                    14                  ,                    10                  ,                    188                  ,                    55                  ,                    99                  ,                    22.2                  ,                    1012                  ,2016
Falcons,                    213                  ,                    89                  ,                    25                  ,                    18                  ,                    232                  ,                    55                  ,                    95                  ,                    25.7                  ,                    1059                  ,2016
Bills,                    214                  ,                    82                  ,                    20                  ,                    11                  ,                    199                  ,                    53.8                  ,                    121                  ,                    26                  ,                    1066                  ,2017
Broncos,                    209                  ,                    66                  ,                    21                  ,                    7                  ,                    166                  ,                    56.5                  ,                    68                  ,                    15.9                  ,                    952                  ,2017
49ers,                    221                  ,                    95                  ,                    12                  ,                    10                  ,                    198                  ,                    57.6                  ,                    108                  ,                    22                  ,                    1065                  ,2017
Cardinals,                    224                  ,                    80                  ,                    16                  ,                    7                  ,                    187                  ,                    54.5                  ,                    68                  ,                    16.8                  ,                    1007                  ,2017
Eagles,                    205                  ,                    66                  ,                    18                  ,                    4                  ,                    177                  ,                    48.8                  ,                    62                  ,                    18.4                  ,                    976                  ,2017
Colts,                    217                  ,                    97                  ,                    14                  ,                    7                  ,                    192                  ,                    60                  ,                    99                  ,                    20.3                  ,                    1026                  ,2017
Jets,                    221                  ,                    82                  ,                    11                  ,                    5                  ,                    191                  ,                    58                  ,                    88                  ,                    18.9                  ,                    1052                  ,2017
Jaguars,                    220                  ,                    74                  ,                    13                  ,                    6                  ,                    143                  ,                    49.5                  ,                    91                  ,                    21.2                  ,                    993                  ,2017
Giants,                    222                  ,                    88                  ,                    17                  ,                    5                  ,                    189                  ,                    54.5                  ,                    101                  ,                    21.8                  ,                    1052                  ,2017
Ravens,                    222                  ,                    82                  ,                    16                  ,                    6                  ,                    179                  ,                    53.8                  ,                    87                  ,                    20                  ,                    1045                  ,2017
Panthers,                    206                  ,                    78                  ,                    20                  ,                    7                  ,                    187                  ,                    53.3                  ,                    69                  ,                    19.6                  ,                    953                  ,2017
