Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Bengals,                    220                  ,                    78                  ,                    11                  ,                    4                  ,                    170                  ,                    53.3                  ,                    94                  ,                    22.1                  ,                    1009                  ,2011
Redskins,                    206                  ,                    77                  ,                    10                  ,                    4                  ,                    180                  ,                    58.4                  ,                    95                  ,                    21.7                  ,                    988                  ,2011
Titans,                    236                  ,                    96                  ,                    20                  ,                    8                  ,                    187                  ,                    50.7                  ,                    111                  ,                    24.1                  ,                    1080                  ,2011
Vikings,                    208                  ,                    92                  ,                    9                  ,                    5                  ,                    213                  ,                    58                  ,                    92                  ,                    21                  ,                    1027                  ,2011
Broncos,                    218                  ,                    73                  ,                    9                  ,                    3                  ,                    182                  ,                    54.6                  ,                    101                  ,                    20.7                  ,                    1063                  ,2011
Colts,                    216                  ,                    98                  ,                    6                  ,                    3                  ,                    193                  ,                    55                  ,                    136                  ,                    25.2                  ,                    1062                  ,2011
Jets,                    211                  ,                    69                  ,                    10                  ,                    1                  ,                    167                  ,                    60.7                  ,                    83                  ,                    18.4                  ,                    993                  ,2011
Lions,                    205                  ,                    67                  ,                    19                  ,                    8                  ,                    195                  ,                    51.9                  ,                    91                  ,                    22.2                  ,                    1055                  ,2011
Chargers,                    195                  ,                    96                  ,                    9                  ,                    1                  ,                    186                  ,                    62.2                  ,                    102                  ,                    22.8                  ,                    958                  ,2011
Saints,                    202                  ,                    67                  ,                    22                  ,                    6                  ,                    196                  ,                    54.1                  ,                    92                  ,                    26.2                  ,                    1010                  ,2011
Dolphins,                    219                  ,                    74                  ,                    14                  ,                    7                  ,                    198                  ,                    56.6                  ,                    88                  ,                    21.4                  ,                    1043                  ,2011
Giants,                    220                  ,                    84                  ,                    18                  ,                    10                  ,                    210                  ,                    58.2                  ,                    103                  ,                    23.7                  ,                    1072                  ,2011
Buccaneers,                    185                  ,                    73                  ,                    13                  ,                    9                  ,                    188                  ,                    62.5                  ,                    135                  ,                    27.1                  ,                    1002                  ,2011
Eagles,                    211                  ,                    75                  ,                    17                  ,                    7                  ,                    173                  ,                    57.5                  ,                    84                  ,                    20.3                  ,                    982                  ,2011
Cardinals,                    226                  ,                    71                  ,                    8                  ,                    4                  ,                    174                  ,                    51.2                  ,                    118                  ,                    24.8                  ,                    1095                  ,2011
Bears,                    229                  ,                    80                  ,                    17                  ,                    7                  ,                    199                  ,                    52                  ,                    75                  ,                    19.5                  ,                    1048                  ,2011
Raiders,                    219                  ,                    92                  ,                    14                  ,                    4                  ,                    206                  ,                    63.6                  ,                    105                  ,                    24.4                  ,                    1070                  ,2011
Cowboys,                    204                  ,                    81                  ,                    11                  ,                    4                  ,                    199                  ,                    59.2                  ,                    78                  ,                    20.3                  ,                    972                  ,2011
Steelers,                    221                  ,                    86                  ,                    13                  ,                    8                  ,                    156                  ,                    54                  ,                    82                  ,                    20.6                  ,                    964                  ,2011
Patriots,                    202                  ,                    87                  ,                    19                  ,                    8                  ,                    245                  ,                    63.5                  ,                    101                  ,                    24.9                  ,                    1064                  ,2011
Bills,                    189                  ,                    75                  ,                    13                  ,                    9                  ,                    196                  ,                    61.1                  ,                    120                  ,                    25.7                  ,                    1003                  ,2011
Packers,                    195                  ,                    83                  ,                    16                  ,                    4                  ,                    246                  ,                    63.1                  ,                    96                  ,                    25.1                  ,                    1049                  ,2011
Panthers,                    194                  ,                    83                  ,                    12                  ,                    4                  ,                    191                  ,                    60.1                  ,                    110                  ,                    24.4                  ,                    972                  ,2011
Cardinals,                    222                  ,                    73                  ,                    9                  ,                    4                  ,                    160                  ,                    59.3                  ,                    107                  ,                    21.2                  ,                    1041                  ,2012
Colts,                    197                  ,                    75                  ,                    7                  ,                    3                  ,                    190                  ,                    56.9                  ,                    102                  ,                    23.8                  ,                    995                  ,2012
Lions,                    208                  ,                    76                  ,                    6                  ,                    5                  ,                    167                  ,                    48.3                  ,                    107                  ,                    25.5                  ,                    998                  ,2012
Patriots,                    205                  ,                    82                  ,                    23                  ,                    9                  ,                    207                  ,                    56.1                  ,                    100                  ,                    24.1                  ,                    1046                  ,2012
Steelers,                    206                  ,                    73                  ,                    11                  ,                    8                  ,                    169                  ,                    56.5                  ,                    78                  ,                    20                  ,                    951                  ,2012
Eagles,                    203                  ,                    83                  ,                    10                  ,                    2                  ,                    178                  ,                    61                  ,                    108                  ,                    22.6                  ,                    994                  ,2012
Texans,                    215                  ,                    71                  ,                    16                  ,                    5                  ,                    167                  ,                    54.2                  ,                    94                  ,                    24.1                  ,                    1015                  ,2012
Raiders,                    212                  ,                    83                  ,                    14                  ,                    8                  ,                    180                  ,                    51.9                  ,                    95                  ,                    21.4                  ,                    995                  ,2012
Bears,                    220                  ,                    78                  ,                    16                  ,                    10                  ,                    186                  ,                    53.1                  ,                    75                  ,                    19.3                  ,                    1021                  ,2012
Browns,                    223                  ,                    85                  ,                    11                  ,                    7                  ,                    203                  ,                    53.7                  ,                    104                  ,                    22.8                  ,                    1095                  ,2012
Ravens,                    232                  ,                    83                  ,                    12                  ,                    6                  ,                    187                  ,                    55.8                  ,                    105                  ,                    21.3                  ,                    1086                  ,2012
Bengals,                    219                  ,                    79                  ,                    12                  ,                    5                  ,                    183                  ,                    52.9                  ,                    99                  ,                    23.4                  ,                    1034                  ,2012
Titans,                    214                  ,                    85                  ,                    14                  ,                    6                  ,                    210                  ,                    56.2                  ,                    122                  ,                    25.3                  ,                    1086                  ,2012
Jets,                    226                  ,                    84                  ,                    15                  ,                    12                  ,                    161                  ,                    60.5                  ,                    96                  ,                    19.4                  ,                    1019                  ,2012
Chargers,                    214                  ,                    90                  ,                    10                  ,                    4                  ,                    201                  ,                    57.9                  ,                    85                  ,                    20.9                  ,                    1012                  ,2012
Jaguars,                    215                  ,                    89                  ,                    9                  ,                    4                  ,                    194                  ,                    56.9                  ,                    133                  ,                    24.4                  ,                    1100                  ,2012
Broncos,                    216                  ,                    66                  ,                    18                  ,                    7                  ,                    183                  ,                    57                  ,                    73                  ,                    18.1                  ,                    1015                  ,2012
Packers,                    218                  ,                    83                  ,                    23                  ,                    9                  ,                    191                  ,                    61                  ,                    83                  ,                    19.9                  ,                    1033                  ,2012
Cowboys,                    202                  ,                    81                  ,                    11                  ,                    6                  ,                    195                  ,                    60.9                  ,                    92                  ,                    20.9                  ,                    986                  ,2012
Chiefs,                    202                  ,                    79                  ,                    4                  ,                    3                  ,                    176                  ,                    63.1                  ,                    106                  ,                    22                  ,                    973                  ,2012
Buccaneers,                    219                  ,                    88                  ,                    14                  ,                    6                  ,                    226                  ,                    55.1                  ,                    75                  ,                    19.9                  ,                    1031                  ,2012
Vikings,                    230                  ,                    95                  ,                    20                  ,                    11                  ,                    229                  ,                    58.6                  ,                    82                  ,                    19.2                  ,                    1083                  ,2012
Rams,                    213                  ,                    80                  ,                    16                  ,                    6                  ,                    197                  ,                    54.4                  ,                    107                  ,                    24.2                  ,                    1041                  ,2012
Dolphins,                    238                  ,                    87                  ,                    17                  ,                    12                  ,                    215                  ,                    60.9                  ,                    79                  ,                    18.3                  ,                    1073                  ,2012
Saints,                    208                  ,                    80                  ,                    19                  ,                    10                  ,                    236                  ,                    63.8                  ,                    116                  ,                    25.4                  ,                    1089                  ,2012
Falcons,                    200                  ,                    81                  ,                    13                  ,                    6                  ,                    189                  ,                    56.1                  ,                    99                  ,                    24.1                  ,                    991                  ,2012
Panthers,                    202                  ,                    73                  ,                    19                  ,                    10                  ,                    195                  ,                    52.6                  ,                    98                  ,                    23.6                  ,                    1010                  ,2012
Seahawks,                    198                  ,                    76                  ,                    10                  ,                    3                  ,                    186                  ,                    56.9                  ,                    80                  ,                    21.7                  ,                    968                  ,2012
Bills,                    209                  ,                    92                  ,                    12                  ,                    6                  ,                    182                  ,                    59.5                  ,                    136                  ,                    28.9                  ,                    1042                  ,2012
Niners,                    215                  ,                    71                  ,                    25                  ,                    14                  ,                    178                  ,                    52.8                  ,                    72                  ,                    17.7                  ,                    1012                  ,2012
Giants,                    198                  ,                    84                  ,                    21                  ,                    10                  ,                    196                  ,                    57.5                  ,                    104                  ,                    23.2                  ,                    1016                  ,2012
Redskins,                    215                  ,                    95                  ,                    14                  ,                    8                  ,                    223                  ,                    56.7                  ,                    89                  ,                    24.5                  ,                    1031                  ,2012
Ravens,                    233                  ,                    78                  ,                    14                  ,                    8                  ,                    176                  ,                    56                  ,                    79                  ,                    18                  ,                    1032                  ,2013
