Team,FR TD,SFTY,INT TD,year
Jaguars,                    1                  ,                    3                  ,                    1                  ,2013
Vikings,                    1                  ,                    0                  ,                    0                  ,2013
Patriots,                    1                  ,                    0                  ,                    2                  ,2013
Eagles,                    1                  ,                    2                  ,                    1                  ,2013
Cardinals,                    1                  ,                    2                  ,                    4                  ,2013
Seahawks,                    1                  ,                    2                  ,                    3                  ,2013
Redskins,                    1                  ,                    0                  ,                    4                  ,2013
Ravens,                    0                  ,                    0                  ,                    1                  ,2013
Panthers,                    0                  ,                    0                  ,                    4                  ,2013
Texans,                    0                  ,                    1                  ,                    1                  ,2013
Colts,                    0                  ,                    2                  ,                    1                  ,2013
Dolphins,                    0                  ,                    1                  ,                    2                  ,2013
Saints,                    0                  ,                    0                  ,                    0                  ,2013
Giants,                    0                  ,                    0                  ,                    2                  ,2013
Jets,                    0                  ,                    1                  ,                    1                  ,2013
Steelers,                    0                  ,                    1                  ,                    3                  ,2013
Chargers,                    0                  ,                    0                  ,                    1                  ,2013
Buccaneers,                    0                  ,                    1                  ,                    3                  ,2013
Chargers,                    3                  ,                    1                  ,                    0                  ,2014
Jaguars,                    2                  ,                    1                  ,                    1                  ,2014
Patriots,                    2                  ,                    0                  ,                    0                  ,2014
Eagles,                    2                  ,                    0                  ,                    2                  ,2014
Falcons,                    1                  ,                    0                  ,                    1                  ,2014
Bills,                    1                  ,                    1                  ,                    0                  ,2014
Browns,                    1                  ,                    1                  ,                    2                  ,2014
Cowboys,                    1                  ,                    0                  ,                    2                  ,2014
Broncos,                    1                  ,                    1                  ,                    2                  ,2014
Lions,                    1                  ,                    1                  ,                    1                  ,2014
Packers,                    1                  ,                    1                  ,                    3                  ,2014
Titans,                    1                  ,                    1                  ,                    1                  ,2014
Texans,                    1                  ,                    1                  ,                    4                  ,2014
Colts,                    1                  ,                    0                  ,                    1                  ,2014
Raiders,                    1                  ,                    0                  ,                    0                  ,2014
Dolphins,                    1                  ,                    3                  ,                    2                  ,2014
Vikings,                    1                  ,                    0                  ,                    2                  ,2014
Giants,                    1                  ,                    0                  ,                    0                  ,2014
Cardinals,                    1                  ,                    0                  ,                    3                  ,2014
Steelers,                    1                  ,                    1                  ,                    4                  ,2014
Niners,                    1                  ,                    0                  ,                    2                  ,2014
Ravens,                    0                  ,                    1                  ,                    1                  ,2014
Panthers,                    0                  ,                    0                  ,                    2                  ,2014
Bears,                    0                  ,                    0                  ,                    1                  ,2014
Bengals,                    0                  ,                    3                  ,                    1                  ,2014
Chiefs,                    0                  ,                    0                  ,                    1                  ,2014
Rams,                    0                  ,                    0                  ,                    3                  ,2014
Saints,                    0                  ,                    2                  ,                    0                  ,2014
Jets,                    0                  ,                    1                  ,                    0                  ,2014
Seahawks,                    0                  ,                    1                  ,                    2                  ,2014
Buccaneers,                    0                  ,                    0                  ,                    3                  ,2014
Redskins,                    0                  ,                    0                  ,                    0                  ,2014
Seahawks,                    3                  ,                    0                  ,                    0                  ,2015
Falcons,                    2                  ,                    0                  ,                    1                  ,2015
Jaguars,                    2                  ,                    0                  ,                    1                  ,2015
Chiefs,                    2                  ,                    1                  ,                    4                  ,2015
Rams,                    2                  ,                    1                  ,                    1                  ,2015
Patriots,                    2                  ,                    1                  ,                    0                  ,2015
Giants,                    2                  ,                    1                  ,                    2                  ,2015
Cardinals,                    2                  ,                    2                  ,                    4                  ,2015
Buccaneers,                    2                  ,                    0                  ,                    1                  ,2015
Ravens,                    1                  ,                    0                  ,                    1                  ,2015
Bills,                    1                  ,                    1                  ,                    2                  ,2015
Broncos,                    1                  ,                    1                  ,                    4                  ,2015
Lions,                    1                  ,                    2                  ,                    1                  ,2015
Titans,                    1                  ,                    0                  ,                    1                  ,2015
Texans,                    1                  ,                    0                  ,                    2                  ,2015
Colts,                    1                  ,                    1                  ,                    4                  ,2015
Vikings,                    1                  ,                    0                  ,                    2                  ,2015
Saints,                    1                  ,                    0                  ,                    0                  ,2015
Eagles,                    1                  ,                    1                  ,                    3                  ,2015
Redskins,                    1                  ,                    1                  ,                    1                  ,2015
Panthers,                    0                  ,                    0                  ,                    4                  ,2015
Bears,                    0                  ,                    0                  ,                    0                  ,2015
Bengals,                    0                  ,                    0                  ,                    1                  ,2015
Browns,                    0                  ,                    0                  ,                    2                  ,2015
Cowboys,                    0                  ,                    1                  ,                    1                  ,2015
Packers,                    0                  ,                    0                  ,                    2                  ,2015
Raiders,                    0                  ,                    2                  ,                    1                  ,2015
Dolphins,                    0                  ,                    0                  ,                    3                  ,2015
Jets,                    0                  ,                    0                  ,                    0                  ,2015
Steelers,                    0                  ,                    0                  ,                    2                  ,2015
Chargers,                    0                  ,                    0                  ,                    1                  ,2015
Niners,                    0                  ,                    0                  ,                    1                  ,2015
Falcons,                    2                  ,                    0                  ,                    3                  ,2016
Bills,                    2                  ,                    0                  ,                    1                  ,2016
Panthers,                    2                  ,                    1                  ,                    1                  ,2016
Vikings,                    2                  ,                    1                  ,                    2                  ,2016
Giants,                    2                  ,                    0                  ,                    1                  ,2016
Chargers,                    2                  ,                    1                  ,                    3                  ,2016
Ravens,                    1                  ,                    0                  ,                    0                  ,2016
Bears,                    1                  ,                    1                  ,                    1                  ,2016
Broncos,                    1                  ,                    0                  ,                    3                  ,2016
Titans,                    1                  ,                    0                  ,                    0                  ,2016
Colts,                    1                  ,                    0                  ,                    0                  ,2016
Chiefs,                    1                  ,                    1                  ,                    4                  ,2016
Rams,                    1                  ,                    0                  ,                    0                  ,2016
Cardinals,                    1                  ,                    2                  ,                    2                  ,2016
Steelers,                    1                  ,                    1                  ,                    0                  ,2016
Seahawks,                    1                  ,                    1                  ,                    0                  ,2016
Bengals,                    0                  ,                    1                  ,                    0                  ,2016
Browns,                    0                  ,                    0                  ,                    1                  ,2016
Cowboys,                    0                  ,                    0                  ,                    0                  ,2016
Lions,                    0                  ,                    2                  ,                    1                  ,2016
Packers,                    0                  ,                    0                  ,                    0                  ,2016
Texans,                    0                  ,                    1                  ,                    1                  ,2016
Jaguars,                    0                  ,                    0                  ,                    1                  ,2016
Raiders,                    0                  ,                    0                  ,                    1                  ,2016
Dolphins,                    0                  ,                    0                  ,                    1                  ,2016
Patriots,                    0                  ,                    3                  ,                    0                  ,2016
Saints,                    0                  ,                    1                  ,                    0                  ,2016
Jets,                    0                  ,                    0                  ,                    0                  ,2016
Eagles,                    0                  ,                    1                  ,                    3                  ,2016
49ers,                    0                  ,                    1                  ,                    0                  ,2016
Buccaneers,                    0                  ,                    1                  ,                    4                  ,2016
Redskins,                    0                  ,                    0                  ,                    0                  ,2016
Jaguars,                    5                  ,                    0                  ,                    2                  ,2017
Eagles,                    4                  ,                    0                  ,                    1                  ,2017
Chiefs,                    3                  ,                    0                  ,                    0                  ,2017
Buccaneers,                    3                  ,                    0                  ,                    1                  ,2017
Falcons,                    2                  ,                    0                  ,                    0                  ,2017
Ravens,                    2                  ,                    0                  ,                    3                  ,2017
Bills,                    2                  ,                    0                  ,                    1                  ,2017
Broncos,                    2                  ,                    0                  ,                    2                  ,2017
Lions,                    2                  ,                    0                  ,                    3                  ,2017
Texans,                    2                  ,                    1                  ,                    2                  ,2017
Dolphins,                    2                  ,                    2                  ,                    1                  ,2017
Panthers,                    1                  ,                    0                  ,                    0                  ,2017
Bears,                    1                  ,                    1                  ,                    2                  ,2017
Packers,                    1                  ,                    0                  ,                    1                  ,2017
Titans,                    1                  ,                    0                  ,                    0                  ,2017
Saints,                    1                  ,                    0                  ,                    2                  ,2017
Cardinals,                    1                  ,                    0                  ,                    1                  ,2017
Chargers,                    1                  ,                    0                  ,                    2                  ,2017
Seahawks,                    1                  ,                    2                  ,                    3                  ,2017
Bengals,                    0                  ,                    0                  ,                    3                  ,2017
Browns,                    0                  ,                    0                  ,                    1                  ,2017
Cowboys,                    0                  ,                    0                  ,                    1                  ,2017
Colts,                    0                  ,                    2                  ,                    1                  ,2017
Rams,                    0                  ,                    2                  ,                    3                  ,2017
Raiders,                    0                  ,                    0                  ,                    0                  ,2017
Vikings,                    0                  ,                    1                  ,                    1                  ,2017
Patriots,                    0                  ,                    2                  ,                    0                  ,2017
Giants,                    0                  ,                    1                  ,                    2                  ,2017
Jets,                    0                  ,                    0                  ,                    0                  ,2017
Steelers,                    0                  ,                    1                  ,                    0                  ,2017
49ers,                    0                  ,                    0                  ,                    1                  ,2017
Redskins,                    0                  ,                    0                  ,                    2                  ,2017
Ravens,                    3                  ,                    0                  ,                    0                  ,2018
Bengals,                    2                  ,                    0                  ,                    3                  ,2018
Vikings,                    2                  ,                    0                  ,                    1                  ,2018
Cardinals,                    2                  ,                    0                  ,                    0                  ,2018
Falcons,                    1                  ,                    0                  ,                    1                  ,2018
Panthers,                    1                  ,                    0                  ,                    0                  ,2018
Bears,                    1                  ,                    1                  ,                    5                  ,2018
Cowboys,                    1                  ,                    0                  ,                    0                  ,2018
Texans,                    1                  ,                    0                  ,                    3                  ,2018
Chiefs,                    1                  ,                    0                  ,                    3                  ,2018
Rams,                    1                  ,                    2                  ,                    3                  ,2018
Patriots,                    1                  ,                    0                  ,                    1                  ,2018
Steelers,                    1                  ,                    2                  ,                    2                  ,2018
Chargers,                    1                  ,                    0                  ,                    1                  ,2018
Seahawks,                    1                  ,                    0                  ,                    1                  ,2018
Buccaneers,                    1                  ,                    0                  ,                    0                  ,2018
Redskins,                    1                  ,                    0                  ,                    0                  ,2018
Bills,                    0                  ,                    1                  ,                    0                  ,2018
Browns,                    0                  ,                    1                  ,                    0                  ,2018
Broncos,                    0                  ,                    0                  ,                    2                  ,2018
Lions,                    0                  ,                    0                  ,                    2                  ,2018
Packers,                    0                  ,                    0                  ,                    1                  ,2018
Titans,                    0                  ,                    0                  ,                    2                  ,2018
Colts,                    0                  ,                    0                  ,                    0                  ,2018
Jaguars,                    0                  ,                    2                  ,                    2                  ,2018
Raiders,                    0                  ,                    0                  ,                    1                  ,2018
Dolphins,                    0                  ,                    0                  ,                    3                  ,2018
Saints,                    0                  ,                    0                  ,                    1                  ,2018
Giants,                    0                  ,                    0                  ,                    3                  ,2018
Jets,                    0                  ,                    0                  ,                    3                  ,2018
Eagles,                    0                  ,                    0                  ,                    0                  ,2018
49ers,                    0                  ,                    1                  ,                    1                  ,2018
Ravens,                    4                  ,                    1                  ,                    2                  ,2019
Buccaneers,                    4                  ,                    0                  ,                    2                  ,2019
Titans,                    2                  ,                    1                  ,                    1                  ,2019
Chiefs,                    2                  ,                    0                  ,                    1                  ,2019
Rams,                    2                  ,                    1                  ,                    2                  ,2019
Patriots,                    2                  ,                    1                  ,                    3                  ,2019
Jets,                    2                  ,                    2                  ,                    3                  ,2019
Eagles,                    2                  ,                    0                  ,                    1                  ,2019
Steelers,                    2                  ,                    0                  ,                    1                  ,2019
49ers,                    2                  ,                    0                  ,                    3                  ,2019
Falcons,                    1                  ,                    0                  ,                    1                  ,2019
Panthers,                    1                  ,                    2                  ,                    0                  ,2019
Cowboys,                    1                  ,                    0                  ,                    0                  ,2019
Broncos,                    1                  ,                    0                  ,                    0                  ,2019
Lions,                    1                  ,                    0                  ,                    0                  ,2019
Jaguars,                    1                  ,                    0                  ,                    1                  ,2019
Vikings,                    1                  ,                    1                  ,                    1                  ,2019
Saints,                    1                  ,                    1                  ,                    2                  ,2019
Giants,                    1                  ,                    1                  ,                    1                  ,2019
Seahawks,                    1                  ,                    0                  ,                    2                  ,2019
Bills,                    0                  ,                    1                  ,                    0                  ,2019
Bears,                    0                  ,                    1                  ,                    1                  ,2019
Bengals,                    0                  ,                    1                  ,                    0                  ,2019
Browns,                    0                  ,                    0                  ,                    1                  ,2019
Packers,                    0                  ,                    0                  ,                    0                  ,2019
Texans,                    0                  ,                    0                  ,                    2                  ,2019
Colts,                    0                  ,                    2                  ,                    1                  ,2019
Raiders,                    0                  ,                    0                  ,                    2                  ,2019
Dolphins,                    0                  ,                    1                  ,                    1                  ,2019
Cardinals,                    0                  ,                    0                  ,                    0                  ,2019
Chargers,                    0                  ,                    0                  ,                    0                  ,2019
Redskins,                    0                  ,                    0                  ,                    0                  ,2019
Ravens,                    3                  ,                    2                  ,                    0                  ,2020
Panthers,                    3                  ,                    0                  ,                    0                  ,2020
Cowboys,                    2                  ,                    0                  ,                    0                  ,2020
Dolphins,                    2                  ,                    0                  ,                    0                  ,2020
Bills,                    1                  ,                    0                  ,                    2                  ,2020
Bears,                    1                  ,                    1                  ,                    0                  ,2020
Packers,                    1                  ,                    1                  ,                    1                  ,2020
Titans,                    1                  ,                    0                  ,                    0                  ,2020
Rams,                    1                  ,                    1                  ,                    3                  ,2020
Patriots,                    1                  ,                    0                  ,                    1                  ,2020
Giants,                    1                  ,                    0                  ,                    1                  ,2020
Eagles,                    1                  ,                    1                  ,                    1                  ,2020
FootballTeam,                    1                  ,                    1                  ,                    2                  ,2020
Falcons,                    0                  ,                    0                  ,                    1                  ,2020
Bengals,                    0                  ,                    0                  ,                    0                  ,2020
Browns,                    0                  ,                    2                  ,                    2                  ,2020
Broncos,                    0                  ,                    0                  ,                    0                  ,2020
Lions,                    0                  ,                    1                  ,                    0                  ,2020
Texans,                    0                  ,                    0                  ,                    1                  ,2020
Colts,                    0                  ,                    3                  ,                    4                  ,2020
Jaguars,                    0                  ,                    0                  ,                    1                  ,2020
Chiefs,                    0                  ,                    1                  ,                    2                  ,2020
Raiders,                    0                  ,                    0                  ,                    0                  ,2020
Vikings,                    0                  ,                    1                  ,                    0                  ,2020
Saints,                    0                  ,                    1                  ,                    1                  ,2020
Jets,                    0                  ,                    1                  ,                    1                  ,2020
Cardinals,                    0                  ,                    1                  ,                    0                  ,2020
Steelers,                    0                  ,                    1                  ,                    3                  ,2020
Chargers,                    0                  ,                    1                  ,                    2                  ,2020
49ers,                    0                  ,                    0                  ,                    1                  ,2020
Seahawks,                    0                  ,                    3                  ,                    0                  ,2020
Buccaneers,                    0                  ,                    1                  ,                    1                  ,2020
Eagles,                    3                  ,                    0                  ,                    2                  ,2021
Chiefs,                    2                  ,                    0                  ,                    2                  ,2021
Dolphins,                    2                  ,                    0                  ,                    3                  ,2021
Bears,                    1                  ,                    1                  ,                    1                  ,2021
Bengals,                    1                  ,                    0                  ,                    1                  ,2021
Browns,                    1                  ,                    0                  ,                    1                  ,2021
Cowboys,                    1                  ,                    0                  ,                    5                  ,2021
Titans,                    1                  ,                    0                  ,                    2                  ,2021
Colts,                    1                  ,                    1                  ,                    0                  ,2021
Cardinals,                    1                  ,                    0                  ,                    1                  ,2021
Chargers,                    1                  ,                    0                  ,                    0                  ,2021
Falcons,                    0                  ,                    1                  ,                    2                  ,2021
Ravens,                    0                  ,                    0                  ,                    1                  ,2021
Bills,                    0                  ,                    0                  ,                    1                  ,2021
Panthers,                    0                  ,                    1                  ,                    0                  ,2021
Broncos,                    0                  ,                    0                  ,                    1                  ,2021
Lions,                    0                  ,                    0                  ,                    0                  ,2021
Packers,                    0                  ,                    0                  ,                    2                  ,2021
Texans,                    0                  ,                    1                  ,                    1                  ,2021
Jaguars,                    0                  ,                    0                  ,                    0                  ,2021
Rams,                    0                  ,                    0                  ,                    0                  ,2021
Raiders,                    0                  ,                    1                  ,                    0                  ,2021
Vikings,                    0                  ,                    0                  ,                    2                  ,2021
Patriots,                    0                  ,                    0                  ,                    3                  ,2021
Saints,                    0                  ,                    0                  ,                    2                  ,2021
Giants,                    0                  ,                    1                  ,                    1                  ,2021
Jets,                    0                  ,                    0                  ,                    1                  ,2021
Steelers,                    0                  ,                    0                  ,                    0                  ,2021
49ers,                    0                  ,                    0                  ,                    2                  ,2021
Seahawks,                    0                  ,                    1                  ,                    0                  ,2021
Buccaneers,                    0                  ,                    0                  ,                    2                  ,2021
FootballTeam,                    0                  ,                    0                  ,                    2                  ,2021
Cowboys,                    3                  ,                    0                  ,                    0                  ,2022
Browns,                    2                  ,                    0                  ,                    1                  ,2022
Jaguars,                    2                  ,                    0                  ,                    2                  ,2022
Raiders,                    2                  ,                    0                  ,                    1                  ,2022
Dolphins,                    2                  ,                    1                  ,                    0                  ,2022
Patriots,                    2                  ,                    0                  ,                    5                  ,2022
Cardinals,                    2                  ,                    0                  ,                    3                  ,2022
Panthers,                    1                  ,                    0                  ,                    2                  ,2022
Bengals,                    1                  ,                    0                  ,                    0                  ,2022
Vikings,                    1                  ,                    0                  ,                    0                  ,2022
Giants,                    1                  ,                    0                  ,                    1                  ,2022
49ers,                    1                  ,                    0                  ,                    2                  ,2022
Commanders,                    1                  ,                    1                  ,                    2                  ,2022
Falcons,                    0                  ,                    1                  ,                    1                  ,2022
Ravens,                    0                  ,                    0                  ,                    0                  ,2022
Bills,                    0                  ,                    2                  ,                    1                  ,2022
Bears,                    0                  ,                    0                  ,                    0                  ,2022
