Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Dolphins,                    469                  ,                    1987                  ,                    4.2                  ,                    11                  ,                    11                  ,                    1                  ,                    76T                  ,                    89                  ,                    19                  ,                    13                  ,2011
Raiders,                    466                  ,                    2110                  ,                    4.5                  ,                    16                  ,                    21                  ,                    4                  ,                    70T                  ,                    110                  ,                    23.6                  ,                    7                  ,2011
Ravens,                    459                  ,                    1996                  ,                    4.4                  ,                    15                  ,                    13                  ,                    5                  ,                    70T                  ,                    98                  ,                    21.4                  ,                    6                  ,2011
Bears,                    456                  ,                    2015                  ,                    4.4                  ,                    10                  ,                    18                  ,                    4                  ,                    46                  ,                    97                  ,                    21.3                  ,                    7                  ,2011
Bengals,                    455                  ,                    1778                  ,                    3.9                  ,                    10                  ,                    6                  ,                    1                  ,                    42T                  ,                    93                  ,                    20.4                  ,                    7                  ,2011
Falcons,                    453                  ,                    1834                  ,                    4                  ,                    14                  ,                    11                  ,                    4                  ,                    81T                  ,                    100                  ,                    22.1                  ,                    4                  ,2011
Eagles,                    450                  ,                    2276                  ,                    5.1                  ,                    20                  ,                    20                  ,                    3                  ,                    60                  ,                    134                  ,                    29.8                  ,                    9                  ,2011
Vikings,                    448                  ,                    2318                  ,                    5.2                  ,                    18                  ,                    19                  ,                    5                  ,                    67T                  ,                    118                  ,                    26.3                  ,                    7                  ,2011
Panthers,                    445                  ,                    2408                  ,                    5.4                  ,                    26                  ,                    24                  ,                    3                  ,                    74                  ,                    139                  ,                    31.2                  ,                    3                  ,2011
Seahawks,                    444                  ,                    1756                  ,                    4                  ,                    15                  ,                    8                  ,                    3                  ,                    48                  ,                    89                  ,                    20                  ,                    8                  ,2011
Jets,                    443                  ,                    1692                  ,                    3.8                  ,                    14                  ,                    7                  ,                    0                  ,                    31                  ,                    92                  ,                    20.8                  ,                    8                  ,2011
Patriots,                    438                  ,                    1764                  ,                    4                  ,                    18                  ,                    5                  ,                    0                  ,                    33                  ,                    107                  ,                    24.4                  ,                    3                  ,2011
Chargers,                    436                  ,                    1864                  ,                    4.3                  ,                    16                  ,                    13                  ,                    2                  ,                    41                  ,                    97                  ,                    22.2                  ,                    8                  ,2011
Steelers,                    434                  ,                    1903                  ,                    4.4                  ,                    13                  ,                    9                  ,                    3                  ,                    76T                  ,                    96                  ,                    22.1                  ,                    5                  ,2011
Saints,                    431                  ,                    2127                  ,                    4.9                  ,                    16                  ,                    14                  ,                    0                  ,                    36                  ,                    116                  ,                    26.9                  ,                    3                  ,2011
Browns,                    415                  ,                    1531                  ,                    3.7                  ,                    4                  ,                    7                  ,                    1                  ,                    40T                  ,                    77                  ,                    18.6                  ,                    10                  ,2011
Giants,                    411                  ,                    1427                  ,                    3.5                  ,                    17                  ,                    4                  ,                    0                  ,                    37                  ,                    84                  ,                    20.4                  ,                    6                  ,2011
Rams,                    409                  ,                    1667                  ,                    4.1                  ,                    7                  ,                    7                  ,                    2                  ,                    47                  ,                    79                  ,                    19.3                  ,                    6                  ,2011
Cowboys,                    408                  ,                    1807                  ,                    4.4                  ,                    5                  ,                    11                  ,                    3                  ,                    91T                  ,                    91                  ,                    22.3                  ,                    8                  ,2011
Redskins,                    400                  ,                    1614                  ,                    4                  ,                    8                  ,                    10                  ,                    0                  ,                    39T                  ,                    79                  ,                    19.8                  ,                    4                  ,2011
Packers,                    395                  ,                    1558                  ,                    3.9                  ,                    12                  ,                    8                  ,                    2                  ,                    47                  ,                    89                  ,                    22.5                  ,                    4                  ,2011
Bills,                    391                  ,                    1921                  ,                    4.9                  ,                    12                  ,                    17                  ,                    3                  ,                    80T                  ,                    100                  ,                    25.6                  ,                    10                  ,2011
Cardinals,                    389                  ,                    1625                  ,                    4.2                  ,                    12                  ,                    7                  ,                    2                  ,                    71                  ,                    83                  ,                    21.3                  ,                    8                  ,2011
Colts,                    382                  ,                    1594                  ,                    4.2                  ,                    8                  ,                    7                  ,                    2                  ,                    80T                  ,                    69                  ,                    18.1                  ,                    7                  ,2011
Titans,                    376                  ,                    1438                  ,                    3.8                  ,                    8                  ,                    14                  ,                    1                  ,                    48                  ,                    71                  ,                    18.9                  ,                    5                  ,2011
