Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Browns,                    507                  ,                    309                  ,                    61                  ,                    7.3                  ,                    3709                  ,                    26                  ,                    19                  ,                    84.8                  ,                    195                  ,                    38.5                  ,                    49                  ,                    8                  ,                    78T                  ,                    29                  ,2010
Chiefs,                    581                  ,                    319                  ,                    54.9                  ,                    6.5                  ,                    3777                  ,                    23                  ,                    14                  ,                    78.1                  ,                    186                  ,                    32                  ,                    44                  ,                    10                  ,                    87T                  ,                    39                  ,2010
Titans,                    625                  ,                    410                  ,                    65.6                  ,                    6.9                  ,                    4304                  ,                    23                  ,                    17                  ,                    86.4                  ,                    214                  ,                    34.2                  ,                    45                  ,                    10                  ,                    75T                  ,                    40                  ,2010
Jaguars,                    506                  ,                    329                  ,                    65                  ,                    8.3                  ,                    4193                  ,                    28                  ,                    13                  ,                    98.5                  ,                    197                  ,                    38.9                  ,                    58                  ,                    13                  ,                    67T                  ,                    26                  ,2010
Bears,                    582                  ,                    363                  ,                    62.4                  ,                    6.6                  ,                    3820                  ,                    14                  ,                    21                  ,                    74.4                  ,                    183                  ,                    31.4                  ,                    44                  ,                    5                  ,                    59T                  ,                    34                  ,2010
Lions,                    604                  ,                    376                  ,                    62.2                  ,                    6.8                  ,                    4102                  ,                    26                  ,                    21                  ,                    82.1                  ,                    195                  ,                    32.3                  ,                    46                  ,                    9                  ,                    80T                  ,                    41                  ,2011
Saints,                    626                  ,                    362                  ,                    57.8                  ,                    7                  ,                    4413                  ,                    24                  ,                    9                  ,                    86.4                  ,                    196                  ,                    31.3                  ,                    49                  ,                    14                  ,                    72T                  ,                    33                  ,2011
Patriots,                    619                  ,                    386                  ,                    62.4                  ,                    8                  ,                    4977                  ,                    26                  ,                    23                  ,                    86.1                  ,                    245                  ,                    39.6                  ,                    79                  ,                    9                  ,                    58                  ,                    40                  ,2011
Falcons,                    560                  ,                    340                  ,                    60.7                  ,                    7.2                  ,                    4017                  ,                    25                  ,                    19                  ,                    83.3                  ,                    186                  ,                    33.2                  ,                    56                  ,                    12                  ,                    70T                  ,                    33                  ,2011
Redskins,                    509                  ,                    308                  ,                    60.5                  ,                    7.5                  ,                    3804                  ,                    22                  ,                    13                  ,                    87.4                  ,                    180                  ,                    35.4                  ,                    58                  ,                    9                  ,                    73T                  ,                    41                  ,2011
Giants,                    589                  ,                    361                  ,                    61.3                  ,                    7.5                  ,                    4417                  ,                    28                  ,                    20                  ,                    86.1                  ,                    210                  ,                    35.6                  ,                    60                  ,                    7                  ,                    74                  ,                    48                  ,2011
Buccaneers,                    481                  ,                    301                  ,                    62.6                  ,                    8.2                  ,                    3962                  ,                    30                  ,                    14                  ,                    97.2                  ,                    188                  ,                    39.1                  ,                    50                  ,                    12                  ,                    91T                  ,                    23                  ,2011
Titans,                    591                  ,                    369                  ,                    62.4                  ,                    6.4                  ,                    3809                  ,                    21                  ,                    11                  ,                    85.1                  ,                    187                  ,                    31.6                  ,                    54                  ,                    4                  ,                    78T                  ,                    28                  ,2011
Chargers,                    478                  ,                    299                  ,                    62.6                  ,                    7.9                  ,                    3778                  ,                    29                  ,                    17                  ,                    92.6                  ,                    186                  ,                    38.9                  ,                    53                  ,                    10                  ,                    78                  ,                    32                  ,2011
Bills,                    507                  ,                    321                  ,                    63.3                  ,                    7.7                  ,                    3924                  ,                    30                  ,                    20                  ,                    90.4                  ,                    196                  ,                    38.7                  ,                    48                  ,                    11                  ,                    65T                  ,                    29                  ,2011
Browns,                    469                  ,                    265                  ,                    56.5                  ,                    6.7                  ,                    3158                  ,                    16                  ,                    9                  ,                    80.6                  ,                    149                  ,                    31.8                  ,                    43                  ,                    8                  ,                    80T                  ,                    32                  ,2011
Cowboys,                    545                  ,                    336                  ,                    61.6                  ,                    7.6                  ,                    4149                  ,                    24                  ,                    15                  ,                    88.4                  ,                    199                  ,                    36.5                  ,                    57                  ,                    9                  ,                    74T                  ,                    42                  ,2011
Eagles,                    518                  ,                    301                  ,                    58.1                  ,                    7.2                  ,                    3713                  ,                    27                  ,                    15                  ,                    85.7                  ,                    173                  ,                    33.4                  ,                    53                  ,                    13                  ,                    74T                  ,                    50                  ,2011
Packers,                    637                  ,                    390                  ,                    61.2                  ,                    7.8                  ,                    4988                  ,                    29                  ,                    31                  ,                    80.6                  ,                    246                  ,                    38.6                  ,                    71                  ,                    10                  ,                    72                  ,                    29                  ,2011
Cardinals,                    578                  ,                    340                  ,                    58.8                  ,                    6.9                  ,                    4000                  ,                    17                  ,                    10                  ,                    82.5                  ,                    174                  ,                    30.1                  ,                    58                  ,                    7                  ,                    95T                  ,                    42                  ,2011
Rams,                    484                  ,                    293                  ,                    60.5                  ,                    7.4                  ,                    3562                  ,                    21                  ,                    12                  ,                    87.3                  ,                    166                  ,                    34.3                  ,                    49                  ,                    12                  ,                    93T                  ,                    39                  ,2011
Jets,                    507                  ,                    275                  ,                    54.2                  ,                    6.7                  ,                    3414                  ,                    15                  ,                    19                  ,                    69.6                  ,                    167                  ,                    32.9                  ,                    43                  ,                    10                  ,                    99T                  ,                    35                  ,2011
Ravens,                    535                  ,                    288                  ,                    53.8                  ,                    6.4                  ,                    3430                  ,                    11                  ,                    15                  ,                    68.8                  ,                    166                  ,                    31                  ,                    46                  ,                    8                  ,                    66                  ,                    48                  ,2011
Steelers,                    530                  ,                    289                  ,                    54.5                  ,                    5.6                  ,                    2981                  ,                    15                  ,                    11                  ,                    71.8                  ,                    156                  ,                    29.4                  ,                    34                  ,                    2                  ,                    73T                  ,                    35                  ,2011
