Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Seahawks,                    564                  ,                    327                  ,                    58                  ,                    6.2                  ,                    3497                  ,                    15                  ,                    18                  ,                    71.8                  ,                    186                  ,                    33                  ,                    40                  ,                    5                  ,                    56                  ,                    36                  ,2012
Browns,                    605                  ,                    363                  ,                    60                  ,                    6.2                  ,                    3723                  ,                    29                  ,                    14                  ,                    84.1                  ,                    197                  ,                    32.6                  ,                    41                  ,                    5                  ,                    50                  ,                    40                  ,2013
Broncos,                    613                  ,                    357                  ,                    58.2                  ,                    7.1                  ,                    4360                  ,                    29                  ,                    17                  ,                    84.5                  ,                    208                  ,                    33.9                  ,                    61                  ,                    8                  ,                    82T                  ,                    41                  ,2013
Falcons,                    516                  ,                    341                  ,                    66.1                  ,                    8                  ,                    4128                  ,                    31                  ,                    10                  ,                    102.4                  ,                    196                  ,                    38                  ,                    52                  ,                    17                  ,                    67                  ,                    32                  ,2013
Saints,                    507                  ,                    304                  ,                    60                  ,                    6.8                  ,                    3441                  ,                    20                  ,                    12                  ,                    83.6                  ,                    168                  ,                    33.1                  ,                    40                  ,                    10                  ,                    60                  ,                    49                  ,2013
Lions,                    572                  ,                    338                  ,                    59.1                  ,                    7.3                  ,                    4199                  ,                    24                  ,                    15                  ,                    85                  ,                    197                  ,                    34.4                  ,                    52                  ,                    14                  ,                    85T                  ,                    33                  ,2013
Texans,                    484                  ,                    287                  ,                    59.3                  ,                    6.8                  ,                    3310                  ,                    29                  ,                    7                  ,                    93.9                  ,                    158                  ,                    32.6                  ,                    37                  ,                    10                  ,                    64T                  ,                    32                  ,2013
Patriots,                    589                  ,                    336                  ,                    57                  ,                    7                  ,                    4137                  ,                    25                  ,                    17                  ,                    81                  ,                    208                  ,                    35.3                  ,                    55                  ,                    9                  ,                    80T                  ,                    48                  ,2013
Ravens,                    552                  ,                    314                  ,                    56.9                  ,                    7.1                  ,                    3938                  ,                    25                  ,                    16                  ,                    82.2                  ,                    176                  ,                    31.9                  ,                    50                  ,                    17                  ,                    79T                  ,                    40                  ,2013
Redskins,                    514                  ,                    337                  ,                    65.6                  ,                    8                  ,                    4134                  ,                    29                  ,                    16                  ,                    96.1                  ,                    204                  ,                    39.7                  ,                    58                  ,                    7                  ,                    57                  ,                    36                  ,2013
Dolphins,                    580                  ,                    344                  ,                    59.3                  ,                    6.9                  ,                    4024                  ,                    17                  ,                    18                  ,                    77.3                  ,                    192                  ,                    33.1                  ,                    53                  ,                    10                  ,                    67                  ,                    42                  ,2013
Jaguars,                    551                  ,                    354                  ,                    64.2                  ,                    7.6                  ,                    4187                  ,                    29                  ,                    11                  ,                    96.5                  ,                    200                  ,                    36.3                  ,                    65                  ,                    8                  ,                    95T                  ,                    31                  ,2013
Bengals,                    614                  ,                    362                  ,                    59                  ,                    5.9                  ,                    3623                  ,                    22                  ,                    20                  ,                    74.2                  ,                    178                  ,                    29                  ,                    36                  ,                    9                  ,                    74T                  ,                    43                  ,2013
Cowboys,                    623                  ,                    403                  ,                    64.7                  ,                    7.8                  ,                    4835                  ,                    33                  ,                    15                  ,                    96                  ,                    231                  ,                    37.1                  ,                    71                  ,                    8                  ,                    87                  ,                    34                  ,2013
Steelers,                    569                  ,                    329                  ,                    57.8                  ,                    6.6                  ,                    3751                  ,                    21                  ,                    10                  ,                    82.7                  ,                    174                  ,                    30.6                  ,                    46                  ,                    12                  ,                    81T                  ,                    34                  ,2013
Colts,                    536                  ,                    324                  ,                    60.4                  ,                    7.4                  ,                    3959                  ,                    21                  ,                    15                  ,                    84.6                  ,                    191                  ,                    35.6                  ,                    51                  ,                    8                  ,                    81T                  ,                    42                  ,2013
Bears,                    507                  ,                    315                  ,                    62.1                  ,                    7.7                  ,                    3919                  ,                    25                  ,                    19                  ,                    86.9                  ,                    184                  ,                    36.3                  ,                    59                  ,                    7                  ,                    48T                  ,                    31                  ,2013
Cardinals,                    625                  ,                    367                  ,                    58.7                  ,                    6.5                  ,                    4065                  ,                    29                  ,                    20                  ,                    80.2                  ,                    208                  ,                    33.3                  ,                    48                  ,                    5                  ,                    72T                  ,                    47                  ,2013
Packers,                    539                  ,                    332                  ,                    61.6                  ,                    7.8                  ,                    4194                  ,                    30                  ,                    11                  ,                    95.9                  ,                    190                  ,                    35.2                  ,                    61                  ,                    8                  ,                    67                  ,                    44                  ,2013
Giants,                    601                  ,                    361                  ,                    60.1                  ,                    6.3                  ,                    3787                  ,                    21                  ,                    17                  ,                    78.2                  ,                    198                  ,                    33                  ,                    41                  ,                    5                  ,                    56                  ,                    34                  ,2013
Chiefs,                    592                  ,                    334                  ,                    56.4                  ,                    7.2                  ,                    4271                  ,                    25                  ,                    21                  ,                    78.5                  ,                    189                  ,                    31.9                  ,                    63                  ,                    16                  ,                    77                  ,                    47                  ,2013
Vikings,                    648                  ,                    419                  ,                    64.7                  ,                    7.5                  ,                    4869                  ,                    37                  ,                    12                  ,                    98.6                  ,                    247                  ,                    38.1                  ,                    57                  ,                    9                  ,                    80T                  ,                    41                  ,2013
Chargers,                    548                  ,                    364                  ,                    66.4                  ,                    8                  ,                    4387                  ,                    23                  ,                    11                  ,                    96.4                  ,                    208                  ,                    38                  ,                    58                  ,                    10                  ,                    74T                  ,                    35                  ,2013
Titans,                    545                  ,                    344                  ,                    63.1                  ,                    7                  ,                    3839                  ,                    15                  ,                    13                  ,                    83.3                  ,                    191                  ,                    35                  ,                    49                  ,                    3                  ,                    55                  ,                    36                  ,2013
Bills,                    561                  ,                    310                  ,                    55.3                  ,                    6.5                  ,                    3666                  ,                    28                  ,                    23                  ,                    74.9                  ,                    170                  ,                    30.3                  ,                    47                  ,                    14                  ,                    74                  ,                    57                  ,2013
Raiders,                    549                  ,                    374                  ,                    68.1                  ,                    7.9                  ,                    4352                  ,                    33                  ,                    9                  ,                    105.1                  ,                    202                  ,                    36.8                  ,                    55                  ,                    11                  ,                    71T                  ,                    38                  ,2013
Buccaneers,                    547                  ,                    352                  ,                    64.4                  ,                    7.4                  ,                    4061                  ,                    30                  ,                    21                  ,                    88.9                  ,                    190                  ,                    34.7                  ,                    46                  ,                    10                  ,                    80T                  ,                    35                  ,2013
Eagles,                    670                  ,                    408                  ,                    60.9                  ,                    7.3                  ,                    4907                  ,                    25                  ,                    19                  ,                    84                  ,                    239                  ,                    35.7                  ,                    62                  ,                    9                  ,                    66                  ,                    37                  ,2013
Rams,                    521                  ,                    355                  ,                    68.1                  ,                    8.1                  ,                    4200                  ,                    21                  ,                    14                  ,                    94.7                  ,                    203                  ,                    39                  ,                    51                  ,                    11                  ,                    81T                  ,                    53                  ,2013
Jets,                    586                  ,                    345                  ,                    58.9                  ,                    7.2                  ,                    4189                  ,                    26                  ,                    13                  ,                    86.5                  ,                    198                  ,                    33.8                  ,                    55                  ,                    15                  ,                    77T                  ,                    41                  ,2013
Panthers,                    563                  ,                    375                  ,                    66.6                  ,                    6.8                  ,                    3853                  ,                    17                  ,                    20                  ,                    81.4                  ,                    178                  ,                    31.6                  ,                    48                  ,                    8                  ,                    73                  ,                    60                  ,2013
Seahawks,                    524                  ,                    309                  ,                    59                  ,                    5.8                  ,                    3050                  ,                    16                  ,                    28                  ,                    63.4                  ,                    156                  ,                    29.8                  ,                    30                  ,                    3                  ,                    73T                  ,                    44                  ,2013
Niners,                    585                  ,                    345                  ,                    59                  ,                    6.5                  ,                    3819                  ,                    19                  ,                    18                  ,                    76.4                  ,                    181                  ,                    30.9                  ,                    43                  ,                    9                  ,                    75T                  ,                    38                  ,2013
Colts,                    543                  ,                    320                  ,                    58.9                  ,                    7.2                  ,                    3932                  ,                    27                  ,                    12                  ,                    88.7                  ,                    175                  ,                    32.2                  ,                    54                  ,                    11                  ,                    63T                  ,                    41                  ,2014
Saints,                    546                  ,                    341                  ,                    62.4                  ,                    7.7                  ,                    4207                  ,                    26                  ,                    12                  ,                    93                  ,                    205                  ,                    37.6                  ,                    54                  ,                    10                  ,                    73T                  ,                    34                  ,2014
Falcons,                    566                  ,                    359                  ,                    63.4                  ,                    8.2                  ,                    4618                  ,                    20                  ,                    16                  ,                    88.9                  ,                    224                  ,                    39.6                  ,                    56                  ,                    14                  ,                    76T                  ,                    22                  ,2014
Raiders,                    538                  ,                    343                  ,                    63.8                  ,                    7.4                  ,                    3967                  ,                    29                  ,                    9                  ,                    96.9                  ,                    190                  ,                    35.3                  ,                    59                  ,                    6                  ,                    70T                  ,                    22                  ,2014
Eagles,                    591                  ,                    345                  ,                    58.4                  ,                    7.8                  ,                    4595                  ,                    30                  ,                    12                  ,                    91.6                  ,                    211                  ,                    35.7                  ,                    72                  ,                    18                  ,                    81T                  ,                    49                  ,2014
Steelers,                    543                  ,                    350                  ,                    64.5                  ,                    7.8                  ,                    4243                  ,                    30                  ,                    11                  ,                    98.3                  ,                    193                  ,                    35.5                  ,                    50                  ,                    15                  ,                    81T                  ,                    33                  ,2014
Bears,                    548                  ,                    366                  ,                    66.8                  ,                    8.1                  ,                    4458                  ,                    34                  ,                    14                  ,                    101.7                  ,                    227                  ,                    41.4                  ,                    65                  ,                    13                  ,                    73T                  ,                    39                  ,2014
Patriots,                    574                  ,                    342                  ,                    59.6                  ,                    7.2                  ,                    4119                  ,                    24                  ,                    16                  ,                    84                  ,                    196                  ,                    34.2                  ,                    62                  ,                    8                  ,                    50                  ,                    40                  ,2014
Broncos,                    641                  ,                    399                  ,                    62.2                  ,                    6                  ,                    3859                  ,                    29                  ,                    18                  ,                    82.4                  ,                    219                  ,                    34.2                  ,                    41                  ,                    4                  ,                    81T                  ,                    41                  ,2014
Giants,                    522                  ,                    324                  ,                    62.1                  ,                    8                  ,                    4163                  ,                    25                  ,                    17                  ,                    89.4                  ,                    187                  ,                    35.8                  ,                    62                  ,                    13                  ,                    74T                  ,                    47                  ,2014
Lions,                    592                  ,                    383                  ,                    64.7                  ,                    6.8                  ,                    4001                  ,                    23                  ,                    20                  ,                    83                  ,                    209                  ,                    35.3                  ,                    47                  ,                    6                  ,                    50                  ,                    42                  ,2014
Dolphins,                    537                  ,                    338                  ,                    62.9                  ,                    7                  ,                    3768                  ,                    27                  ,                    14                  ,                    89.7                  ,                    194                  ,                    36.1                  ,                    47                  ,                    7                  ,                    74T                  ,                    39                  ,2014
Bills,                    559                  ,                    337                  ,                    60.3                  ,                    6.4                  ,                    3600                  ,                    16                  ,                    19                  ,                    74.5                  ,                    171                  ,                    30.6                  ,                    36                  ,                    8                  ,                    56T                  ,                    54                  ,2014
Chargers,                    524                  ,                    320                  ,                    61.1                  ,                    6.9                  ,                    3605                  ,                    24                  ,                    7                  ,                    91.3                  ,                    168                  ,                    32.1                  ,                    47                  ,                    5                  ,                    77T                  ,                    26                  ,2014
Cardinals,                    579                  ,                    365                  ,                    63                  ,                    7.6                  ,                    4396                  ,                    22                  ,                    18                  ,                    86                  ,                    195                  ,                    33.7                  ,                    62                  ,                    14                  ,                    86T                  ,                    35                  ,2014
Jaguars,                    541                  ,                    355                  ,                    65.6                  ,                    7.7                  ,                    4174                  ,                    24                  ,                    6                  ,                    99.1                  ,                    200                  ,                    37                  ,                    60                  ,                    7                  ,                    73T                  ,                    45                  ,2014
Ravens,                    595                  ,                    382                  ,                    64.2                  ,                    7.3                  ,                    4341                  ,                    22                  ,                    11                  ,                    90.6                  ,                    205                  ,                    34.4                  ,                    54                  ,                    10                  ,                    77T                  ,                    49                  ,2014
Redskins,                    519                  ,                    345                  ,                    66.5                  ,                    8.2                  ,                    4231                  ,                    35                  ,                    7                  ,                    108.3                  ,                    195                  ,                    37.6                  ,                    56                  ,                    12                  ,                    79T                  ,                    36                  ,2014
Panthers,                    562                  ,                    364                  ,                    64.8                  ,                    7                  ,                    3913                  ,                    25                  ,                    14                  ,                    89.5                  ,                    193                  ,                    34.3                  ,                    46                  ,                    5                  ,                    81T                  ,                    40                  ,2014
Packers,                    564                  ,                    333                  ,                    59                  ,                    6.9                  ,                    3884                  ,                    26                  ,                    18                  ,                    82                  ,                    196                  ,                    34.8                  ,                    50                  ,                    8                  ,                    79                  ,                    41                  ,2014
Buccaneers,                    563                  ,                    387                  ,                    68.7                  ,                    7.6                  ,                    4294                  ,                    28                  ,                    14                  ,                    97.4                  ,                    223                  ,                    39.6                  ,                    48                  ,                    5                  ,                    56T                  ,                    36                  ,2014
Vikings,                    534                  ,                    353                  ,                    66.1                  ,                    7.1                  ,                    3789                  ,                    26                  ,                    13                  ,                    92.8                  ,                    189                  ,                    35.4                  ,                    44                  ,                    10                  ,                    66T                  ,                    41                  ,2014
Rams,                    540                  ,                    368                  ,                    68.2                  ,                    7.6                  ,                    4126                  ,                    18                  ,                    13                  ,                    91.8                  ,                    189                  ,                    35                  ,                    44                  ,                    8                  ,                    80T                  ,                    40                  ,2014
Titans,                    545                  ,                    347                  ,                    63.7                  ,                    7.3                  ,                    3995                  ,                    28                  ,                    12                  ,                    93.6                  ,                    211                  ,                    38.7                  ,                    47                  ,                    9                  ,                    80                  ,                    39                  ,2014
Bengals,                    608                  ,                    365                  ,                    60                  ,                    6.6                  ,                    4013                  ,                    18                  ,                    20                  ,                    75.8                  ,                    197                  ,                    32.4                  ,                    48                  ,                    6                  ,                    94T                  ,                    20                  ,2014
Browns,                    587                  ,                    335                  ,                    57.1                  ,                    6.4                  ,                    3783                  ,                    22                  ,                    21                  ,                    74.1                  ,                    184                  ,                    31.4                  ,                    55                  ,                    7                  ,                    75T                  ,                    31                  ,2014
Jets,                    538                  ,                    345                  ,                    64.1                  ,                    7.5                  ,                    4056                  ,                    31                  ,                    6                  ,                    101.5                  ,                    194                  ,                    36.1                  ,                    45                  ,                    14                  ,                    87T                  ,                    45                  ,2014
Chiefs,                    545                  ,                    318                  ,                    58.4                  ,                    6.4                  ,                    3505                  ,                    22                  ,                    6                  ,                    86.4                  ,                    184                  ,                    33.8                  ,                    41                  ,                    7                  ,                    48                  ,                    46                  ,2014
Niners,                    551                  ,                    324                  ,                    58.8                  ,                    6.8                  ,                    3731                  ,                    29                  ,                    23                  ,                    79.4                  ,                    188                  ,                    34.1                  ,                    49                  ,                    8                  ,                    63                  ,                    36                  ,2014
Texans,                    619                  ,                    363                  ,                    58.6                  ,                    6.7                  ,                    4141                  ,                    28                  ,                    20                  ,                    80.4                  ,                    206                  ,                    33.3                  ,                    50                  ,                    12                  ,                    80T                  ,                    38                  ,2014
Cowboys,                    558                  ,                    371                  ,                    66.5                  ,                    7.5                  ,                    4187                  ,                    22                  ,                    18                  ,                    88.5                  ,                    195                  ,                    35                  ,                    45                  ,                    14                  ,                    72                  ,                    28                  ,2014
Seahawks,                    507                  ,                    313                  ,                    61.7                  ,                    6.3                  ,                    3204                  ,                    17                  ,                    13                  ,                    80.4                  ,                    175                  ,                    34.5                  ,                    32                  ,                    6                  ,                    60T                  ,                    37                  ,2014
Ravens,                    545                  ,                    350                  ,                    64.2                  ,                    7.3                  ,                    3957                  ,                    30                  ,                    6                  ,                    99.6                  ,                    189                  ,                    34.7                  ,                    51                  ,                    10                  ,                    80T                  ,                    37                  ,2015
Saints,                    544                  ,                    372                  ,                    68.4                  ,                    8.7                  ,                    4755                  ,                    45                  ,                    9                  ,                    116.2                  ,                    223                  ,                    41                  ,                    64                  ,                    17                  ,                    90T                  ,                    31                  ,2015
Chargers,                    510                  ,                    328                  ,                    64.3                  ,                    7.9                  ,                    4008                  ,                    22                  ,                    11                  ,                    93.8                  ,                    170                  ,                    33.3                  ,                    54                  ,                    12                  ,                    72T                  ,                    32                  ,2015
Lions,                    528                  ,                    360                  ,                    68.2                  ,                    7.7                  ,                    4065                  ,                    27                  ,                    9                  ,                    100.9                  ,                    191                  ,                    36.2                  ,                    59                  ,                    11                  ,                    61T                  ,                    43                  ,2015
Patriots,                    596                  ,                    361                  ,                    60.6                  ,                    7.1                  ,                    4209                  ,                    24                  ,                    12                  ,                    87                  ,                    204                  ,                    34.2                  ,                    57                  ,                    9                  ,                    87T                  ,                    49                  ,2015
Giants,                    638                  ,                    423                  ,                    66.3                  ,                    7.7                  ,                    4920                  ,                    31                  ,                    15                  ,                    95.9                  ,                    236                  ,                    37                  ,                    62                  ,                    11                  ,                    76T                  ,                    23                  ,2015
Eagles,                    633                  ,                    394                  ,                    62.2                  ,                    7.1                  ,                    4516                  ,                    36                  ,                    15                  ,                    92.8                  ,                    239                  ,                    37.8                  ,                    55                  ,                    9                  ,                    59                  ,                    37                  ,2015
Falcons,                    561                  ,                    370                  ,                    66                  ,                    7.1                  ,                    3999                  ,                    19                  ,                    15                  ,                    86.9                  ,                    197                  ,                    35.1                  ,                    50                  ,                    5                  ,                    74T                  ,                    19                  ,2015
Texans,                    553                  ,                    326                  ,                    59                  ,                    6.6                  ,                    3677                  ,                    24                  ,                    14                  ,                    82.8                  ,                    173                  ,                    31.3                  ,                    48                  ,                    12                  ,                    55                  ,                    45                  ,2015
Colts,                    585                  ,                    354                  ,                    60.5                  ,                    7.5                  ,                    4365                  ,                    29                  ,                    17                  ,                    88                  ,                    210                  ,                    35.9                  ,                    64                  ,                    12                  ,                    80T                  ,                    35                  ,2015
Browns,                    511                  ,                    322                  ,                    63                  ,                    8.2                  ,                    4169                  ,                    34                  ,                    11                  ,                    101.8                  ,                    186                  ,                    36.4                  ,                    52                  ,                    16                  ,                    75T                  ,                    29                  ,2015
