Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Jaguars,                    507                  ,                    2108                  ,                    4.2                  ,                    20                  ,                    14                  ,                    2                  ,                    50                  ,                    121                  ,                    23.9                  ,                    10                  ,2013
Dolphins,                    484                  ,                    1998                  ,                    4.1                  ,                    14                  ,                    8                  ,                    1                  ,                    51                  ,                    114                  ,                    23.6                  ,                    5                  ,2013
Browns,                    462                  ,                    1781                  ,                    3.8                  ,                    13                  ,                    8                  ,                    2                  ,                    54T                  ,                    103                  ,                    22.3                  ,                    4                  ,2013
Cowboys,                    437                  ,                    2056                  ,                    4.7                  ,                    17                  ,                    8                  ,                    3                  ,                    60                  ,                    122                  ,                    27.9                  ,                    4                  ,2013
Falcons,                    455                  ,                    2173                  ,                    4.8                  ,                    14                  ,                    14                  ,                    6                  ,                    80T                  ,                    102                  ,                    22.4                  ,                    5                  ,2013
Texans,                    420                  ,                    1681                  ,                    4                  ,                    6                  ,                    11                  ,                    1                  ,                    41                  ,                    89                  ,                    21.2                  ,                    8                  ,2014
Seahawks,                    380                  ,                    1304                  ,                    3.4                  ,                    8                  ,                    7                  ,                    1                  ,                    47                  ,                    70                  ,                    18.4                  ,                    10                  ,2014
Cowboys,                    392                  ,                    1650                  ,                    4.2                  ,                    18                  ,                    12                  ,                    1                  ,                    62                  ,                    86                  ,                    21.9                  ,                    2                  ,2014
Jets,                    393                  ,                    1489                  ,                    3.8                  ,                    10                  ,                    7                  ,                    2                  ,                    97T                  ,                    74                  ,                    18.8                  ,                    5                  ,2014
Bengals,                    439                  ,                    1861                  ,                    4.2                  ,                    16                  ,                    7                  ,                    2                  ,                    53                  ,                    105                  ,                    23.9                  ,                    7                  ,2014
Browns,                    500                  ,                    2265                  ,                    4.5                  ,                    13                  ,                    16                  ,                    0                  ,                    38T                  ,                    126                  ,                    25.2                  ,                    6                  ,2014
Eagles,                    473                  ,                    1771                  ,                    3.7                  ,                    14                  ,                    9                  ,                    0                  ,                    37                  ,                    88                  ,                    18.6                  ,                    10                  ,2014
Panthers,                    397                  ,                    1792                  ,                    4.5                  ,                    14                  ,                    10                  ,                    5                  ,                    89T                  ,                    91                  ,                    22.9                  ,                    6                  ,2014
Niners,                    402                  ,                    1612                  ,                    4                  ,                    7                  ,                    10                  ,                    0                  ,                    37T                  ,                    83                  ,                    20.6                  ,                    4                  ,2014
Giants,                    438                  ,                    2162                  ,                    4.9                  ,                    15                  ,                    17                  ,                    2                  ,                    46                  ,                    112                  ,                    25.6                  ,                    10                  ,2014
Ravens,                    390                  ,                    1412                  ,                    3.6                  ,                    8                  ,                    8                  ,                    1                  ,                    67                  ,                    75                  ,                    19.2                  ,                    8                  ,2014
Broncos,                    349                  ,                    1276                  ,                    3.7                  ,                    9                  ,                    7                  ,                    1                  ,                    85T                  ,                    60                  ,                    17.2                  ,                    3                  ,2014
Patriots,                    419                  ,                    1669                  ,                    4                  ,                    6                  ,                    2                  ,                    1                  ,                    48                  ,                    88                  ,                    21                  ,                    6                  ,2014
Packers,                    449                  ,                    1919                  ,                    4.3                  ,                    11                  ,                    6                  ,                    1                  ,                    40                  ,                    116                  ,                    25.8                  ,                    11                  ,2014
Steelers,                    368                  ,                    1605                  ,                    4.4                  ,                    9                  ,                    11                  ,                    1                  ,                    41                  ,                    88                  ,                    23.9                  ,                    9                  ,2014
Chiefs,                    433                  ,                    2036                  ,                    4.7                  ,                    4                  ,                    8                  ,                    1                  ,                    90T                  ,                    108                  ,                    24.9                  ,                    4                  ,2014
Colts,                    423                  ,                    1814                  ,                    4.3                  ,                    14                  ,                    11                  ,                    1                  ,                    52                  ,                    103                  ,                    24.4                  ,                    9                  ,2014
Vikings,                    450                  ,                    1943                  ,                    4.3                  ,                    10                  ,                    6                  ,                    2                  ,                    53                  ,                    100                  ,                    22.2                  ,                    3                  ,2014
Saints,                    442                  ,                    2125                  ,                    4.8                  ,                    17                  ,                    19                  ,                    3                  ,                    69T                  ,                    111                  ,                    25.1                  ,                    5                  ,2014
Bills,                    414                  ,                    1703                  ,                    4.1                  ,                    10                  ,                    10                  ,                    1                  ,                    47                  ,                    89                  ,                    21.5                  ,                    6                  ,2014
Redskins,                    421                  ,                    1722                  ,                    4.1                  ,                    11                  ,                    9                  ,                    3                  ,                    65T                  ,                    77                  ,                    18.3                  ,                    12                  ,2014
Dolphins,                    453                  ,                    1937                  ,                    4.3                  ,                    13                  ,                    16                  ,                    4                  ,                    47                  ,                    99                  ,                    21.8                  ,                    7                  ,2014
Chargers,                    438                  ,                    1986                  ,                    4.5                  ,                    11                  ,                    12                  ,                    3                  ,                    90T                  ,                    98                  ,                    22.4                  ,                    10                  ,2014
Cardinals,                    396                  ,                    1739                  ,                    4.4                  ,                    9                  ,                    13                  ,                    5                  ,                    79T                  ,                    77                  ,                    19.4                  ,                    4                  ,2014
Lions,                    350                  ,                    1109                  ,                    3.2                  ,                    8                  ,                    7                  ,                    0                  ,                    35T                  ,                    59                  ,                    16.9                  ,                    6                  ,2014
Rams,                    425                  ,                    1765                  ,                    4.2                  ,                    12                  ,                    13                  ,                    4                  ,                    67T                  ,                    83                  ,                    19.5                  ,                    13                  ,2014
Falcons,                    450                  ,                    1894                  ,                    4.2                  ,                    21                  ,                    9                  ,                    2                  ,                    55                  ,                    108                  ,                    24                  ,                    5                  ,2014
Jaguars,                    499                  ,                    2033                  ,                    4.1                  ,                    15                  ,                    16                  ,                    4                  ,                    60T                  ,                    107                  ,                    21.4                  ,                    4                  ,2014
Titans,                    515                  ,                    2195                  ,                    4.3                  ,                    17                  ,                    9                  ,                    4                  ,                    62T                  ,                    119                  ,                    23.1                  ,                    2                  ,2014
Bears,                    421                  ,                    1803                  ,                    4.3                  ,                    12                  ,                    10                  ,                    3                  ,                    48                  ,                    78                  ,                    18.5                  ,                    5                  ,2014
Buccaneers,                    468                  ,                    1819                  ,                    3.9                  ,                    15                  ,                    10                  ,                    3                  ,                    57                  ,                    103                  ,                    22                  ,                    8                  ,2014
Raiders,                    481                  ,                    1911                  ,                    4                  ,                    17                  ,                    8                  ,                    3                  ,                    89T                  ,                    95                  ,                    19.8                  ,                    7                  ,2014
Panthers,                    364                  ,                    1415                  ,                    3.9                  ,                    11                  ,                    10                  ,                    1                  ,                    63T                  ,                    74                  ,                    20.3                  ,                    9                  ,2015
Bills,                    394                  ,                    1730                  ,                    4.4                  ,                    10                  ,                    9                  ,                    2                  ,                    58                  ,                    87                  ,                    22.1                  ,                    4                  ,2015
Seahawks,                    362                  ,                    1304                  ,                    3.6                  ,                    10                  ,                    4                  ,                    1                  ,                    48T                  ,                    71                  ,                    19.6                  ,                    9                  ,2015
Vikings,                    411                  ,                    1748                  ,                    4.2                  ,                    7                  ,                    7                  ,                    2                  ,                    72T                  ,                    94                  ,                    22.9                  ,                    6                  ,2015
Texans,                    388                  ,                    1597                  ,                    4.1                  ,                    10                  ,                    10                  ,                    1                  ,                    85T                  ,                    79                  ,                    20.4                  ,                    5                  ,2015
Bears,                    433                  ,                    1934                  ,                    4.5                  ,                    9                  ,                    5                  ,                    1                  ,                    44T                  ,                    103                  ,                    23.8                  ,                    6                  ,2015
Bengals,                    344                  ,                    1477                  ,                    4.3                  ,                    8                  ,                    11                  ,                    3                  ,                    69T                  ,                    74                  ,                    21.5                  ,                    4                  ,2015
Buccaneers,                    466                  ,                    1606                  ,                    3.4                  ,                    12                  ,                    4                  ,                    0                  ,                    21T                  ,                    104                  ,                    22.3                  ,                    9                  ,2015
Cardinals,                    373                  ,                    1460                  ,                    3.9                  ,                    9                  ,                    12                  ,                    2                  ,                    52                  ,                    79                  ,                    21.2                  ,                    12                  ,2015
Jets,                    373                  ,                    1335                  ,                    3.6                  ,                    4                  ,                    6                  ,                    1                  ,                    45                  ,                    62                  ,                    16.6                  ,                    8                  ,2015
Eagles,                    478                  ,                    2153                  ,                    4.5                  ,                    10                  ,                    15                  ,                    5                  ,                    84                  ,                    100                  ,                    20.9                  ,                    3                  ,2015
Packers,                    420                  ,                    1905                  ,                    4.5                  ,                    13                  ,                    14                  ,                    4                  ,                    55                  ,                    96                  ,                    22.9                  ,                    8                  ,2015
Chiefs,                    383                  ,                    1571                  ,                    4.1                  ,                    7                  ,                    9                  ,                    1                  ,                    42                  ,                    86                  ,                    22.4                  ,                    7                  ,2015
Rams,                    453                  ,                    1820                  ,                    4                  ,                    7                  ,                    15                  ,                    1                  ,                    47                  ,                    98                  ,                    21.6                  ,                    9                  ,2015
Redskins,                    406                  ,                    1962                  ,                    4.8                  ,                    10                  ,                    11                  ,                    4                  ,                    70                  ,                    103                  ,                    25.4                  ,                    13                  ,2015
Falcons,                    416                  ,                    1680                  ,                    4                  ,                    20                  ,                    12                  ,                    1                  ,                    44                  ,                    107                  ,                    25.7                  ,                    7                  ,2015
Broncos,                    408                  ,                    1337                  ,                    3.3                  ,                    10                  ,                    5                  ,                    1                  ,                    48T                  ,                    81                  ,                    19.8                  ,                    4                  ,2015
Cowboys,                    461                  ,                    1934                  ,                    4.2                  ,                    16                  ,                    10                  ,                    1                  ,                    50T                  ,                    113                  ,                    24.5                  ,                    2                  ,2015
Giants,                    444                  ,                    1942                  ,                    4.4                  ,                    15                  ,                    12                  ,                    4                  ,                    68T                  ,                    104                  ,                    23.4                  ,                    11                  ,2015
Saints,                    421                  ,                    2071                  ,                    4.9                  ,                    12                  ,                    17                  ,                    1                  ,                    45                  ,                    103                  ,                    24.5                  ,                    15                  ,2015
Colts,                    452                  ,                    1952                  ,                    4.3                  ,                    14                  ,                    16                  ,                    3                  ,                    56                  ,                    89                  ,                    19.7                  ,                    10                  ,2015
Chargers,                    417                  ,                    2005                  ,                    4.8                  ,                    17                  ,                    21                  ,                    3                  ,                    65T                  ,                    101                  ,                    24.2                  ,                    7                  ,2015
Niners,                    504                  ,                    2020                  ,                    4                  ,                    20                  ,                    9                  ,                    4                  ,                    71T                  ,                    128                  ,                    25.4                  ,                    4                  ,2015
Steelers,                    382                  ,                    1459                  ,                    3.8                  ,                    6                  ,                    6                  ,                    1                  ,                    44                  ,                    71                  ,                    18.6                  ,                    12                  ,2015
Ravens,                    418                  ,                    1661                  ,                    4                  ,                    10                  ,                    9                  ,                    1                  ,                    62                  ,                    80                  ,                    19.1                  ,                    7                  ,2015
Patriots,                    397                  ,                    1580                  ,                    4                  ,                    8                  ,                    8                  ,                    1                  ,                    48T                  ,                    77                  ,                    19.4                  ,                    6                  ,2015
Browns,                    458                  ,                    2055                  ,                    4.5                  ,                    11                  ,                    14                  ,                    4                  ,                    54                  ,                    104                  ,                    22.7                  ,                    6                  ,2015
Titans,                    462                  ,                    1797                  ,                    3.9                  ,                    11                  ,                    10                  ,                    0                  ,                    32                  ,                    101                  ,                    21.9                  ,                    3                  ,2015
Raiders,                    406                  ,                    1678                  ,                    4.1                  ,                    12                  ,                    8                  ,                    2                  ,                    80T                  ,                    94                  ,                    23.2                  ,                    2                  ,2015
Lions,                    428                  ,                    1808                  ,                    4.2                  ,                    18                  ,                    14                  ,                    5                  ,                    75                  ,                    96                  ,                    22.4                  ,                    7                  ,2015
Jaguars,                    464                  ,                    1709                  ,                    3.7                  ,                    15                  ,                    12                  ,                    1                  ,                    87T                  ,                    102                  ,                    22                  ,                    4                  ,2015
Dolphins,                    502                  ,                    2019                  ,                    4                  ,                    13                  ,                    12                  ,                    3                  ,                    53                  ,                    112                  ,                    22.3                  ,                    3                  ,2015
Cowboys,                    340                  ,                    1336                  ,                    3.9                  ,                    9                  ,                    6                  ,                    0                  ,                    36                  ,                    79                  ,                    23.2                  ,                    8                  ,2016
Bills,                    468                  ,                    2130                  ,                    4.6                  ,                    21                  ,                    14                  ,                    3                  ,                    57                  ,                    122                  ,                    26.1                  ,                    10                  ,2016
Patriots,                    368                  ,                    1417                  ,                    3.8                  ,                    6                  ,                    3                  ,                    1                  ,                    45                  ,                    81                  ,                    22                  ,                    11                  ,2016
Titans,                    356                  ,                    1413                  ,                    4                  ,                    10                  ,                    10                  ,                    3                  ,                    68T                  ,                    70                  ,                    19.7                  ,                    5                  ,2016
49ers,                    548                  ,                    2654                  ,                    4.8                  ,                    25                  ,                    22                  ,                    7                  ,                    75T                  ,                    140                  ,                    25.6                  ,                    8                  ,2016
Texans,                    397                  ,                    1595                  ,                    4                  ,                    13                  ,                    8                  ,                    1                  ,                    41T                  ,                    87                  ,                    21.9                  ,                    8                  ,2016
Panthers,                    376                  ,                    1465                  ,                    3.9                  ,                    11                  ,                    7                  ,                    3                  ,                    75T                  ,                    90                  ,                    23.9                  ,                    5                  ,2016
Buccaneers,                    427                  ,                    1875                  ,                    4.4                  ,                    15                  ,                    7                  ,                    1                  ,                    42                  ,                    102                  ,                    23.9                  ,                    4                  ,2016
Bengals,                    412                  ,                    1812                  ,                    4.4                  ,                    12                  ,                    10                  ,                    2                  ,                    60T                  ,                    95                  ,                    23.1                  ,                    4                  ,2016
Eagles,                    391                  ,                    1652                  ,                    4.2                  ,                    10                  ,                    14                  ,                    4                  ,                    72T                  ,                    89                  ,                    22.8                  ,                    2                  ,2016
Raiders,                    421                  ,                    1881                  ,                    4.5                  ,                    18                  ,                    10                  ,                    5                  ,                    64                  ,                    94                  ,                    22.3                  ,                    11                  ,2016
Falcons,                    370                  ,                    1672                  ,                    4.5                  ,                    15                  ,                    12                  ,                    1                  ,                    55T                  ,                    95                  ,                    25.7                  ,                    6                  ,2016
Jets,                    428                  ,                    1581                  ,                    3.7                  ,                    11                  ,                    12                  ,                    3                  ,                    58T                  ,                    86                  ,                    20.1                  ,                    12                  ,2016
Chiefs,                    437                  ,                    1938                  ,                    4.4                  ,                    10                  ,                    5                  ,                    2                  ,                    44                  ,                    102                  ,                    23.3                  ,                    8                  ,2016
Broncos,                    482                  ,                    2085                  ,                    4.3                  ,                    15                  ,                    13                  ,                    4                  ,                    70T                  ,                    101                  ,                    21                  ,                    8                  ,2016
Colts,                    409                  ,                    1926                  ,                    4.7                  ,                    12                  ,                    10                  ,                    2                  ,                    57T                  ,                    93                  ,                    22.7                  ,                    4                  ,2016
Steelers,                    369                  ,                    1600                  ,                    4.3                  ,                    15                  ,                    10                  ,                    3                  ,                    67                  ,                    95                  ,                    25.8                  ,                    5                  ,2016
Dolphins,                    464                  ,                    2247                  ,                    4.8                  ,                    12                  ,                    17                  ,                    2                  ,                    60T                  ,                    109                  ,                    23.5                  ,                    7                  ,2016
Saints,                    396                  ,                    1626                  ,                    4.1                  ,                    19                  ,                    8                  ,                    4                  ,                    75T                  ,                    91                  ,                    23                  ,                    5                  ,2016
Seahawks,                    441                  ,                    1487                  ,                    3.4                  ,                    16                  ,                    5                  ,                    0                  ,                    34                  ,                    94                  ,                    21.3                  ,                    8                  ,2016
Cardinals,                    424                  ,                    1518                  ,                    3.6                  ,                    16                  ,                    6                  ,                    1                  ,                    49                  ,                    90                  ,                    21.2                  ,                    11                  ,2016
Giants,                    397                  ,                    1417                  ,                    3.6                  ,                    10                  ,                    5                  ,                    0                  ,                    33                  ,                    82                  ,                    20.6                  ,                    5                  ,2016
Chargers,                    410                  ,                    1567                  ,                    3.8                  ,                    20                  ,                    12                  ,                    1                  ,                    40                  ,                    98                  ,                    23.9                  ,                    6                  ,2016
Jaguars,                    446                  ,                    1703                  ,                    3.8                  ,                    17                  ,                    10                  ,                    2                  ,                    75T                  ,                    93                  ,                    20.8                  ,                    7                  ,2016
Bears,                    445                  ,                    1950                  ,                    4.4                  ,                    18                  ,                    12                  ,                    3                  ,                    61T                  ,                    99                  ,                    22.2                  ,                    3                  ,2016
Vikings,                    404                  ,                    1711                  ,                    4.2                  ,                    9                  ,                    6                  ,                    2                  ,                    69                  ,                    87                  ,                    21.5                  ,                    12                  ,2016
Redskins,                    423                  ,                    1916                  ,                    4.5                  ,                    19                  ,                    12                  ,                    0                  ,                    35                  ,                    109                  ,                    25.8                  ,                    10                  ,2016
Rams,                    424                  ,                    1660                  ,                    3.9                  ,                    12                  ,                    13                  ,                    3                  ,                    61                  ,                    91                  ,                    21.5                  ,                    3                  ,2016
Packers,                    376                  ,                    1515                  ,                    4                  ,                    11                  ,                    8                  ,                    2                  ,                    75T                  ,                    80                  ,                    21.3                  ,                    1                  ,2016
Ravens,                    384                  ,                    1430                  ,                    3.7                  ,                    10                  ,                    4                  ,                    1                  ,                    85T                  ,                    74                  ,                    19.3                  ,                    10                  ,2016
Browns,                    498                  ,                    2283                  ,                    4.6                  ,                    18                  ,                    14                  ,                    3                  ,                    74T                  ,                    121                  ,                    24.3                  ,                    3                  ,2016
Lions,                    389                  ,                    1701                  ,                    4.4                  ,                    8                  ,                    7                  ,                    2                  ,                    67                  ,                    99                  ,                    25.4                  ,                    5                  ,2016
Jaguars,                    429                  ,                    1860                  ,                    4.3                  ,                    9                  ,                    6                  ,                    2                  ,                    75T                  ,                    91                  ,                    21.2                  ,                    8                  ,2017
Vikings,                    364                  ,                    1337                  ,                    3.7                  ,                    10                  ,                    6                  ,                    2                  ,                    62                  ,                    59                  ,                    16.2                  ,                    4                  ,2017
Panthers,                    353                  ,                    1409                  ,                    4                  ,                    7                  ,                    10                  ,                    2                  ,                    72                  ,                    69                  ,                    19.6                  ,                    1                  ,2017
Bills,                    466                  ,                    1994                  ,                    4.3                  ,                    22                  ,                    14                  ,                    3                  ,                    51                  ,                    121                  ,                    26                  ,                    5                  ,2017
Cowboys,                    403                  ,                    1664                  ,                    4.1                  ,                    7                  ,                    7                  ,                    1                  ,                    71                  ,                    96                  ,                    23.8                  ,                    6                  ,2017
