Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,year
Colts,                    450                  ,                    4700                  ,                    10.4                  ,                    33                  ,                    43                  ,                    9                  ,                    73                  ,                    253                  ,                    56.2                  ,                    3                  ,2010
Saints,                    450                  ,                    4636                  ,                    10.3                  ,                    33                  ,                    47                  ,                    10                  ,                    80T                  ,                    236                  ,                    52.4                  ,                    2                  ,2010
Lions,                    383                  ,                    4001                  ,                    10.4                  ,                    26                  ,                    43                  ,                    6                  ,                    87                  ,                    199                  ,                    52                  ,                    4                  ,2010
Cowboys,                    379                  ,                    4208                  ,                    11.1                  ,                    29                  ,                    57                  ,                    8                  ,                    71                  ,                    201                  ,                    53                  ,                    8                  ,2010
Bengals,                    365                  ,                    3988                  ,                    10.9                  ,                    26                  ,                    45                  ,                    9                  ,                    78                  ,                    206                  ,                    56.4                  ,                    4                  ,2010
Texans,                    365                  ,                    4370                  ,                    12                  ,                    24                  ,                    59                  ,                    9                  ,                    60T                  ,                    222                  ,                    60.8                  ,                    3                  ,2010
Falcons,                    361                  ,                    3725                  ,                    10.3                  ,                    28                  ,                    32                  ,                    6                  ,                    46T                  ,                    200                  ,                    55.4                  ,                    3                  ,2010
Chargers,                    359                  ,                    4746                  ,                    13.2                  ,                    30                  ,                    66                  ,                    14                  ,                    59                  ,                    236                  ,                    65.7                  ,                    5                  ,2010
Rams,                    354                  ,                    3512                  ,                    9.9                  ,                    18                  ,                    36                  ,                    4                  ,                    49                  ,                    179                  ,                    50.6                  ,                    2                  ,2010
Packers,                    352                  ,                    4355                  ,                    12.4                  ,                    31                  ,                    57                  ,                    11                  ,                    86                  ,                    204                  ,                    58                  ,                    9                  ,2010
Redskins,                    349                  ,                    4261                  ,                    12.2                  ,                    21                  ,                    51                  ,                    13                  ,                    76T                  ,                    194                  ,                    55.6                  ,                    8                  ,2010
Eagles,                    348                  ,                    4215                  ,                    12.1                  ,                    28                  ,                    61                  ,                    15                  ,                    91                  ,                    189                  ,                    54.3                  ,                    6                  ,2010
Giants,                    339                  ,                    4002                  ,                    11.8                  ,                    31                  ,                    57                  ,                    7                  ,                    92                  ,                    192                  ,                    56.6                  ,                    3                  ,2010
Dolphins,                    335                  ,                    3755                  ,                    11.2                  ,                    17                  ,                    44                  ,                    4                  ,                    57                  ,                    189                  ,                    56.4                  ,                    3                  ,2010
Broncos,                    334                  ,                    4307                  ,                    12.9                  ,                    25                  ,                    62                  ,                    13                  ,                    71T                  ,                    204                  ,                    61.1                  ,                    5                  ,2010
Patriots,                    331                  ,                    4022                  ,                    12.2                  ,                    37                  ,                    54                  ,                    10                  ,                    79                  ,                    196                  ,                    59.2                  ,                    2                  ,2010
Seahawks,                    324                  ,                    3536                  ,                    10.9                  ,                    14                  ,                    39                  ,                    11                  ,                    87                  ,                    159                  ,                    49.1                  ,                    3                  ,2010
Ravens,                    308                  ,                    3629                  ,                    11.8                  ,                    25                  ,                    40                  ,                    7                  ,                    67                  ,                    175                  ,                    56.8                  ,                    3                  ,2010
Buccaneers,                    306                  ,                    3564                  ,                    11.6                  ,                    26                  ,                    49                  ,                    10                  ,                    64                  ,                    172                  ,                    56.2                  ,                    6                  ,2010
Vikings,                    305                  ,                    3327                  ,                    10.9                  ,                    14                  ,                    47                  ,                    3                  ,                    53                  ,                    159                  ,                    52.1                  ,                    3                  ,2010
Steelers,                    298                  ,                    3890                  ,                    13                  ,                    22                  ,                    62                  ,                    11                  ,                    56                  ,                    175                  ,                    58.7                  ,                    3                  ,2010
Bills,                    296                  ,                    3371                  ,                    11.4                  ,                    24                  ,                    42                  ,                    8                  ,                    65T                  ,                    166                  ,                    56.1                  ,                    8                  ,2010
Browns,                    296                  ,                    3203                  ,                    10.8                  ,                    13                  ,                    42                  ,                    6                  ,                    65                  ,                    154                  ,                    52                  ,                    4                  ,2010
Jaguars,                    291                  ,                    3356                  ,                    11.5                  ,                    26                  ,                    47                  ,                    6                  ,                    75                  ,                    161                  ,                    55.3                  ,                    3                  ,2010
Jets,                    288                  ,                    3420                  ,                    11.9                  ,                    20                  ,                    44                  ,                    11                  ,                    74T                  ,                    171                  ,                    59.4                  ,                    3                  ,2010
Cardinals,                    285                  ,                    3264                  ,                    11.4                  ,                    10                  ,                    44                  ,                    3                  ,                    74T                  ,                    154                  ,                    54                  ,                    4                  ,2010
Niners,                    282                  ,                    3613                  ,                    12.8                  ,                    19                  ,                    53                  ,                    10                  ,                    66                  ,                    149                  ,                    52.8                  ,                    3                  ,2010
Raiders,                    279                  ,                    3471                  ,                    12.4                  ,                    18                  ,                    45                  ,                    12                  ,                    73                  ,                    159                  ,                    57                  ,                    4                  ,2010
Bears,                    276                  ,                    3397                  ,                    12.3                  ,                    23                  ,                    42                  ,                    6                  ,                    89                  ,                    163                  ,                    59.1                  ,                    7                  ,2010
Chiefs,                    274                  ,                    3189                  ,                    11.6                  ,                    27                  ,                    40                  ,                    4                  ,                    75                  ,                    167                  ,                    61                  ,                    2                  ,2010
Titans,                    273                  ,                    3278                  ,                    12                  ,                    24                  ,                    44                  ,                    8                  ,                    80                  ,                    155                  ,                    56.8                  ,                    4                  ,2010
Panthers,                    256                  ,                    2635                  ,                    10.3                  ,                    9                  ,                    30                  ,                    3                  ,                    88                  ,                    125                  ,                    48.8                  ,                    2                  ,2010
Saints,                    472                  ,                    5505                  ,                    11.7                  ,                    46                  ,                    69                  ,                    11                  ,                    79                  ,                    280                  ,                    59.3                  ,                    3                  ,2011
Lions,                    423                  ,                    5071                  ,                    12                  ,                    41                  ,                    65                  ,                    16                  ,                    73                  ,                    244                  ,                    57.7                  ,                    4                  ,2011
Patriots,                    402                  ,                    5257                  ,                    13.1                  ,                    39                  ,                    72                  ,                    14                  ,                    99                  ,                    262                  ,                    65.2                  ,                    1                  ,2011
Cowboys,                    376                  ,                    4453                  ,                    11.8                  ,                    33                  ,                    58                  ,                    11                  ,                    77                  ,                    219                  ,                    58.2                  ,                    5                  ,2011
Packers,                    376                  ,                    5161                  ,                    13.7                  ,                    51                  ,                    70                  ,                    16                  ,                    93                  ,                    230                  ,                    61.2                  ,                    1                  ,2011
Chargers,                    366                  ,                    4624                  ,                    12.6                  ,                    27                  ,                    69                  ,                    8                  ,                    58                  ,                    234                  ,                    63.9                  ,                    4                  ,2011
Falcons,                    365                  ,                    4365                  ,                    12                  ,                    29                  ,                    56                  ,                    10                  ,                    80                  ,                    215                  ,                    58.9                  ,                    2                  ,2011
Buccaneers,                    365                  ,                    3838                  ,                    10.5                  ,                    17                  ,                    37                  ,                    6                  ,                    65T                  ,                    180                  ,                    49.3                  ,                    7                  ,2011
Giants,                    359                  ,                    4933                  ,                    13.7                  ,                    29                  ,                    67                  ,                    18                  ,                    99                  ,                    216                  ,                    60.2                  ,                    2                  ,2011
Bills,                    356                  ,                    3857                  ,                    10.8                  ,                    24                  ,                    48                  ,                    8                  ,                    60                  ,                    180                  ,                    50.6                  ,                    1                  ,2011
Titans,                    353                  ,                    4113                  ,                    11.6                  ,                    22                  ,                    51                  ,                    14                  ,                    80                  ,                    185                  ,                    52.4                  ,                    5                  ,2011
Redskins,                    346                  ,                    4058                  ,                    11.7                  ,                    19                  ,                    57                  ,                    7                  ,                    51                  ,                    204                  ,                    59                  ,                    4                  ,2011
Steelers,                    341                  ,                    4333                  ,                    12.7                  ,                    21                  ,                    60                  ,                    10                  ,                    95                  ,                    221                  ,                    64.8                  ,                    4                  ,2011
Eagles,                    330                  ,                    4276                  ,                    13                  ,                    22                  ,                    64                  ,                    10                  ,                    73T                  ,                    197                  ,                    59.7                  ,                    3                  ,2011
Browns,                    320                  ,                    3300                  ,                    10.3                  ,                    16                  ,                    32                  ,                    6                  ,                    76                  ,                    173                  ,                    54.1                  ,                    2                  ,2011
Raiders,                    315                  ,                    4119                  ,                    13.1                  ,                    20                  ,                    63                  ,                    14                  ,                    78                  ,                    186                  ,                    59                  ,                    4                  ,2011
Ravens,                    314                  ,                    3629                  ,                    11.6                  ,                    21                  ,                    44                  ,                    7                  ,                    74T                  ,                    181                  ,                    57.6                  ,                    1                  ,2011
Panthers,                    312                  ,                    4089                  ,                    13.1                  ,                    21                  ,                    66                  ,                    9                  ,                    91                  ,                    175                  ,                    56.1                  ,                    6                  ,2011
Jets,                    310                  ,                    3542                  ,                    11.4                  ,                    26                  ,                    41                  ,                    3                  ,                    74T                  ,                    173                  ,                    55.8                  ,                    3                  ,2011
Bengals,                    308                  ,                    3507                  ,                    11.4                  ,                    21                  ,                    51                  ,                    11                  ,                    84T                  ,                    160                  ,                    52                  ,                    2                  ,2011
Cardinals,                    307                  ,                    3954                  ,                    12.9                  ,                    21                  ,                    55                  ,                    15                  ,                    73                  ,                    175                  ,                    57                  ,                    4                  ,2011
Colts,                    302                  ,                    3223                  ,                    10.7                  ,                    14                  ,                    32                  ,                    6                  ,                    87                  ,                    170                  ,                    56.3                  ,                    3                  ,2011
Chiefs,                    299                  ,                    3288                  ,                    11                  ,                    13                  ,                    39                  ,                    7                  ,                    52                  ,                    163                  ,                    54.5                  ,                    3                  ,2011
Seahawks,                    299                  ,                    3444                  ,                    11.5                  ,                    15                  ,                    51                  ,                    9                  ,                    61                  ,                    153                  ,                    51.2                  ,                    1                  ,2011
Rams,                    292                  ,                    3258                  ,                    11.2                  ,                    9                  ,                    37                  ,                    3                  ,                    68T                  ,                    159                  ,                    54.4                  ,                    5                  ,2011
Texans,                    288                  ,                    3696                  ,                    12.8                  ,                    20                  ,                    55                  ,                    11                  ,                    80                  ,                    176                  ,                    61.1                  ,                    1                  ,2011
Vikings,                    286                  ,                    3255                  ,                    11.4                  ,                    20                  ,                    40                  ,                    7                  ,                    72T                  ,                    159                  ,                    55.6                  ,                    5                  ,2011
Dolphins,                    280                  ,                    3425                  ,                    12.2                  ,                    20                  ,                    56                  ,                    7                  ,                    65                  ,                    166                  ,                    59.3                  ,                    3                  ,2011
Niners,                    277                  ,                    3193                  ,                    11.5                  ,                    18                  ,                    41                  ,                    6                  ,                    56                  ,                    150                  ,                    54.2                  ,                    3                  ,2011
Bears,                    268                  ,                    3346                  ,                    12.5                  ,                    18                  ,                    43                  ,                    7                  ,                    81                  ,                    153                  ,                    57.1                  ,                    7                  ,2011
Jaguars,                    240                  ,                    2510                  ,                    10.5                  ,                    12                  ,                    29                  ,                    4                  ,                    74                  ,                    122                  ,                    50.8                  ,                    3                  ,2011
Broncos,                    217                  ,                    2708                  ,                    12.5                  ,                    20                  ,                    36                  ,                    8                  ,                    56                  ,                    130                  ,                    59.9                  ,                    6                  ,2011
Lions,                    445                  ,                    5139                  ,                    11.6                  ,                    22                  ,                    67                  ,                    10                  ,                    57T                  ,                    272                  ,                    61.1                  ,                    7                  ,2012
Cowboys,                    434                  ,                    4992                  ,                    11.5                  ,                    29                  ,                    55                  ,                    9                  ,                    85T                  ,                    237                  ,                    54.6                  ,                    4                  ,2012
Saints,                    423                  ,                    5187                  ,                    12.3                  ,                    43                  ,                    66                  ,                    13                  ,                    80                  ,                    267                  ,                    63.1                  ,                    7                  ,2012
Falcons,                    422                  ,                    4719                  ,                    11.2                  ,                    32                  ,                    46                  ,                    10                  ,                    80                  ,                    246                  ,                    58.3                  ,                    3                  ,2012
Broncos,                    402                  ,                    4671                  ,                    11.6                  ,                    37                  ,                    63                  ,                    7                  ,                    71                  ,                    232                  ,                    57.7                  ,                    4                  ,2012
Patriots,                    402                  ,                    4844                  ,                    12                  ,                    34                  ,                    57                  ,                    8                  ,                    83                  ,                    256                  ,                    63.7                  ,                    5                  ,2012
Raiders,                    376                  ,                    4292                  ,                    11.4                  ,                    24                  ,                    52                  ,                    10                  ,                    64                  ,                    200                  ,                    53.2                  ,                    6                  ,2012
Packers,                    374                  ,                    4342                  ,                    11.6                  ,                    40                  ,                    55                  ,                    9                  ,                    73                  ,                    213                  ,                    57                  ,                    2                  ,2012
Eagles,                    367                  ,                    4075                  ,                    11.1                  ,                    18                  ,                    51                  ,                    6                  ,                    77                  ,                    190                  ,                    51.8                  ,                    5                  ,2012
Texans,                    354                  ,                    4046                  ,                    11.4                  ,                    22                  ,                    46                  ,                    8                  ,                    60                  ,                    205                  ,                    57.9                  ,                    0                  ,2012
Steelers,                    354                  ,                    4012                  ,                    11.3                  ,                    27                  ,                    49                  ,                    7                  ,                    82                  ,                    202                  ,                    57.1                  ,                    12                  ,2012
Colts,                    339                  ,                    4374                  ,                    12.9                  ,                    23                  ,                    65                  ,                    11                  ,                    70                  ,                    208                  ,                    61.4                  ,                    4                  ,2012
Chargers,                    338                  ,                    3606                  ,                    10.7                  ,                    26                  ,                    41                  ,                    3                  ,                    80                  ,                    184                  ,                    54.4                  ,                    2                  ,2012
Cardinals,                    337                  ,                    3383                  ,                    10                  ,                    11                  ,                    36                  ,                    3                  ,                    53                  ,                    168                  ,                    49.8                  ,                    2                  ,2012
Bengals,                    335                  ,                    3807                  ,                    11.4                  ,                    28                  ,                    39                  ,                    14                  ,                    73                  ,                    173                  ,                    51.6                  ,                    6                  ,2012
Ravens,                    334                  ,                    3996                  ,                    12                  ,                    22                  ,                    62                  ,                    12                  ,                    61T                  ,                    182                  ,                    54.5                  ,                    0                  ,2012
Rams,                    332                  ,                    3783                  ,                    11.4                  ,                    22                  ,                    43                  ,                    8                  ,                    80                  ,                    189                  ,                    56.9                  ,                    5                  ,2012
Browns,                    328                  ,                    3668                  ,                    11.2                  ,                    16                  ,                    50                  ,                    6                  ,                    71                  ,                    185                  ,                    56.4                  ,                    5                  ,2012
Jaguars,                    328                  ,                    3746                  ,                    11.4                  ,                    20                  ,                    48                  ,                    8                  ,                    81                  ,                    157                  ,                    47.9                  ,                    3                  ,2012
Giants,                    323                  ,                    3967                  ,                    12.3                  ,                    26                  ,                    50                  ,                    10                  ,                    80                  ,                    187                  ,                    57.9                  ,                    0                  ,2012
Titans,                    318                  ,                    3577                  ,                    11.2                  ,                    17                  ,                    42                  ,                    7                  ,                    71                  ,                    166                  ,                    52.2                  ,                    9                  ,2012
Buccaneers,                    311                  ,                    4144                  ,                    13.3                  ,                    27                  ,                    57                  ,                    16                  ,                    95T                  ,                    188                  ,                    60.4                  ,                    0                  ,2012
Bills,                    309                  ,                    3430                  ,                    11.1                  ,                    24                  ,                    44                  ,                    7                  ,                    68                  ,                    176                  ,                    57                  ,                    7                  ,2012
Vikings,                    300                  ,                    2935                  ,                    9.8                  ,                    18                  ,                    28                  ,                    3                  ,                    65                  ,                    163                  ,                    54.3                  ,                    3                  ,2012
Dolphins,                    293                  ,                    3425                  ,                    11.7                  ,                    13                  ,                    42                  ,                    3                  ,                    80                  ,                    158                  ,                    53.9                  ,                    4                  ,2012
Redskins,                    291                  ,                    3666                  ,                    12.6                  ,                    24                  ,                    53                  ,                    8                  ,                    88                  ,                    171                  ,                    58.8                  ,                    4                  ,2012
Niners,                    289                  ,                    3551                  ,                    12.3                  ,                    23                  ,                    54                  ,                    8                  ,                    57T                  ,                    172                  ,                    59.5                  ,                    5                  ,2012
Bears,                    287                  ,                    3298                  ,                    11.5                  ,                    21                  ,                    39                  ,                    6                  ,                    60                  ,                    163                  ,                    56.8                  ,                    3                  ,2012
Panthers,                    284                  ,                    3927                  ,                    13.8                  ,                    19                  ,                    58                  ,                    11                  ,                    82                  ,                    171                  ,                    60.2                  ,                    4                  ,2012
Chiefs,                    273                  ,                    2937                  ,                    10.8                  ,                    8                  ,                    36                  ,                    3                  ,                    57                  ,                    144                  ,                    52.8                  ,                    2                  ,2012
Jets,                    272                  ,                    3178                  ,                    11.7                  ,                    14                  ,                    40                  ,                    6                  ,                    66                  ,                    162                  ,                    59.6                  ,                    7                  ,2012
Seahawks,                    259                  ,                    3234                  ,                    12.5                  ,                    27                  ,                    45                  ,                    11                  ,                    67T                  ,                    153                  ,                    59.1                  ,                    3                  ,2012
Broncos,                    461                  ,                    5572                  ,                    12.1                  ,                    55                  ,                    68                  ,                    13                  ,                    78                  ,                    293                  ,                    63.6                  ,                    4                  ,2013
Saints,                    446                  ,                    5162                  ,                    11.6                  ,                    39                  ,                    67                  ,                    15                  ,                    76                  ,                    244                  ,                    54.7                  ,                    1                  ,2013
Falcons,                    445                  ,                    4541                  ,                    10.2                  ,                    26                  ,                    44                  ,                    9                  ,                    81                  ,                    227                  ,                    51                  ,                    8                  ,2013
Patriots,                    380                  ,                    4343                  ,                    11.4                  ,                    25                  ,                    49                  ,                    8                  ,                    81T                  ,                    225                  ,                    59.2                  ,                    2                  ,2013
Browns,                    379                  ,                    4372                  ,                    11.5                  ,                    26                  ,                    52                  ,                    14                  ,                    95                  ,                    200                  ,                    52.8                  ,                    2                  ,2013
Chargers,                    378                  ,                    4478                  ,                    11.8                  ,                    32                  ,                    60                  ,                    6                  ,                    60                  ,                    230                  ,                    60.8                  ,                    4                  ,2013
Steelers,                    377                  ,                    4306                  ,                    11.4                  ,                    28                  ,                    62                  ,                    10                  ,                    56                  ,                    207                  ,                    54.9                  ,                    3                  ,2013
Cowboys,                    375                  ,                    4226                  ,                    11.3                  ,                    33                  ,                    48                  ,                    7                  ,                    82                  ,                    213                  ,                    56.8                  ,                    8                  ,2013
Bears,                    373                  ,                    4450                  ,                    11.9                  ,                    32                  ,                    53                  ,                    11                  ,                    80                  ,                    215                  ,                    57.6                  ,                    5                  ,2013
