Team,INT,INT TD,INT Yds,Lng,year
Steelers,                    20                  ,                    1                  ,                    152                  ,                    34                  ,2022
49ers,                    20                  ,                    2                  ,                    305                  ,                    56                  ,2022
Patriots,                    19                  ,                    5                  ,                    383                  ,                    69                  ,2022
Bills,                    17                  ,                    1                  ,                    165                  ,                    43T                  ,2022
Packers,                    17                  ,                    2                  ,                    351                  ,                    75                  ,2022
Eagles,                    17                  ,                    2                  ,                    186                  ,                    42                  ,2022
Cowboys,                    16                  ,                    0                  ,                    60                  ,                    26                  ,2022
Texans,                    16                  ,                    1                  ,                    253                  ,                    39T                  ,2022
Rams,                    16                  ,                    1                  ,                    240                  ,                    85T                  ,2022
Broncos,                    15                  ,                    0                  ,                    89                  ,                    23                  ,2022
Vikings,                    15                  ,                    0                  ,                    186                  ,                    39                  ,2022
Ravens,                    14                  ,                    0                  ,                    105                  ,                    33                  ,2022
Bears,                    14                  ,                    0                  ,                    201                  ,                    42                  ,2022
Titans,                    14                  ,                    1                  ,                    149                  ,                    76T                  ,2022
Jaguars,                    14                  ,                    2                  ,                    232                  ,                    59                  ,2022
Chargers,                    14                  ,                    1                  ,                    166                  ,                    30T                  ,2022
Seahawks,                    14                  ,                    1                  ,                    163                  ,                    40T                  ,2022
Bengals,                    13                  ,                    0                  ,                    133                  ,                    46                  ,2022
Lions,                    12                  ,                    1                  ,                    157                  ,                    38T                  ,2022
Jets,                    12                  ,                    0                  ,                    69                  ,                    27                  ,2022
Browns,                    11                  ,                    1                  ,                    57                  ,                    40T                  ,2022
Chiefs,                    11                  ,                    2                  ,                    225                  ,                    99                  ,2022
Cardinals,                    11                  ,                    3                  ,                    246                  ,                    56                  ,2022
Falcons,                    10                  ,                    1                  ,                    124                  ,                    28T                  ,2022
Panthers,                    10                  ,                    2                  ,                    189                  ,                    54                  ,2022
Colts,                    10                  ,                    2                  ,                    141                  ,                    35                  ,2022
Buccaneers,                    10                  ,                    1                  ,                    140                  ,                    68T                  ,2022
Commanders,                    9                  ,                    2                  ,                    68                  ,                    37T                  ,2022
Dolphins,                    8                  ,                    0                  ,                    115                  ,                    33                  ,2022
Saints,                    7                  ,                    1                  ,                    110                  ,                    41T                  ,2022
Raiders,                    6                  ,                    1                  ,                    141                  ,                    73T                  ,2022
Giants,                    6                  ,                    1                  ,                    97                  ,                    52T                  ,2022
Bears,                    22                  ,                    2                  ,                    245                  ,                    45                  ,2023
49ers,                    22                  ,                    1                  ,                    309                  ,                    66T                  ,2023
Ravens,                    18                  ,                    1                  ,                    258                  ,                    52T                  ,2023
Bills,                    18                  ,                    2                  ,                    148                  ,                    40                  ,2023
Browns,                    18                  ,                    2                  ,                    135                  ,                    34                  ,2023
Saints,                    18                  ,                    1                  ,                    185                  ,                    74                  ,2023
Giants,                    18                  ,                    3                  ,                    404                  ,                    102                  ,2023
Bengals,                    17                  ,                    1                  ,                    152                  ,                    30                  ,2023
Cowboys,                    17                  ,                    5                  ,                    249                  ,                    63T                  ,2023
Jets,                    17                  ,                    2                  ,                    212                  ,                    51                  ,2023
Lions,                    16                  ,                    1                  ,                    209                  ,                    50T                  ,2023
Jaguars,                    16                  ,                    2                  ,                    264                  ,                    61                  ,2023
Steelers,                    16                  ,                    1                  ,                    184                  ,                    32T                  ,2023
Colts,                    15                  ,                    3                  ,                    256                  ,                    66                  ,2023
Dolphins,                    15                  ,                    4                  ,                    270                  ,                    99                  ,2023
Texans,                    14                  ,                    0                  ,                    63                  ,                    33                  ,2023
Raiders,                    13                  ,                    3                  ,                    268                  ,                    75                  ,2023
Buccaneers,                    13                  ,                    1                  ,                    93                  ,                    28T                  ,2023
Broncos,                    11                  ,                    0                  ,                    85                  ,                    33                  ,2023
Vikings,                    11                  ,                    0                  ,                    112                  ,                    43                  ,2023
Cardinals,                    11                  ,                    0                  ,                    98                  ,                    46                  ,2023
Seahawks,                    11                  ,                    3                  ,                    177                  ,                    97                  ,2023
Rams,                    10                  ,                    0                  ,                    100                  ,                    42                  ,2023
Patriots,                    10                  ,                    0                  ,                    96                  ,                    32                  ,2023
Eagles,                    9                  ,                    2                  ,                    207                  ,                    99                  ,2023
Chargers,                    9                  ,                    0                  ,                    31                  ,                    9                  ,2023
Falcons,                    8                  ,                    1                  ,                    124                  ,                    92T                  ,2023
Panthers,                    8                  ,                    2                  ,                    203                  ,                    99                  ,2023
Chiefs,                    8                  ,                    0                  ,                    69                  ,                    24                  ,2023
Commanders,                    8                  ,                    0                  ,                    85                  ,                    52                  ,2023
Packers,                    7                  ,                    1                  ,                    68                  ,                    37T                  ,2023
Titans,                    6                  ,                    1                  ,                    86                  ,                    44T                  ,2023
Vikings,                    24                  ,                    2                  ,                    140                  ,                    63T                  ,2024
Texans,                    19                  ,                    1                  ,                    275                  ,                    68T                  ,2024
Packers,                    17                  ,                    1                  ,                    288                  ,                    48T                  ,2024
Steelers,                    17                  ,                    0                  ,                    209                  ,                    49                  ,2024
Bills,                    16                  ,                    2                  ,                    145                  ,                    31                  ,2024
Lions,                    16                  ,                    1                  ,                    155                  ,                    47                  ,2024
Colts,                    16                  ,                    0                  ,                    105                  ,                    20                  ,2024
Bengals,                    15                  ,                    2                  ,                    249                  ,                    51T                  ,2024
Broncos,                    15                  ,                    3                  ,                    430                  ,                    100                  ,2024
Chargers,                    15                  ,                    1                  ,                    173                  ,                    61T                  ,2024
Saints,                    14                  ,                    0                  ,                    169                  ,                    47                  ,2024
Cowboys,                    13                  ,                    1                  ,                    97                  ,                    23T                  ,2024
Chiefs,                    13                  ,                    0                  ,                    102                  ,                    47                  ,2024
Rams,                    13                  ,                    2                  ,                    145                  ,                    103                  ,2024
Eagles,                    13                  ,                    1                  ,                    166                  ,                    69T                  ,2024
Seahawks,                    13                  ,                    2                  ,                    268                  ,                    92                  ,2024
Falcons,                    12                  ,                    3                  ,                    187                  ,                    55                  ,2024
Ravens,                    12                  ,                    2                  ,                    102                  ,                    37                  ,2024
Bears,                    11                  ,                    1                  ,                    87                  ,                    43T                  ,2024
Titans,                    11                  ,                    0                  ,                    86                  ,                    30                  ,2024
49ers,                    11                  ,                    1                  ,                    167                  ,                    45T                  ,2024
Raiders,                    10                  ,                    1                  ,                    130                  ,                    35T                  ,2024
Dolphins,                    10                  ,                    0                  ,                    21                  ,                    7                  ,2024
Panthers,                    9                  ,                    0                  ,                    96                  ,                    33                  ,2024
Cardinals,                    9                  ,                    0                  ,                    12                  ,                    10                  ,2024
Patriots,                    7                  ,                    0                  ,                    49                  ,                    35                  ,2024
Jets,                    7                  ,                    0                  ,                    18                  ,                    18                  ,2024
Buccaneers,                    7                  ,                    0                  ,                    28                  ,                    17                  ,2024
Commanders,                    7                  ,                    1                  ,                    153                  ,                    67T                  ,2024
Jaguars,                    6                  ,                    0                  ,                    41                  ,                    22                  ,2024
Giants,                    5                  ,                    0                  ,                    52                  ,                    26                  ,2024
Browns,                    4                  ,                    0                  ,                    -2                  ,                    0                  ,2024
