Team,INT,INT TD,INT Yds,Lng,year
Ravens,                    11                  ,                    1                  ,                    135                  ,                    44T                  ,2014
Steelers,                    11                  ,                    4                  ,                    242                  ,                    52T                  ,2014
Raiders,                    9                  ,                    0                  ,                    76                  ,                    30                  ,2014
Chargers,                    7                  ,                    0                  ,                    65                  ,                    27                  ,2014
Redskins,                    7                  ,                    0                  ,                    38                  ,                    14                  ,2014
Jaguars,                    6                  ,                    1                  ,                    80                  ,                    55T                  ,2014
Chiefs,                    6                  ,                    1                  ,                    95                  ,                    39T                  ,2014
Jets,                    6                  ,                    0                  ,                    36                  ,                    25                  ,2014
Panthers,                    24                  ,                    4                  ,                    301                  ,                    46                  ,2015
Chiefs,                    22                  ,                    4                  ,                    477                  ,                    90                  ,2015
Bengals,                    21                  ,                    1                  ,                    202                  ,                    37T                  ,2015
Cardinals,                    19                  ,                    4                  ,                    263                  ,                    40                  ,2015
Jets,                    18                  ,                    0                  ,                    191                  ,                    31                  ,2015
Bills,                    17                  ,                    2                  ,                    253                  ,                    44                  ,2015
Colts,                    17                  ,                    4                  ,                    196                  ,                    69                  ,2015
Steelers,                    17                  ,                    2                  ,                    282                  ,                    70                  ,2015
Packers,                    16                  ,                    2                  ,                    198                  ,                    45                  ,2015
Falcons,                    15                  ,                    1                  ,                    220                  ,                    84T                  ,2015
Giants,                    15                  ,                    2                  ,                    206                  ,                    63                  ,2015
Eagles,                    15                  ,                    3                  ,                    280                  ,                    99                  ,2015
Broncos,                    14                  ,                    4                  ,                    321                  ,                    74                  ,2015
Texans,                    14                  ,                    2                  ,                    180                  ,                    50T                  ,2015
Raiders,                    14                  ,                    1                  ,                    73                  ,                    27T                  ,2015
Seahawks,                    14                  ,                    0                  ,                    205                  ,                    54                  ,2015
Rams,                    13                  ,                    1                  ,                    182                  ,                    58T                  ,2015
Dolphins,                    13                  ,                    3                  ,                    184                  ,                    42T                  ,2015
Vikings,                    13                  ,                    2                  ,                    215                  ,                    91                  ,2015
Patriots,                    12                  ,                    0                  ,                    176                  ,                    51                  ,2015
Browns,                    11                  ,                    2                  ,                    210                  ,                    52T                  ,2015
Titans,                    11                  ,                    1                  ,                    164                  ,                    45T                  ,2015
Chargers,                    11                  ,                    1                  ,                    152                  ,                    68T                  ,2015
Buccaneers,                    11                  ,                    1                  ,                    93                  ,                    28T                  ,2015
Redskins,                    11                  ,                    1                  ,                    181                  ,                    44T                  ,2015
Lions,                    9                  ,                    1                  ,                    103                  ,                    31T                  ,2015
Jaguars,                    9                  ,                    1                  ,                    120                  ,                    48T                  ,2015
Saints,                    9                  ,                    0                  ,                    87                  ,                    24                  ,2015
Niners,                    9                  ,                    1                  ,                    125                  ,                    45T                  ,2015
Bears,                    8                  ,                    0                  ,                    103                  ,                    39                  ,2015
Cowboys,                    8                  ,                    1                  ,                    62                  ,                    24T                  ,2015
Ravens,                    6                  ,                    1                  ,                    51                  ,                    25T                  ,2015
Ravens,                    18                  ,                    0                  ,                    178                  ,                    53                  ,2016
Chiefs,                    18                  ,                    4                  ,                    271                  ,                    55                  ,2016
Chargers,                    18                  ,                    3                  ,                    292                  ,                    90                  ,2016
Panthers,                    17                  ,                    1                  ,                    204                  ,                    37                  ,2016
Bengals,                    17                  ,                    0                  ,                    138                  ,                    47                  ,2016
Packers,                    17                  ,                    0                  ,                    209                  ,                    44                  ,2016
Giants,                    17                  ,                    1                  ,                    174                  ,                    44T                  ,2016
Buccaneers,                    17                  ,                    4                  ,                    234                  ,                    53                  ,2016
Raiders,                    16                  ,                    1                  ,                    147                  ,                    40T                  ,2016
Dolphins,                    16                  ,                    1                  ,                    186                  ,                    60T                  ,2016
Eagles,                    16                  ,                    3                  ,                    207                  ,                    64                  ,2016
Broncos,                    14                  ,                    3                  ,                    367                  ,                    51                  ,2016
Vikings,                    14                  ,                    2                  ,                    253                  ,                    100                  ,2016
Cardinals,                    14                  ,                    2                  ,                    263                  ,                    66                  ,2016
Patriots,                    13                  ,                    0                  ,                    109                  ,                    46                  ,2016
Steelers,                    13                  ,                    0                  ,                    133                  ,                    58                  ,2016
Redskins,                    13                  ,                    0                  ,                    186                  ,                    79                  ,2016
Falcons,                    12                  ,                    3                  ,                    279                  ,                    90                  ,2016
Bills,                    12                  ,                    1                  ,                    207                  ,                    49T                  ,2016
Titans,                    12                  ,                    0                  ,                    68                  ,                    33                  ,2016
Texans,                    11                  ,                    1                  ,                    132                  ,                    42T                  ,2016
Seahawks,                    11                  ,                    0                  ,                    72                  ,                    31                  ,2016
Browns,                    10                  ,                    1                  ,                    146                  ,                    67                  ,2016
Lions,                    10                  ,                    1                  ,                    96                  ,                    39T                  ,2016
Rams,                    10                  ,                    0                  ,                    71                  ,                    29                  ,2016
49ers,                    10                  ,                    0                  ,                    96                  ,                    39                  ,2016
Cowboys,                    9                  ,                    0                  ,                    75                  ,                    27                  ,2016
Saints,                    9                  ,                    0                  ,                    109                  ,                    30                  ,2016
Bears,                    8                  ,                    1                  ,                    73                  ,                    25T                  ,2016
Colts,                    8                  ,                    0                  ,                    100                  ,                    56                  ,2016
Jets,                    8                  ,                    0                  ,                    141                  ,                    51                  ,2016
Jaguars,                    7                  ,                    1                  ,                    104                  ,                    35                  ,2016
Ravens,                    22                  ,                    3                  ,                    385                  ,                    63                  ,2017
Jaguars,                    21                  ,                    2                  ,                    294                  ,                    67                  ,2017
Saints,                    20                  ,                    2                  ,                    192                  ,                    33                  ,2017
Lions,                    19                  ,                    3                  ,                    253                  ,                    37                  ,2017
Eagles,                    19                  ,                    1                  ,                    278                  ,                    59T                  ,2017
Bills,                    18                  ,                    1                  ,                    275                  ,                    63T                  ,2017
Rams,                    18                  ,                    3                  ,                    401                  ,                    69                  ,2017
Chargers,                    18                  ,                    2                  ,                    302                  ,                    90                  ,2017
Chiefs,                    16                  ,                    0                  ,                    201                  ,                    62                  ,2017
Steelers,                    16                  ,                    0                  ,                    184                  ,                    41                  ,2017
Redskins,                    16                  ,                    2                  ,                    194                  ,                    96                  ,2017
Cardinals,                    15                  ,                    1                  ,                    258                  ,                    82T                  ,2017
Vikings,                    14                  ,                    1                  ,                    200                  ,                    36T                  ,2017
Seahawks,                    14                  ,                    3                  ,                    212                  ,                    78                  ,2017
Colts,                    13                  ,                    1                  ,                    215                  ,                    33T                  ,2017
Giants,                    13                  ,                    2                  ,                    161                  ,                    53T                  ,2017
Buccaneers,                    13                  ,                    1                  ,                    218                  ,                    47T                  ,2017
Titans,                    12                  ,                    0                  ,                    154                  ,                    33                  ,2017
Patriots,                    12                  ,                    0                  ,                    114                  ,                    39                  ,2017
Bengals,                    11                  ,                    3                  ,                    339                  ,                    101                  ,2017
Packers,                    11                  ,                    1                  ,                    54                  ,                    21T                  ,2017
Texans,                    11                  ,                    2                  ,                    144                  ,                    82                  ,2017
Jets,                    11                  ,                    0                  ,                    151                  ,                    48                  ,2017
Panthers,                    10                  ,                    0                  ,                    78                  ,                    40                  ,2017
Cowboys,                    10                  ,                    1                  ,                    98                  ,                    25T                  ,2017
Broncos,                    10                  ,                    2                  ,                    237                  ,                    103                  ,2017
49ers,                    10                  ,                    1                  ,                    185                  ,                    50T                  ,2017
Dolphins,                    9                  ,                    1                  ,                    99                  ,                    30T                  ,2017
Falcons,                    8                  ,                    0                  ,                    108                  ,                    43                  ,2017
Bears,                    8                  ,                    2                  ,                    253                  ,                    90                  ,2017
Browns,                    7                  ,                    1                  ,                    97                  ,                    56T                  ,2017
Raiders,                    5                  ,                    0                  ,                    10                  ,                    8                  ,2017
Bears,                    27                  ,                    5                  ,                    330                  ,                    49                  ,2018
Dolphins,                    21                  ,                    3                  ,                    321                  ,                    54                  ,2018
Rams,                    18                  ,                    3                  ,                    290                  ,                    50                  ,2018
Patriots,                    18                  ,                    1                  ,                    156                  ,                    84T                  ,2018
Browns,                    17                  ,                    0                  ,                    100                  ,                    50                  ,2018
Broncos,                    17                  ,                    2                  ,                    158                  ,                    53                  ,2018
Bills,                    16                  ,                    0                  ,                    133                  ,                    37                  ,2018
Giants,                    16                  ,                    3                  ,                    191                  ,                    46                  ,2018
Falcons,                    15                  ,                    1                  ,                    151                  ,                    41T                  ,2018
Texans,                    15                  ,                    3                  ,                    252                  ,                    101                  ,2018
Colts,                    15                  ,                    0                  ,                    220                  ,                    47                  ,2018
Chiefs,                    15                  ,                    3                  ,                    280                  ,                    67                  ,2018
Redskins,                    15                  ,                    0                  ,                    203                  ,                    40                  ,2018
Raiders,                    14                  ,                    1                  ,                    124                  ,                    36T                  ,2018
Panthers,                    13                  ,                    0                  ,                    86                  ,                    39                  ,2018
Jets,                    13                  ,                    3                  ,                    318                  ,                    104                  ,2018
Chargers,                    13                  ,                    1                  ,                    247                  ,                    86T                  ,2018
Ravens,                    12                  ,                    0                  ,                    99                  ,                    33                  ,2018
Bengals,                    12                  ,                    3                  ,                    222                  ,                    58                  ,2018
Vikings,                    12                  ,                    1                  ,                    159                  ,                    52T                  ,2018
Saints,                    12                  ,                    1                  ,                    259                  ,                    78T                  ,2018
Seahawks,                    12                  ,                    1                  ,                    196                  ,                    98T                  ,2018
Titans,                    11                  ,                    2                  ,                    120                  ,                    56                  ,2018
Jaguars,                    11                  ,                    2                  ,                    117                  ,                    33                  ,2018
Eagles,                    10                  ,                    0                  ,                    139                  ,                    29                  ,2018
Cowboys,                    9                  ,                    0                  ,                    141                  ,                    49                  ,2018
Buccaneers,                    9                  ,                    0                  ,                    97                  ,                    50                  ,2018
Steelers,                    8                  ,                    2                  ,                    89                  ,                    35                  ,2018
Lions,                    7                  ,                    2                  ,                    148                  ,                    67                  ,2018
Packers,                    7                  ,                    1                  ,                    100                  ,                    27                  ,2018
Cardinals,                    7                  ,                    0                  ,                    55                  ,                    25                  ,2018
49ers,                    2                  ,                    1                  ,                    55                  ,                    32T                  ,2018
Patriots,                    25                  ,                    3                  ,                    353                  ,                    69                  ,2019
Steelers,                    20                  ,                    1                  ,                    235                  ,                    96T                  ,2019
Packers,                    17                  ,                    0                  ,                    177                  ,                    39                  ,2019
Vikings,                    17                  ,                    1                  ,                    95                  ,                    21T                  ,2019
Chiefs,                    16                  ,                    1                  ,                    141                  ,                    46T                  ,2019
Seahawks,                    16                  ,                    2                  ,                    161                  ,                    55                  ,2019
Colts,                    15                  ,                    1                  ,                    167                  ,                    80T                  ,2019
Bills,                    14                  ,                    0                  ,                    59                  ,                    49                  ,2019
Panthers,                    14                  ,                    0                  ,                    141                  ,                    37                  ,2019
