Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk,year
Bears,                    17.1                  ,                    33                  ,                    564                  ,                    3                  ,                    9                  ,                    5                  ,                    89T                  ,                    10                  ,                    0                  ,                    0                  ,2010
Cowboys,                    15.9                  ,                    24                  ,                    382                  ,                    3                  ,                    5                  ,                    3                  ,                    97                  ,                    14                  ,                    5                  ,                    0                  ,2010
Patriots,                    13.4                  ,                    27                  ,                    361                  ,                    1                  ,                    5                  ,                    2                  ,                    94T                  ,                    14                  ,                    2                  ,                    1                  ,2010
Titans,                    12.2                  ,                    27                  ,                    329                  ,                    1                  ,                    4                  ,                    1                  ,                    87T                  ,                    17                  ,                    1                  ,                    1                  ,2010
Falcons,                    12.1                  ,                    19                  ,                    230                  ,                    1                  ,                    1                  ,                    1                  ,                    55T                  ,                    19                  ,                    1                  ,                    0                  ,2010
Lions,                    12.1                  ,                    30                  ,                    362                  ,                    0                  ,                    4                  ,                    1                  ,                    71                  ,                    21                  ,                    2                  ,                    0                  ,2010
Niners,                    11.8                  ,                    31                  ,                    366                  ,                    1                  ,                    4                  ,                    2                  ,                    78T                  ,                    25                  ,                    2                  ,                    1                  ,2010
Rams,                    11.3                  ,                    40                  ,                    452                  ,                    0                  ,                    7                  ,                    2                  ,                    42                  ,                    19                  ,                    0                  ,                    1                  ,2010
Seahawks,                    11.1                  ,                    42                  ,                    468                  ,                    0                  ,                    6                  ,                    4                  ,                    84                  ,                    14                  ,                    3                  ,                    1                  ,2010
Redskins,                    10.8                  ,                    40                  ,                    432                  ,                    0                  ,                    6                  ,                    1                  ,                    53                  ,                    13                  ,                    2                  ,                    0                  ,2010
Browns,                    10.7                  ,                    22                  ,                    235                  ,                    0                  ,                    1                  ,                    1                  ,                    62                  ,                    11                  ,                    4                  ,                    0                  ,2010
Eagles,                    10.6                  ,                    38                  ,                    404                  ,                    1                  ,                    4                  ,                    2                  ,                    65T                  ,                    19                  ,                    3                  ,                    0                  ,2010
Bills,                    10.5                  ,                    32                  ,                    336                  ,                    0                  ,                    8                  ,                    0                  ,                    34                  ,                    18                  ,                    4                  ,                    0                  ,2010
Chargers,                    10.5                  ,                    40                  ,                    420                  ,                    0                  ,                    3                  ,                    2                  ,                    62                  ,                    19                  ,                    1                  ,                    0                  ,2010
Dolphins,                    10.5                  ,                    28                  ,                    293                  ,                    0                  ,                    2                  ,                    1                  ,                    47                  ,                    22                  ,                    4                  ,                    0                  ,2010
Broncos,                    10.4                  ,                    31                  ,                    323                  ,                    0                  ,                    3                  ,                    0                  ,                    33                  ,                    15                  ,                    4                  ,                    0                  ,2010
Chiefs,                    10.1                  ,                    52                  ,                    524                  ,                    1                  ,                    6                  ,                    1                  ,                    94T                  ,                    9                  ,                    2                  ,                    0                  ,2010
Jaguars,                    10                  ,                    36                  ,                    359                  ,                    1                  ,                    5                  ,                    3                  ,                    78T                  ,                    8                  ,                    3                  ,                    1                  ,2010
Panthers,                    9.6                  ,                    39                  ,                    373                  ,                    0                  ,                    7                  ,                    0                  ,                    37                  ,                    6                  ,                    4                  ,                    1                  ,2010
Jets,                    9.4                  ,                    56                  ,                    529                  ,                    0                  ,                    5                  ,                    0                  ,                    32                  ,                    25                  ,                    3                  ,                    1                  ,2010
Vikings,                    8.6                  ,                    42                  ,                    361                  ,                    0                  ,                    4                  ,                    1                  ,                    52                  ,                    22                  ,                    2                  ,                    0                  ,2010
Packers,                    7.9                  ,                    41                  ,                    325                  ,                    0                  ,                    3                  ,                    2                  ,                    52                  ,                    19                  ,                    2                  ,                    0                  ,2010
Saints,                    7.8                  ,                    27                  ,                    210                  ,                    0                  ,                    2                  ,                    2                  ,                    72                  ,                    18                  ,                    3                  ,                    0                  ,2010
Ravens,                    7.4                  ,                    43                  ,                    319                  ,                    0                  ,                    4                  ,                    0                  ,                    35                  ,                    26                  ,                    3                  ,                    0                  ,2010
Bengals,                    7.2                  ,                    36                  ,                    258                  ,                    0                  ,                    2                  ,                    0                  ,                    27                  ,                    21                  ,                    1                  ,                    0                  ,2010
Raiders,                    7                  ,                    55                  ,                    386                  ,                    0                  ,                    3                  ,                    2                  ,                    53                  ,                    11                  ,                    2                  ,                    2                  ,2010
Cardinals,                    7                  ,                    42                  ,                    294                  ,                    0                  ,                    2                  ,                    0                  ,                    25                  ,                    8                  ,                    5                  ,                    0                  ,2010
Colts,                    6.9                  ,                    31                  ,                    214                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    24                  ,                    3                  ,                    1                  ,2010
Texans,                    6.7                  ,                    35                  ,                    235                  ,                    0                  ,                    1                  ,                    0                  ,                    39                  ,                    16                  ,                    0                  ,                    0                  ,2010
Buccaneers,                    6.4                  ,                    30                  ,                    193                  ,                    0                  ,                    2                  ,                    0                  ,                    23                  ,                    16                  ,                    3                  ,                    0                  ,2010
Giants,                    6.1                  ,                    43                  ,                    263                  ,                    0                  ,                    3                  ,                    0                  ,                    22                  ,                    13                  ,                    4                  ,                    0                  ,2010
Steelers,                    6.1                  ,                    37                  ,                    226                  ,                    0                  ,                    3                  ,                    0                  ,                    38                  ,                    19                  ,                    3                  ,                    1                  ,2010
Bears,                    15.7                  ,                    30                  ,                    470                  ,                    2                  ,                    9                  ,                    3                  ,                    82T                  ,                    16                  ,                    4                  ,                    0                  ,2011
Cardinals,                    15.1                  ,                    46                  ,                    696                  ,                    4                  ,                    8                  ,                    5                  ,                    99T                  ,                    22                  ,                    3                  ,                    0                  ,2011
Broncos,                    12.7                  ,                    47                  ,                    596                  ,                    2                  ,                    6                  ,                    2                  ,                    90                  ,                    19                  ,                    4                  ,                    0                  ,2011
Bills,                    12.6                  ,                    26                  ,                    329                  ,                    1                  ,                    4                  ,                    2                  ,                    80T                  ,                    21                  ,                    1                  ,                    0                  ,2011
Niners,                    12.4                  ,                    44                  ,                    544                  ,                    1                  ,                    10                  ,                    3                  ,                    55T                  ,                    23                  ,                    1                  ,                    0                  ,2011
Chiefs,                    11.9                  ,                    40                  ,                    475                  ,                    0                  ,                    6                  ,                    0                  ,                    37                  ,                    10                  ,                    2                  ,                    0                  ,2011
Bengals,                    11.5                  ,                    53                  ,                    610                  ,                    1                  ,                    6                  ,                    3                  ,                    63T                  ,                    18                  ,                    1                  ,                    0                  ,2011
Dolphins,                    11.4                  ,                    46                  ,                    526                  ,                    0                  ,                    5                  ,                    0                  ,                    25                  ,                    24                  ,                    3                  ,                    2                  ,2011
Browns,                    11.1                  ,                    38                  ,                    423                  ,                    1                  ,                    6                  ,                    2                  ,                    84T                  ,                    9                  ,                    4                  ,                    0                  ,2011
Seahawks,                    11                  ,                    42                  ,                    464                  ,                    0                  ,                    7                  ,                    0                  ,                    37                  ,                    16                  ,                    2                  ,                    2                  ,2011
Rams,                    11                  ,                    27                  ,                    297                  ,                    1                  ,                    3                  ,                    1                  ,                    88T                  ,                    25                  ,                    4                  ,                    1                  ,2011
Packers,                    10.9                  ,                    27                  ,                    295                  ,                    1                  ,                    3                  ,                    3                  ,                    80T                  ,                    19                  ,                    2                  ,                    0                  ,2011
Steelers,                    10.5                  ,                    33                  ,                    347                  ,                    1                  ,                    6                  ,                    2                  ,                    60T                  ,                    26                  ,                    0                  ,                    0                  ,2011
Titans,                    10.4                  ,                    47                  ,                    490                  ,                    1                  ,                    7                  ,                    1                  ,                    79T                  ,                    18                  ,                    1                  ,                    2                  ,2011
Texans,                    10.4                  ,                    51                  ,                    529                  ,                    1                  ,                    7                  ,                    5                  ,                    79T                  ,                    11                  ,                    0                  ,                    0                  ,2011
Patriots,                    10.2                  ,                    38                  ,                    389                  ,                    1                  ,                    2                  ,                    1                  ,                    72T                  ,                    13                  ,                    4                  ,                    0                  ,2011
Saints,                    10.1                  ,                    29                  ,                    294                  ,                    1                  ,                    5                  ,                    1                  ,                    72T                  ,                    19                  ,                    0                  ,                    0                  ,2011
Jets,                    9.7                  ,                    44                  ,                    426                  ,                    0                  ,                    5                  ,                    1                  ,                    53                  ,                    21                  ,                    6                  ,                    1                  ,2011
Ravens,                    9.6                  ,                    36                  ,                    345                  ,                    1                  ,                    4                  ,                    1                  ,                    68T                  ,                    27                  ,                    3                  ,                    0                  ,2011
Falcons,                    9.6                  ,                    33                  ,                    315                  ,                    0                  ,                    2                  ,                    1                  ,                    42                  ,                    19                  ,                    1                  ,                    0                  ,2011
Redskins,                    8.9                  ,                    37                  ,                    328                  ,                    0                  ,                    8                  ,                    1                  ,                    55                  ,                    9                  ,                    5                  ,                    0                  ,2011
Chargers,                    8.5                  ,                    31                  ,                    264                  ,                    0                  ,                    2                  ,                    0                  ,                    31                  ,                    12                  ,                    1                  ,                    0                  ,2011
Vikings,                    8.4                  ,                    33                  ,                    277                  ,                    0                  ,                    3                  ,                    1                  ,                    53                  ,                    20                  ,                    0                  ,                    0                  ,2011
Raiders,                    8.2                  ,                    32                  ,                    264                  ,                    0                  ,                    3                  ,                    0                  ,                    34                  ,                    9                  ,                    1                  ,                    0                  ,2011
Buccaneers,                    8                  ,                    29                  ,                    231                  ,                    0                  ,                    3                  ,                    0                  ,                    34                  ,                    14                  ,                    6                  ,                    0                  ,2011
Lions,                    7.9                  ,                    38                  ,                    301                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    28                  ,                    5                  ,                    0                  ,2011
Cowboys,                    7.2                  ,                    41                  ,                    293                  ,                    0                  ,                    3                  ,                    0                  ,                    25                  ,                    14                  ,                    2                  ,                    0                  ,2011
Eagles,                    7.1                  ,                    30                  ,                    212                  ,                    0                  ,                    3                  ,                    1                  ,                    51                  ,                    28                  ,                    4                  ,                    0                  ,2011
Giants,                    6.1                  ,                    28                  ,                    171                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    21                  ,                    3                  ,                    0                  ,2011
Panthers,                    5.5                  ,                    32                  ,                    176                  ,                    0                  ,                    0                  ,                    0                  ,                    17                  ,                    9                  ,                    0                  ,                    0                  ,2011
Jaguars,                    4.4                  ,                    34                  ,                    148                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    19                  ,                    1                  ,                    1                  ,2011
Colts,                    3.4                  ,                    32                  ,                    108                  ,                    0                  ,                    2                  ,                    0                  ,                    21                  ,                    23                  ,                    0                  ,                    0                  ,2011
Bills,                    17.1                  ,                    26                  ,                    445                  ,                    2                  ,                    7                  ,                    2                  ,                    88T                  ,                    21                  ,                    1                  ,                    0                  ,2012
Titans,                    15.3                  ,                    31                  ,                    475                  ,                    3                  ,                    5                  ,                    3                  ,                    81                  ,                    17                  ,                    1                  ,                    1                  ,2012
Browns,                    14.8                  ,                    41                  ,                    606                  ,                    1                  ,                    9                  ,                    3                  ,                    93T                  ,                    9                  ,                    4                  ,                    0                  ,2012
Cowboys,                    12.4                  ,                    34                  ,                    420                  ,                    1                  ,                    8                  ,                    2                  ,                    78T                  ,                    13                  ,                    2                  ,                    0                  ,2012
Patriots,                    12                  ,                    42                  ,                    506                  ,                    1                  ,                    6                  ,                    2                  ,                    68T                  ,                    8                  ,                    1                  ,                    0                  ,2012
Dolphins,                    11.2                  ,                    31                  ,                    346                  ,                    1                  ,                    4                  ,                    1                  ,                    72T                  ,                    25                  ,                    2                  ,                    1                  ,2012
Colts,                    11.1                  ,                    28                  ,                    312                  ,                    1                  ,                    1                  ,                    1                  ,                    75T                  ,                    20                  ,                    0                  ,                    0                  ,2012
Packers,                    11                  ,                    36                  ,                    395                  ,                    1                  ,                    4                  ,                    2                  ,                    75T                  ,                    22                  ,                    4                  ,                    1                  ,2012
Texans,                    10.9                  ,                    38                  ,                    414                  ,                    0                  ,                    5                  ,                    2                  ,                    71                  ,                    16                  ,                    2                  ,                    2                  ,2012
Niners,                    10.5                  ,                    36                  ,                    378                  ,                    0                  ,                    5                  ,                    0                  ,                    38                  ,                    18                  ,                    3                  ,                    1                  ,2012
Bengals,                    10.4                  ,                    47                  ,                    488                  ,                    1                  ,                    5                  ,                    2                  ,                    81T                  ,                    11                  ,                    2                  ,                    1                  ,2012
Jets,                    10.4                  ,                    23                  ,                    238                  ,                    1                  ,                    2                  ,                    1                  ,                    68T                  ,                    38                  ,                    3                  ,                    0                  ,2012
Eagles,                    10.3                  ,                    30                  ,                    310                  ,                    1                  ,                    2                  ,                    1                  ,                    98T                  ,                    26                  ,                    2                  ,                    1                  ,2012
Panthers,                    10.2                  ,                    27                  ,                    276                  ,                    0                  ,                    3                  ,                    1                  ,                    69                  ,                    18                  ,                    4                  ,                    0                  ,2012
Chargers,                    9.7                  ,                    33                  ,                    320                  ,                    1                  ,                    5                  ,                    1                  ,                    63T                  ,                    22                  ,                    4                  ,                    1                  ,2012
Ravens,                    9.4                  ,                    43                  ,                    404                  ,                    1                  ,                    3                  ,                    2                  ,                    63T                  ,                    26                  ,                    2                  ,                    0                  ,2012
Redskins,                    9.3                  ,                    36                  ,                    335                  ,                    0                  ,                    5                  ,                    1                  ,                    64                  ,                    7                  ,                    4                  ,                    0                  ,2012
Broncos,                    9.3                  ,                    48                  ,                    445                  ,                    1                  ,                    6                  ,                    2                  ,                    76T                  ,                    20                  ,                    5                  ,                    1                  ,2012
Buccaneers,                    9                  ,                    36                  ,                    324                  ,                    0                  ,                    4                  ,                    0                  ,                    39                  ,                    19                  ,                    2                  ,                    3                  ,2012
Vikings,                    9                  ,                    32                  ,                    287                  ,                    1                  ,                    2                  ,                    1                  ,                    77T                  ,                    27                  ,                    1                  ,                    0                  ,2012
Chiefs,                    8.9                  ,                    43                  ,                    381                  ,                    0                  ,                    6                  ,                    0                  ,                    27                  ,                    8                  ,                    4                  ,                    1                  ,2012
Lions,                    8.6                  ,                    35                  ,                    302                  ,                    0                  ,                    4                  ,                    1                  ,                    48                  ,                    26                  ,                    6                  ,                    0                  ,2012
Seahawks,                    8.4                  ,                    42                  ,                    355                  ,                    0                  ,                    5                  ,                    1                  ,                    52                  ,                    18                  ,                    1                  ,                    1                  ,2012
Cardinals,                    8.2                  ,                    54                  ,                    441                  ,                    0                  ,                    4                  ,                    0                  ,                    26                  ,                    14                  ,                    6                  ,                    1                  ,2012
Falcons,                    7.9                  ,                    26                  ,                    205                  ,                    0                  ,                    2                  ,                    0                  ,                    28                  ,                    19                  ,                    0                  ,                    0                  ,2012
Saints,                    7.6                  ,                    25                  ,                    190                  ,                    0                  ,                    3                  ,                    0                  ,                    37                  ,                    20                  ,                    0                  ,                    1                  ,2012
Bears,                    7.6                  ,                    44                  ,                    333                  ,                    0                  ,                    5                  ,                    1                  ,                    44                  ,                    8                  ,                    3                  ,                    1                  ,2012
Steelers,                    7.3                  ,                    41                  ,                    300                  ,                    0                  ,                    5                  ,                    1                  ,                    63                  ,                    19                  ,                    4                  ,                    0                  ,2012
Jaguars,                    7.3                  ,                    34                  ,                    248                  ,                    0                  ,                    1                  ,                    0                  ,                    28                  ,                    13                  ,                    3                  ,                    1                  ,2012
Giants,                    7.2                  ,                    20                  ,                    144                  ,                    0                  ,                    0                  ,                    0                  ,                    18                  ,                    19                  ,                    1                  ,                    0                  ,2012
Rams,                    6.6                  ,                    37                  ,                    245                  ,                    0                  ,                    2                  ,                    0                  ,                    23                  ,                    20                  ,                    4                  ,                    1                  ,2012
Raiders,                    5.1                  ,                    34                  ,                    173                  ,                    0                  ,                    2                  ,                    1                  ,                    47                  ,                    14                  ,                    4                  ,                    1                  ,2012
Vikings,                    15.2                  ,                    22                  ,                    335                  ,                    1                  ,                    5                  ,                    2                  ,                    86T                  ,                    28                  ,                    3                  ,                    0                  ,2013
Bears,                    14.2                  ,                    18                  ,                    256                  ,                    1                  ,                    4                  ,                    2                  ,                    81T                  ,                    12                  ,                    1                  ,                    0                  ,2013
Ravens,                    14.2                  ,                    43                  ,                    609                  ,                    1                  ,                    12                  ,                    1                  ,                    82T                  ,                    16                  ,                    1                  ,                    0                  ,2013
Steelers,                    12.8                  ,                    32                  ,                    409                  ,                    1                  ,                    7                  ,                    5                  ,                    67T                  ,                    23                  ,                    1                  ,                    0                  ,2013
Cowboys,                    12.4                  ,                    31                  ,                    386                  ,                    1                  ,                    5                  ,                    2                  ,                    86T                  ,                    13                  ,                    2                  ,                    0                  ,2013
Chiefs,                    11.8                  ,                    59                  ,                    695                  ,                    2                  ,                    11                  ,                    3                  ,                    89T                  ,                    11                  ,                    2                  ,                    0                  ,2013
Packers,                    11.3                  ,                    30                  ,                    339                  ,                    1                  ,                    4                  ,                    1                  ,                    93T                  ,                    21                  ,                    3                  ,                    1                  ,2013
Buccaneers,                    11.2                  ,                    24                  ,                    268                  ,                    0                  ,                    4                  ,                    2                  ,                    52                  ,                    20                  ,                    2                  ,                    2                  ,2013
Seahawks,                    11.1                  ,                    52                  ,                    579                  ,                    0                  ,                    8                  ,                    1                  ,                    71                  ,                    14                  ,                    2                  ,                    1                  ,2013
Browns,                    11                  ,                    38                  ,                    418                  ,                    1                  ,                    7                  ,                    2                  ,                    79T                  ,                    28                  ,                    3                  ,                    0                  ,2013
Patriots,                    10.8                  ,                    36                  ,                    387                  ,                    0                  ,                    4                  ,                    1                  ,                    43                  ,                    23                  ,                    5                  ,                    0                  ,2013
