Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,year
Broncos,                    28                  ,                    77.8                  ,                    25                  ,                    92.6                  ,                    0                  ,                    0                  ,2022
Rams,                    28                  ,                    93.3                  ,                    31                  ,                    96.9                  ,                    0                  ,                    0                  ,2022
Cardinals,                    28                  ,                    87.5                  ,                    24                  ,                    88.9                  ,                    0                  ,                    0                  ,2022
Bills,                    27                  ,                    87.1                  ,                    48                  ,                    96                  ,                    2                  ,                    0                  ,2022
49ers,                    27                  ,                    84.4                  ,                    51                  ,                    96.2                  ,                    0                  ,                    0                  ,2022
Dolphins,                    26                  ,                    81.2                  ,                    41                  ,                    93.2                  ,                    0                  ,                    0                  ,2022
Vikings,                    26                  ,                    78.8                  ,                    40                  ,                    87                  ,                    1                  ,                    0                  ,2022
Bears,                    25                  ,                    92.6                  ,                    27                  ,                    84.4                  ,                    0                  ,                    0                  ,2022
Packers,                    25                  ,                    86.2                  ,                    37                  ,                    94.9                  ,                    1                  ,                    0                  ,2022
Commanders,                    25                  ,                    83.3                  ,                    24                  ,                    85.7                  ,                    0                  ,                    0                  ,2022
Bengals,                    24                  ,                    82.8                  ,                    40                  ,                    90.9                  ,                    0                  ,                    0                  ,2022
Browns,                    24                  ,                    75                  ,                    35                  ,                    94.6                  ,                    0                  ,                    1                  ,2022
Lions,                    24                  ,                    80                  ,                    47                  ,                    95.9                  ,                    0                  ,                    1                  ,2022
Chiefs,                    24                  ,                    75                  ,                    50                  ,                    90.9                  ,                    0                  ,                    0                  ,2022
Saints,                    23                  ,                    74.2                  ,                    33                  ,                    100                  ,                    0                  ,                    0                  ,2022
Eagles,                    22                  ,                    88                  ,                    53                  ,                    96.4                  ,                    0                  ,                    0                  ,2022
Titans,                    20                  ,                    83.3                  ,                    32                  ,                    97                  ,                    0                  ,                    0                  ,2022
Cowboys,                    36                  ,                    94.7                  ,                    49                  ,                    94.2                  ,                    0                  ,                    0                  ,2023
Jets,                    36                  ,                    92.3                  ,                    16                  ,                    94.1                  ,                    0                  ,                    1                  ,2023
Bears,                    35                  ,                    92.1                  ,                    31                  ,                    93.9                  ,                    0                  ,                    0                  ,2023
Seahawks,                    35                  ,                    83.3                  ,                    33                  ,                    100                  ,                    0                  ,                    0                  ,2023
Browns,                    34                  ,                    91.9                  ,                    30                  ,                    90.9                  ,                    0                  ,                    0                  ,2023
Texans,                    34                  ,                    89.5                  ,                    31                  ,                    93.9                  ,                    2                  ,                    0                  ,2023
Colts,                    33                  ,                    80.5                  ,                    35                  ,                    97.2                  ,                    0                  ,                    0                  ,2023
Chiefs,                    33                  ,                    94.3                  ,                    38                  ,                    100                  ,                    0                  ,                    0                  ,2023
Falcons,                    32                  ,                    86.5                  ,                    27                  ,                    96.4                  ,                    0                  ,                    0                  ,2023
Ravens,                    32                  ,                    86.5                  ,                    51                  ,                    98.1                  ,                    0                  ,                    1                  ,2023
Rams,                    32                  ,                    74.4                  ,                    32                  ,                    86.5                  ,                    0                  ,                    0                  ,2023
Chargers,                    31                  ,                    93.9                  ,                    35                  ,                    100                  ,                    0                  ,                    1                  ,2023
Broncos,                    30                  ,                    88.2                  ,                    29                  ,                    93.6                  ,                    1                  ,                    0                  ,2023
Jaguars,                    30                  ,                    81.1                  ,                    35                  ,                    100                  ,                    0                  ,                    0                  ,2023
Saints,                    30                  ,                    81.1                  ,                    40                  ,                    100                  ,                    0                  ,                    1                  ,2023
Eagles,                    30                  ,                    93.8                  ,                    45                  ,                    97.8                  ,                    0                  ,                    0                  ,2023
Titans,                    29                  ,                    96.7                  ,                    28                  ,                    93.3                  ,                    0                  ,                    0                  ,2023
Steelers,                    29                  ,                    93.6                  ,                    27                  ,                    96.4                  ,                    0                  ,                    0                  ,2023
Buccaneers,                    29                  ,                    93.6                  ,                    33                  ,                    100                  ,                    0                  ,                    0                  ,2023
Cardinals,                    28                  ,                    84.8                  ,                    22                  ,                    95.6                  ,                    0                  ,                    0                  ,2023
Packers,                    27                  ,                    81.8                  ,                    34                  ,                    87.2                  ,                    0                  ,                    0                  ,2023
Bengals,                    26                  ,                    83.9                  ,                    40                  ,                    100                  ,                    0                  ,                    1                  ,2023
Raiders,                    26                  ,                    86.7                  ,                    32                  ,                    100                  ,                    0                  ,                    0                  ,2023
Panthers,                    25                  ,                    83.3                  ,                    17                  ,                    85                  ,                    0                  ,                    1                  ,2023
Bills,                    24                  ,                    82.8                  ,                    49                  ,                    98                  ,                    0                  ,                    1                  ,2023
Dolphins,                    24                  ,                    85.7                  ,                    58                  ,                    98.3                  ,                    0                  ,                    0                  ,2023
Vikings,                    24                  ,                    80                  ,                    36                  ,                    94.7                  ,                    0                  ,                    0                  ,2023
Giants,                    22                  ,                    71                  ,                    24                  ,                    96                  ,                    0                  ,                    1                  ,2023
49ers,                    21                  ,                    84                  ,                    60                  ,                    98.4                  ,                    0                  ,                    0                  ,2023
Lions,                    19                  ,                    90.5                  ,                    48                  ,                    92.3                  ,                    0                  ,                    0                  ,2023
Commanders,                    19                  ,                    79.2                  ,                    32                  ,                    91.4                  ,                    0                  ,                    0                  ,2023
Patriots,                    16                  ,                    64                  ,                    24                  ,                    96                  ,                    1                  ,                    0                  ,2023
Steelers,                    41                  ,                    93.2                  ,                    35                  ,                    100                  ,                    0                  ,                    1                  ,2024
Cowboys,                    40                  ,                    85.1                  ,                    30                  ,                    100                  ,                    2                  ,                    1                  ,2024
Chargers,                    39                  ,                    92.9                  ,                    33                  ,                    91.7                  ,                    0                  ,                    0                  ,2024
Dolphins,                    37                  ,                    90.2                  ,                    26                  ,                    92.9                  ,                    0                  ,                    0                  ,2024
Texans,                    36                  ,                    85.7                  ,                    34                  ,                    94.4                  ,                    0                  ,                    0                  ,2024
Vikings,                    35                  ,                    83.3                  ,                    45                  ,                    97.8                  ,                    0                  ,                    0                  ,2024
Raiders,                    34                  ,                    85                  ,                    23                  ,                    92                  ,                    0                  ,                    0                  ,2024
Cardinals,                    34                  ,                    89.5                  ,                    36                  ,                    97.3                  ,                    1                  ,                    0                  ,2024
Commanders,                    34                  ,                    81                  ,                    45                  ,                    95.7                  ,                    0                  ,                    0                  ,2024
49ers,                    33                  ,                    76.7                  ,                    38                  ,                    95                  ,                    0                  ,                    0                  ,2024
Packers,                    32                  ,                    84.2                  ,                    46                  ,                    100                  ,                    0                  ,                    0                  ,2024
Chiefs,                    32                  ,                    86.5                  ,                    37                  ,                    94.9                  ,                    0                  ,                    0                  ,2024
Broncos,                    31                  ,                    91.2                  ,                    46                  ,                    100                  ,                    0                  ,                    0                  ,2024
Colts,                    31                  ,                    83.8                  ,                    36                  ,                    100                  ,                    0                  ,                    0                  ,2024
Buccaneers,                    30                  ,                    93.8                  ,                    54                  ,                    96.4                  ,                    0                  ,                    0                  ,2024
Falcons,                    29                  ,                    70.7                  ,                    38                  ,                    100                  ,                    0                  ,                    0                  ,2024
Rams,                    29                  ,                    85.3                  ,                    32                  ,                    88.9                  ,                    0                  ,                    0                  ,2024
Eagles,                    28                  ,                    77.8                  ,                    47                  ,                    97.9                  ,                    0                  ,                    0                  ,2024
Jaguars,                    27                  ,                    93.1                  ,                    27                  ,                    100                  ,                    0                  ,                    1                  ,2024
Saints,                    27                  ,                    87.1                  ,                    31                  ,                    93.9                  ,                    0                  ,                    1                  ,2024
Lions,                    26                  ,                    89.7                  ,                    64                  ,                    95.5                  ,                    0                  ,                    1                  ,2024
Patriots,                    26                  ,                    78.8                  ,                    25                  ,                    96.2                  ,                    0                  ,                    0                  ,2024
Seahawks,                    26                  ,                    86.7                  ,                    37                  ,                    92.5                  ,                    1                  ,                    0                  ,2024
Bengals,                    25                  ,                    75.8                  ,                    51                  ,                    96.2                  ,                    1                  ,                    0                  ,2024
Titans,                    25                  ,                    92.6                  ,                    28                  ,                    100                  ,                    0                  ,                    0                  ,2024
Bills,                    24                  ,                    82.8                  ,                    59                  ,                    92.2                  ,                    0                  ,                    0                  ,2024
Giants,                    23                  ,                    82.1                  ,                    22                  ,                    95.6                  ,                    1                  ,                    0                  ,2024
Ravens,                    22                  ,                    73.3                  ,                    60                  ,                    96.8                  ,                    0                  ,                    0                  ,2024
Panthers,                    22                  ,                    84.6                  ,                    33                  ,                    94.3                  ,                    0                  ,                    0                  ,2024
Bears,                    21                  ,                    84                  ,                    25                  ,                    96.2                  ,                    0                  ,                    1                  ,2024
Jets,                    20                  ,                    71.4                  ,                    28                  ,                    90.3                  ,                    1                  ,                    0                  ,2024
Browns,                    18                  ,                    66.7                  ,                    18                  ,                    85.7                  ,                    0                  ,                    0                  ,2024
