Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Broncos,                    25                  ,                    39                  ,                    974                  ,                    1                  ,                    25                  ,                    3                  ,                    105T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Vikings,                    24.9                  ,                    66                  ,                    1646                  ,                    2                  ,                    37                  ,                    10                  ,                    109T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2013
Titans,                    24.9                  ,                    44                  ,                    1096                  ,                    0                  ,                    33                  ,                    2                  ,                    95                  ,                    0                  ,                    2                  ,                    1                  ,                    1                  ,2013
Texans,                    24.6                  ,                    51                  ,                    1257                  ,                    0                  ,                    35                  ,                    4                  ,                    50                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2013
Falcons,                    24.4                  ,                    27                  ,                    659                  ,                    0                  ,                    23                  ,                    1                  ,                    40                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Lions,                    24                  ,                    34                  ,                    816                  ,                    1                  ,                    20                  ,                    3                  ,                    98T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Patriots,                    24                  ,                    39                  ,                    935                  ,                    0                  ,                    28                  ,                    3                  ,                    83                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2013
Buccaneers,                    23.8                  ,                    34                  ,                    811                  ,                    0                  ,                    25                  ,                    2                  ,                    44                  ,                    1                  ,                    3                  ,                    0                  ,                    0                  ,2013
Colts,                    23.5                  ,                    43                  ,                    1011                  ,                    0                  ,                    34                  ,                    0                  ,                    39                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2013
Browns,                    23.3                  ,                    40                  ,                    931                  ,                    0                  ,                    24                  ,                    3                  ,                    86                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Bears,                    23.1                  ,                    70                  ,                    1614                  ,                    0                  ,                    44                  ,                    5                  ,                    80                  ,                    1                  ,                    4                  ,                    0                  ,                    0                  ,2013
Saints,                    23                  ,                    22                  ,                    506                  ,                    0                  ,                    15                  ,                    1                  ,                    82                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
Jets,                    22.7                  ,                    45                  ,                    1021                  ,                    0                  ,                    26                  ,                    2                  ,                    42                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Niners,                    22.7                  ,                    32                  ,                    726                  ,                    0                  ,                    23                  ,                    2                  ,                    47                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2013
Rams,                    22.6                  ,                    37                  ,                    835                  ,                    0                  ,                    28                  ,                    0                  ,                    32                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2013
Steelers,                    22.4                  ,                    43                  ,                    962                  ,                    0                  ,                    27                  ,                    4                  ,                    46                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2013
Raiders,                    22.2                  ,                    54                  ,                    1201                  ,                    0                  ,                    39                  ,                    1                  ,                    41                  ,                    0                  ,                    3                  ,                    1                  ,                    0                  ,2013
Chargers,                    22.1                  ,                    32                  ,                    707                  ,                    0                  ,                    23                  ,                    1                  ,                    42                  ,                    1                  ,                    1                  ,                    2                  ,                    0                  ,2013
Panthers,                    21.9                  ,                    28                  ,                    612                  ,                    0                  ,                    15                  ,                    0                  ,                    38                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
Eagles,                    21.4                  ,                    37                  ,                    790                  ,                    0                  ,                    24                  ,                    2                  ,                    47                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2013
Dolphins,                    21.3                  ,                    42                  ,                    893                  ,                    0                  ,                    22                  ,                    2                  ,                    50                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2013
Giants,                    21.2                  ,                    44                  ,                    933                  ,                    0                  ,                    26                  ,                    2                  ,                    56                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
Seahawks,                    21.2                  ,                    33                  ,                    698                  ,                    0                  ,                    21                  ,                    2                  ,                    58                  ,                    0                  ,                    4                  ,                    0                  ,                    0                  ,2013
Bills,                    20.4                  ,                    23                  ,                    469                  ,                    0                  ,                    12                  ,                    0                  ,                    28                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Packers,                    20.3                  ,                    39                  ,                    791                  ,                    0                  ,                    18                  ,                    1                  ,                    70                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2013
Cardinals,                    20                  ,                    27                  ,                    540                  ,                    0                  ,                    15                  ,                    1                  ,                    46                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2013
Redskins,                    20                  ,                    51                  ,                    1018                  ,                    0                  ,                    28                  ,                    0                  ,                    39                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2013
Ravens,                    28.3                  ,                    38                  ,                    1077                  ,                    1                  ,                    30                  ,                    5                  ,                    108T                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2014
Chiefs,                    28                  ,                    51                  ,                    1430                  ,                    1                  ,                    40                  ,                    4                  ,                    99T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Colts,                    28                  ,                    38                  ,                    1065                  ,                    0                  ,                    33                  ,                    3                  ,                    76                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2014
Bengals,                    27.6                  ,                    45                  ,                    1241                  ,                    0                  ,                    36                  ,                    3                  ,                    97                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2014
Eagles,                    27.3                  ,                    32                  ,                    874                  ,                    2                  ,                    21                  ,                    3                  ,                    107                  ,                    0                  ,                    1                  ,                    1                  ,                    1                  ,2014
Dolphins,                    26.4                  ,                    41                  ,                    1082                  ,                    0                  ,                    30                  ,                    4                  ,                    74                  ,                    2                  ,                    2                  ,                    2                  ,                    0                  ,2014
Saints,                    25.9                  ,                    21                  ,                    543                  ,                    0                  ,                    14                  ,                    1                  ,                    99                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2014
Broncos,                    25.1                  ,                    32                  ,                    802                  ,                    0                  ,                    17                  ,                    4                  ,                    77                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2014
Niners,                    24.5                  ,                    45                  ,                    1104                  ,                    0                  ,                    33                  ,                    1                  ,                    57                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Lions,                    24.5                  ,                    25                  ,                    612                  ,                    0                  ,                    18                  ,                    1                  ,                    41                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2014
Rams,                    24.4                  ,                    45                  ,                    1099                  ,                    0                  ,                    34                  ,                    2                  ,                    75                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2014
Jaguars,                    24                  ,                    43                  ,                    1033                  ,                    0                  ,                    31                  ,                    1                  ,                    40                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Cowboys,                    23.9                  ,                    33                  ,                    790                  ,                    0                  ,                    25                  ,                    1                  ,                    42                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2014
Falcons,                    23.5                  ,                    50                  ,                    1174                  ,                    0                  ,                    28                  ,                    3                  ,                    66                  ,                    0                  ,                    0                  ,                    1                  ,                    2                  ,2014
Bears,                    23.4                  ,                    55                  ,                    1290                  ,                    1                  ,                    34                  ,                    4                  ,                    101T                  ,                    0                  ,                    0                  ,                    3                  ,                    0                  ,2014
Titans,                    23.4                  ,                    48                  ,                    1121                  ,                    0                  ,                    33                  ,                    5                  ,                    52                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2014
Bills,                    23.3                  ,                    33                  ,                    770                  ,                    1                  ,                    18                  ,                    2                  ,                    102T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2014
Giants,                    23.3                  ,                    44                  ,                    1025                  ,                    0                  ,                    35                  ,                    2                  ,                    45                  ,                    0                  ,                    3                  ,                    0                  ,                    0                  ,2014
Jets,                    23.1                  ,                    58                  ,                    1342                  ,                    0                  ,                    35                  ,                    5                  ,                    87                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2014
Buccaneers,                    22.8                  ,                    36                  ,                    819                  ,                    0                  ,                    28                  ,                    1                  ,                    45                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2014
Patriots,                    22.4                  ,                    31                  ,                    693                  ,                    0                  ,                    19                  ,                    1                  ,                    81                  ,                    0                  ,                    0                  ,                    4                  ,                    0                  ,2014
Chargers,                    22.2                  ,                    26                  ,                    577                  ,                    0                  ,                    19                  ,                    0                  ,                    35                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2014
Raiders,                    21.8                  ,                    47                  ,                    1027                  ,                    0                  ,                    35                  ,                    1                  ,                    42                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2014
Panthers,                    21.8                  ,                    37                  ,                    805                  ,                    0                  ,                    24                  ,                    2                  ,                    49                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Redskins,                    21.8                  ,                    36                  ,                    783                  ,                    0                  ,                    20                  ,                    2                  ,                    45                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2014
Vikings,                    21.7                  ,                    54                  ,                    1173                  ,                    0                  ,                    29                  ,                    5                  ,                    51                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2014
Steelers,                    21.7                  ,                    35                  ,                    758                  ,                    0                  ,                    22                  ,                    1                  ,                    41                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Browns,                    21.6                  ,                    37                  ,                    801                  ,                    0                  ,                    23                  ,                    0                  ,                    39                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2014
Texans,                    21.1                  ,                    20                  ,                    422                  ,                    0                  ,                    12                  ,                    1                  ,                    41                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2014
Seahawks,                    21                  ,                    39                  ,                    820                  ,                    0                  ,                    25                  ,                    2                  ,                    47                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2014
Packers,                    19.1                  ,                    29                  ,                    555                  ,                    0                  ,                    17                  ,                    1                  ,                    41                  ,                    1                  ,                    1                  ,                    1                  ,                    0                  ,2014
Cardinals,                    19                  ,                    22                  ,                    417                  ,                    0                  ,                    12                  ,                    1                  ,                    43                  ,                    0                  ,                    0                  ,                    3                  ,                    0                  ,2014
Vikings,                    28.3                  ,                    42                  ,                    1190                  ,                    2                  ,                    30                  ,                    6                  ,                    101T                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2015
Lions,                    27.7                  ,                    44                  ,                    1220                  ,                    0                  ,                    37                  ,                    4                  ,                    104                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2015
Bears,                    27                  ,                    33                  ,                    892                  ,                    0                  ,                    24                  ,                    3                  ,                    74                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2015
Falcons,                    25.6                  ,                    26                  ,                    667                  ,                    0                  ,                    20                  ,                    2                  ,                    50                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2015
Seahawks,                    25.5                  ,                    34                  ,                    868                  ,                    1                  ,                    23                  ,                    3                  ,                    105T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Browns,                    25.4                  ,                    41                  ,                    1041                  ,                    0                  ,                    34                  ,                    2                  ,                    53                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2015
Ravens,                    25.2                  ,                    34                  ,                    857                  ,                    0                  ,                    25                  ,                    3                  ,                    50                  ,                    0                  ,                    0                  ,                    2                  ,                    2                  ,2015
Cowboys,                    25.1                  ,                    28                  ,                    704                  ,                    0                  ,                    22                  ,                    2                  ,                    79                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2015
Redskins,                    25                  ,                    40                  ,                    999                  ,                    2                  ,                    25                  ,                    3                  ,                    101                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Giants,                    24.9                  ,                    39                  ,                    971                  ,                    1                  ,                    28                  ,                    4                  ,                    100T                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2015
Packers,                    24.5                  ,                    36                  ,                    881                  ,                    0                  ,                    23                  ,                    5                  ,                    70                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2015
Rams,                    24.4                  ,                    34                  ,                    830                  ,                    0                  ,                    23                  ,                    3                  ,                    102                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Colts,                    24.4                  ,                    43                  ,                    1047                  ,                    0                  ,                    31                  ,                    3                  ,                    60                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2015
Steelers,                    24.2                  ,                    29                  ,                    701                  ,                    0                  ,                    20                  ,                    0                  ,                    38                  ,                    0                  ,                    1                  ,                    1                  ,                    1                  ,2015
Buccaneers,                    24.1                  ,                    21                  ,                    506                  ,                    0                  ,                    15                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2015
Cardinals,                    24.1                  ,                    32                  ,                    770                  ,                    1                  ,                    20                  ,                    2                  ,                    108T                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2015
Raiders,                    23.9                  ,                    53                  ,                    1268                  ,                    0                  ,                    38                  ,                    2                  ,                    70                  ,                    0                  ,                    3                  ,                    2                  ,                    3                  ,2015
Texans,                    23.9                  ,                    18                  ,                    430                  ,                    0                  ,                    15                  ,                    1                  ,                    41                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2015
Niners,                    23.6                  ,                    42                  ,                    993                  ,                    0                  ,                    31                  ,                    1                  ,                    40                  ,                    0                  ,                    2                  ,                    3                  ,                    1                  ,2015
Jaguars,                    23.3                  ,                    31                  ,                    721                  ,                    0                  ,                    22                  ,                    2                  ,                    42                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2015
Chiefs,                    22.6                  ,                    35                  ,                    791                  ,                    0                  ,                    20                  ,                    2                  ,                    54                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2015
Dolphins,                    22.3                  ,                    43                  ,                    958                  ,                    0                  ,                    27                  ,                    1                  ,                    50                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2015
Broncos,                    21.8                  ,                    27                  ,                    588                  ,                    0                  ,                    16                  ,                    1                  ,                    41                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2015
Saints,                    21.6                  ,                    28                  ,                    605                  ,                    0                  ,                    17                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2015
Eagles,                    20.9                  ,                    27                  ,                    565                  ,                    0                  ,                    14                  ,                    2                  ,                    49                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Jets,                    20.8                  ,                    37                  ,                    771                  ,                    0                  ,                    21                  ,                    1                  ,                    54                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2015
Chargers,                    20.8                  ,                    28                  ,                    583                  ,                    0                  ,                    19                  ,                    0                  ,                    34                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Titans,                    20.6                  ,                    33                  ,                    680                  ,                    0                  ,                    17                  ,                    0                  ,                    34                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2015
Bengals,                    20.6                  ,                    34                  ,                    700                  ,                    0                  ,                    19                  ,                    2                  ,                    58                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2015
Bills,                    18.8                  ,                    41                  ,                    772                  ,                    0                  ,                    22                  ,                    0                  ,                    32                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Patriots,                    18.8                  ,                    25                  ,                    469                  ,                    0                  ,                    11                  ,                    1                  ,                    75                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2015
Panthers,                    18.5                  ,                    22                  ,                    407                  ,                    0                  ,                    13                  ,                    0                  ,                    33                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Vikings,                    27.3                  ,                    33                  ,                    902                  ,                    1                  ,                    20                  ,                    4                  ,                    104T                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2016
Eagles,                    27.3                  ,                    35                  ,                    956                  ,                    2                  ,                    20                  ,                    5                  ,                    98                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2016
Bengals,                    25.7                  ,                    39                  ,                    1003                  ,                    0                  ,                    26                  ,                    3                  ,                    84                  ,                    0                  ,                    0                  ,                    1                  ,                    2                  ,2016
Colts,                    25.1                  ,                    32                  ,                    804                  ,                    1                  ,                    20                  ,                    3                  ,                    99T                  ,                    0                  ,                    0                  ,                    0                  ,                    2                  ,2016
Dolphins,                    25.1                  ,                    35                  ,                    879                  ,                    1                  ,                    20                  ,                    4                  ,                    96T                  ,                    0                  ,                    1                  ,                    0                  ,                    3                  ,2016
Rams,                    23.9                  ,                    47                  ,                    1122                  ,                    0                  ,                    31                  ,                    6                  ,                    61                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2016
Giants,                    23.8                  ,                    31                  ,                    739                  ,                    0                  ,                    21                  ,                    3                  ,                    46                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2016
