Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Jets,                    26.3                  ,                    62                  ,                    1633                  ,                    1                  ,                    41                  ,                    7                  ,                    107T                  ,                    0                  ,                    3                  ,                    0                  ,                    0                  ,2011
Titans,                    26                  ,                    32                  ,                    832                  ,                    1                  ,                    25                  ,                    3                  ,                    84T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2011
Chargers,                    25.6                  ,                    43                  ,                    1100                  ,                    1                  ,                    33                  ,                    3                  ,                    105T                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Texans,                    25.2                  ,                    29                  ,                    730                  ,                    0                  ,                    20                  ,                    4                  ,                    50                  ,                    0                  ,                    2                  ,                    2                  ,                    0                  ,2011
Steelers,                    25.1                  ,                    35                  ,                    877                  ,                    0                  ,                    27                  ,                    2                  ,                    52                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2011
Ravens,                    24.9                  ,                    42                  ,                    1047                  ,                    0                  ,                    31                  ,                    3                  ,                    77                  ,                    0                  ,                    4                  ,                    0                  ,                    0                  ,2011
Seahawks,                    24.8                  ,                    46                  ,                    1142                  ,                    0                  ,                    34                  ,                    4                  ,                    54                  ,                    0                  ,                    0                  ,                    3                  ,                    1                  ,2011
Broncos,                    24.5                  ,                    39                  ,                    956                  ,                    0                  ,                    25                  ,                    3                  ,                    67                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Packers,                    24.5                  ,                    41                  ,                    1005                  ,                    1                  ,                    27                  ,                    3                  ,                    108T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2011
Dolphins,                    24.2                  ,                    39                  ,                    942                  ,                    0                  ,                    26                  ,                    2                  ,                    77                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Lions,                    24                  ,                    37                  ,                    887                  ,                    0                  ,                    29                  ,                    1                  ,                    42                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2011
Cardinals,                    24                  ,                    52                  ,                    1246                  ,                    0                  ,                    41                  ,                    1                  ,                    51                  ,                    0                  ,                    0                  ,                    5                  ,                    0                  ,2011
Panthers,                    23.7                  ,                    39                  ,                    926                  ,                    1                  ,                    25                  ,                    2                  ,                    101T                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2011
Browns,                    23.6                  ,                    48                  ,                    1134                  ,                    0                  ,                    32                  ,                    3                  ,                    63                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Raiders,                    23.5                  ,                    43                  ,                    1011                  ,                    1                  ,                    21                  ,                    4                  ,                    101T                  ,                    0                  ,                    1                  ,                    3                  ,                    1                  ,2011
Falcons,                    23.5                  ,                    24                  ,                    563                  ,                    0                  ,                    18                  ,                    0                  ,                    37                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2011
Cowboys,                    23.3                  ,                    33                  ,                    768                  ,                    0                  ,                    19                  ,                    2                  ,                    69                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2011
Rams,                    23.3                  ,                    55                  ,                    1280                  ,                    0                  ,                    41                  ,                    1                  ,                    47                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2011
Giants,                    23.2                  ,                    52                  ,                    1209                  ,                    0                  ,                    37                  ,                    1                  ,                    40                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2011
Bills,                    23                  ,                    37                  ,                    853                  ,                    0                  ,                    26                  ,                    3                  ,                    54                  ,                    0                  ,                    0                  ,                    2                  ,                    1                  ,2011
Bengals,                    22.8                  ,                    45                  ,                    1026                  ,                    0                  ,                    30                  ,                    1                  ,                    45                  ,                    0                  ,                    3                  ,                    1                  ,                    0                  ,2011
Jaguars,                    22.4                  ,                    47                  ,                    1055                  ,                    0                  ,                    33                  ,                    0                  ,                    37                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2011
Buccaneers,                    22.3                  ,                    46                  ,                    1024                  ,                    0                  ,                    29                  ,                    2                  ,                    78                  ,                    0                  ,                    1                  ,                    0                  ,                    1                  ,2011
Redskins,                    22.1                  ,                    56                  ,                    1239                  ,                    0                  ,                    34                  ,                    3                  ,                    47                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2011
Bears,                    21.7                  ,                    57                  ,                    1238                  ,                    1                  ,                    29                  ,                    4                  ,                    98T                  ,                    0                  ,                    0                  ,                    3                  ,                    0                  ,2011
Patriots,                    21.4                  ,                    46                  ,                    986                  ,                    0                  ,                    30                  ,                    0                  ,                    37                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2011
Chiefs,                    21.3                  ,                    46                  ,                    979                  ,                    0                  ,                    26                  ,                    0                  ,                    35                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2011
Eagles,                    20.9                  ,                    39                  ,                    815                  ,                    0                  ,                    24                  ,                    0                  ,                    33                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2011
Colts,                    18.6                  ,                    31                  ,                    578                  ,                    0                  ,                    11                  ,                    1                  ,                    51                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2011
Ravens,                    27.3                  ,                    60                  ,                    1636                  ,                    2                  ,                    48                  ,                    6                  ,                    108T                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2012
Seahawks,                    27.1                  ,                    29                  ,                    787                  ,                    1                  ,                    19                  ,                    5                  ,                    98T                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2012
Bills,                    27                  ,                    42                  ,                    1136                  ,                    1                  ,                    35                  ,                    4                  ,                    89T                  ,                    0                  ,                    0                  ,                    4                  ,                    1                  ,2012
Dolphins,                    27                  ,                    40                  ,                    1082                  ,                    1                  ,                    31                  ,                    4                  ,                    96T                  ,                    0                  ,                    1                  ,                    2                  ,                    0                  ,2012
Vikings,                    26.6                  ,                    44                  ,                    1171                  ,                    1                  ,                    32                  ,                    6                  ,                    105T                  ,                    1                  ,                    2                  ,                    2                  ,                    2                  ,2012
Giants,                    26.2                  ,                    63                  ,                    1648                  ,                    1                  ,                    43                  ,                    8                  ,                    97T                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
Jets,                    26.2                  ,                    50                  ,                    1308                  ,                    1                  ,                    35                  ,                    7                  ,                    100T                  ,                    0                  ,                    3                  ,                    1                  ,                    0                  ,2012
Browns,                    25.4                  ,                    50                  ,                    1269                  ,                    0                  ,                    39                  ,                    3                  ,                    74                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2012
