Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,year
Falcons,                    79                  ,                    4902                  ,                    50                  ,                    63.3                  ,                    23                  ,                    24.8                  ,                    6                  ,                    3                  ,                    0                  ,                    0                  ,2013
Dolphins,                    75                  ,                    4968                  ,                    38                  ,                    50.7                  ,                    36                  ,                    22.9                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2013
Raiders,                    74                  ,                    4477                  ,                    38                  ,                    51.4                  ,                    30                  ,                    20.4                  ,                    5                  ,                    0                  ,                    1                  ,                    0                  ,2013
Browns,                    73                  ,                    4534                  ,                    42                  ,                    57.5                  ,                    27                  ,                    22.7                  ,                    5                  ,                    0                  ,                    0                  ,                    0                  ,2013
Jets,                    73                  ,                    4584                  ,                    30                  ,                    41.1                  ,                    42                  ,                    22.3                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2013
Redskins,                    72                  ,                    4355                  ,                    22                  ,                    30.6                  ,                    47                  ,                    22.3                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2013
Giants,                    71                  ,                    4527                  ,                    35                  ,                    49.3                  ,                    33                  ,                    21.8                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2013
Buccaneers,                    69                  ,                    4363                  ,                    41                  ,                    59.4                  ,                    24                  ,                    18.8                  ,                    4                  ,                    2                  ,                    1                  ,                    0                  ,2013
Texans,                    68                  ,                    4567                  ,                    29                  ,                    42.6                  ,                    39                  ,                    25.7                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2013
Jaguars,                    63                  ,                    4103                  ,                    36                  ,                    57.1                  ,                    25                  ,                    20.4                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2013
Packers,                    104                  ,                    6442                  ,                    41                  ,                    39.4                  ,                    58                  ,                    24.5                  ,                    3                  ,                    0                  ,                    2                  ,                    1                  ,2014
Cowboys,                    99                  ,                    6240                  ,                    52                  ,                    52.5                  ,                    43                  ,                    21.4                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2014
Broncos,                    99                  ,                    6437                  ,                    64                  ,                    64.6                  ,                    35                  ,                    25.9                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Colts,                    99                  ,                    6332                  ,                    70                  ,                    70.7                  ,                    26                  ,                    22.6                  ,                    3                  ,                    3                  ,                    0                  ,                    0                  ,2014
Patriots,                    99                  ,                    6362                  ,                    53                  ,                    53.5                  ,                    45                  ,                    21.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2014
Eagles,                    98                  ,                    6401                  ,                    46                  ,                    46.9                  ,                    52                  ,                    22.8                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Steelers,                    89                  ,                    5552                  ,                    32                  ,                    36                  ,                    54                  ,                    23.1                  ,                    3                  ,                    0                  ,                    1                  ,                    1                  ,2014
Seahawks,                    89                  ,                    5807                  ,                    46                  ,                    51.7                  ,                    43                  ,                    24.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Ravens,                    88                  ,                    5702                  ,                    60                  ,                    68.2                  ,                    26                  ,                    23.1                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2014
Texans,                    87                  ,                    5693                  ,                    40                  ,                    46                  ,                    45                  ,                    26                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2014
Bills,                    85                  ,                    5362                  ,                    49                  ,                    57.6                  ,                    32                  ,                    20                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2014
Dolphins,                    85                  ,                    5476                  ,                    37                  ,                    43.5                  ,                    46                  ,                    26.9                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2014
Falcons,                    83                  ,                    5172                  ,                    46                  ,                    55.4                  ,                    36                  ,                    22.8                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2014
Giants,                    82                  ,                    5072                  ,                    46                  ,                    56.1                  ,                    32                  ,                    18.3                  ,                    3                  ,                    2                  ,                    1                  ,                    0                  ,2014
Bengals,                    81                  ,                    5316                  ,                    37                  ,                    45.7                  ,                    44                  ,                    25.5                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Chiefs,                    81                  ,                    5156                  ,                    26                  ,                    32.1                  ,                    54                  ,                    23.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Saints,                    81                  ,                    5273                  ,                    40                  ,                    49.4                  ,                    39                  ,                    26.4                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2014
Panthers,                    79                  ,                    5196                  ,                    61                  ,                    77.2                  ,                    18                  ,                    32.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Chargers,                    78                  ,                    4799                  ,                    10                  ,                    12.8                  ,                    67                  ,                    22.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2014
Vikings,                    77                  ,                    4846                  ,                    48                  ,                    62.3                  ,                    28                  ,                    20.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2014
Cardinals,                    76                  ,                    5061                  ,                    38                  ,                    50                  ,                    37                  ,                    26.1                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Lions,                    75                  ,                    4826                  ,                    53                  ,                    70.7                  ,                    20                  ,                    27.2                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2014
Rams,                    75                  ,                    4892                  ,                    38                  ,                    50.7                  ,                    35                  ,                    24.3                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2014
Jets,                    74                  ,                    4655                  ,                    21                  ,                    28.4                  ,                    51                  ,                    21.8                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Niners,                    73                  ,                    4721                  ,                    32                  ,                    43.8                  ,                    40                  ,                    22.7                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Redskins,                    72                  ,                    4486                  ,                    27                  ,                    37.5                  ,                    43                  ,                    25.8                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2014
Browns,                    71                  ,                    4679                  ,                    40                  ,                    56.3                  ,                    31                  ,                    22.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2014
Buccaneers,                    69                  ,                    4436                  ,                    31                  ,                    44.9                  ,                    37                  ,                    23.5                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2014
Bears,                    68                  ,                    3872                  ,                    25                  ,                    36.8                  ,                    35                  ,                    17.5                  ,                    6                  ,                    1                  ,                    1                  ,                    0                  ,2014
Titans,                    65                  ,                    4086                  ,                    31                  ,                    47.7                  ,                    31                  ,                    27.6                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2014
Jaguars,                    65                  ,                    3991                  ,                    37                  ,                    56.9                  ,                    22                  ,                    23.4                  ,                    5                  ,                    2                  ,                    1                  ,                    0                  ,2014
Raiders,                    61                  ,                    3723                  ,                    34                  ,                    55.7                  ,                    21                  ,                    32.5                  ,                    6                  ,                    0                  ,                    1                  ,                    0                  ,2014
Panthers,                    103                  ,                    6757                  ,                    69                  ,                    67                  ,                    34                  ,                    26.6                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2015
Patriots,                    101                  ,                    6284                  ,                    69                  ,                    68.3                  ,                    29                  ,                    18.1                  ,                    3                  ,                    2                  ,                    1                  ,                    0                  ,2015
Cardinals,                    99                  ,                    6445                  ,                    50                  ,                    50.5                  ,                    49                  ,                    24.3                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Steelers,                    94                  ,                    5964                  ,                    38                  ,                    40.4                  ,                    54                  ,                    22.2                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2015
Giants,                    93                  ,                    5727                  ,                    37                  ,                    39.8                  ,                    54                  ,                    20.3                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2015
Seahawks,                    92                  ,                    5930                  ,                    47                  ,                    51.1                  ,                    42                  ,                    25.6                  ,                    3                  ,                    0                  ,                    1                  ,                    1                  ,2015
Chiefs,                    90                  ,                    5746                  ,                    40                  ,                    44.4                  ,                    46                  ,                    24.7                  ,                    3                  ,                    1                  ,                    1                  ,                    0                  ,2015
Bengals,                    89                  ,                    5786                  ,                    42                  ,                    47.2                  ,                    46                  ,                    22.6                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2015
Vikings,                    87                  ,                    5695                  ,                    47                  ,                    54                  ,                    40                  ,                    26.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Jets,                    86                  ,                    5584                  ,                    34                  ,                    39.5                  ,                    49                  ,                    23.8                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2015
Redskins,                    85                  ,                    5288                  ,                    53                  ,                    62.4                  ,                    29                  ,                    20.1                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2015
Bills,                    84                  ,                    5235                  ,                    42                  ,                    50                  ,                    40                  ,                    17.2                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2015
Jaguars,                    84                  ,                    5247                  ,                    55                  ,                    65.5                  ,                    23                  ,                    24                  ,                    5                  ,                    0                  ,                    4                  ,                    0                  ,2015
Bears,                    83                  ,                    5036                  ,                    39                  ,                    47                  ,                    39                  ,                    25.2                  ,                    4                  ,                    1                  ,                    1                  ,                    2                  ,2015
Broncos,                    82                  ,                    5109                  ,                    55                  ,                    67.1                  ,                    25                  ,                    20.3                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2015
Saints,                    82                  ,                    5311                  ,                    44                  ,                    53.7                  ,                    37                  ,                    26.5                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2015
Buccaneers,                    82                  ,                    5193                  ,                    44                  ,                    53.7                  ,                    35                  ,                    25.2                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2015
Packers,                    81                  ,                    5125                  ,                    41                  ,                    50.6                  ,                    37                  ,                    26.7                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2015
Raiders,                    81                  ,                    5113                  ,                    44                  ,                    54.3                  ,                    35                  ,                    22.7                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2015
Eagles,                    81                  ,                    5000                  ,                    42                  ,                    51.8                  ,                    34                  ,                    20.7                  ,                    3                  ,                    0                  ,                    2                  ,                    0                  ,2015
Lions,                    77                  ,                    4826                  ,                    40                  ,                    52                  ,                    32                  ,                    25.4                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2015
Colts,                    77                  ,                    4836                  ,                    67                  ,                    87                  ,                    8                  ,                    19.5                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2015
Falcons,                    76                  ,                    4875                  ,                    52                  ,                    68.4                  ,                    22                  ,                    27.2                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2015
Texans,                    76                  ,                    4881                  ,                    33                  ,                    43.4                  ,                    40                  ,                    24.4                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2015
Chargers,                    76                  ,                    4839                  ,                    41                  ,                    54                  ,                    32                  ,                    27.5                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2015
Ravens,                    74                  ,                    4753                  ,                    63                  ,                    85.1                  ,                    9                  ,                    25.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2015
Cowboys,                    73                  ,                    4620                  ,                    49                  ,                    67.1                  ,                    23                  ,                    23.9                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2015
Dolphins,                    72                  ,                    4396                  ,                    44                  ,                    61.1                  ,                    23                  ,                    22.1                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2015
Browns,                    70                  ,                    4459                  ,                    27                  ,                    38.6                  ,                    42                  ,                    21.3                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2015
Rams,                    68                  ,                    4431                  ,                    41                  ,                    60.3                  ,                    27                  ,                    22.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2015
Titans,                    66                  ,                    4272                  ,                    43                  ,                    65.2                  ,                    22                  ,                    27.2                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2015
Niners,                    63                  ,                    3975                  ,                    38                  ,                    60.3                  ,                    23                  ,                    25.7                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2015
Falcons,                    112                  ,                    7236                  ,                    72                  ,                    64.3                  ,                    40                  ,                    22.6                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2016
Patriots,                    93                  ,                    5961                  ,                    52                  ,                    55.9                  ,                    40                  ,                    19.3                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2016
Saints,                    93                  ,                    5693                  ,                    49                  ,                    52.7                  ,                    40                  ,                    22.4                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2016
Chargers,                    92                  ,                    5822                  ,                    67                  ,                    72.8                  ,                    21                  ,                    24                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2016
Redskins,                    92                  ,                    5790                  ,                    65                  ,                    70.6                  ,                    25                  ,                    21.4                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2016
Cowboys,                    91                  ,                    5827                  ,                    57                  ,                    62.6                  ,                    33                  ,                    22.6                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2016
Packers,                    89                  ,                    5608                  ,                    46                  ,                    51.7                  ,                    41                  ,                    26.3                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2016
Colts,                    89                  ,                    5697                  ,                    49                  ,                    55.1                  ,                    39                  ,                    21.2                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2016
Raiders,                    88                  ,                    5630                  ,                    43                  ,                    48.9                  ,                    45                  ,                    19.9                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2016
Panthers,                    87                  ,                    5566                  ,                    63                  ,                    72.4                  ,                    23                  ,                    18.1                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2016
Eagles,                    87                  ,                    5439                  ,                    46                  ,                    52.9                  ,                    38                  ,                    18.7                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2016
Seahawks,                    87                  ,                    5542                  ,                    54                  ,                    62.1                  ,                    32                  ,                    20.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2016
Chiefs,                    86                  ,                    5394                  ,                    48                  ,                    55.8                  ,                    35                  ,                    24.1                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2016
Steelers,                    86                  ,                    5424                  ,                    52                  ,                    60.5                  ,                    29                  ,                    24.7                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2016
Bills,                    84                  ,                    5074                  ,                    35                  ,                    41.7                  ,                    46                  ,                    21.7                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2016
Titans,                    83                  ,                    5176                  ,                    58                  ,                    69.9                  ,                    21                  ,                    22                  ,                    3                  ,                    0                  ,                    2                  ,                    0                  ,2016
Cardinals,                    83                  ,                    5220                  ,                    52                  ,                    62.6                  ,                    29                  ,                    23.1                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2016
Ravens,                    81                  ,                    5137                  ,                    52                  ,                    64.2                  ,                    27                  ,                    20.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2016
Broncos,                    81                  ,                    4969                  ,                    51                  ,                    63                  ,                    26                  ,                    20.2                  ,                    3                  ,                    1                  ,                    1                  ,                    1                  ,2016
Buccaneers,                    81                  ,                    5115                  ,                    52                  ,                    64.2                  ,                    25                  ,                    23.3                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2016
Lions,                    80                  ,                    4933                  ,                    53                  ,                    66.2                  ,                    23                  ,                    21.5                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2016
Vikings,                    79                  ,                    4932                  ,                    38                  ,                    48.1                  ,                    38                  ,                    25.8                  ,                    3                  ,                    1                  ,                    1                  ,                    1                  ,2016
Bengals,                    77                  ,                    4854                  ,                    36                  ,                    46.8                  ,                    40                  ,                    22.3                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2016
Jaguars,                    77                  ,                    4724                  ,                    60                  ,                    77.9                  ,                    13                  ,                    21                  ,                    4                  ,                    0                  ,                    2                  ,                    0                  ,2016
Texans,                    76                  ,                    4590                  ,                    23                  ,                    30.3                  ,                    48                  ,                    23.6                  ,                    4                  ,                    1                  ,                    1                  ,                    1                  ,2016
Dolphins,                    74                  ,                    4768                  ,                    43                  ,                    58.1                  ,                    31                  ,                    20.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2016
Giants,                    72                  ,                    4511                  ,                    37                  ,                    51.4                  ,                    32                  ,                    22.8                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2016
49ers,                    72                  ,                    4320                  ,                    24                  ,                    33.3                  ,                    44                  ,                    19.8                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2016
Jets,                    70                  ,                    4425                  ,                    39                  ,                    55.7                  ,                    29                  ,                    22.9                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2016
Browns,                    66                  ,                    4100                  ,                    38                  ,                    57.6                  ,                    24                  ,                    21.2                  ,                    3                  ,                    1                  ,                    2                  ,                    0                  ,2016
Bears,                    65                  ,                    4022                  ,                    26                  ,                    40                  ,                    36                  ,                    21.6                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2016
Rams,                    59                  ,                    3794                  ,                    36                  ,                    61                  ,                    22                  ,                    19.6                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2016
Rams,                    103                  ,                    6658                  ,                    78                  ,                    75.7                  ,                    23                  ,                    22.6                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2017
