Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Vikings,                    16                  ,                    11                  ,                    0                  ,                    3                  ,                    8                  ,2012
Giants,                    16                  ,                    14                  ,                    1                  ,                    5                  ,                    8                  ,2012
Falcons,                    15                  ,                    11                  ,                    1                  ,                    4                  ,                    8                  ,2012
Dolphins,                    15                  ,                    5                  ,                    0                  ,                    6                  ,                    3                  ,2012
Steelers,                    15                  ,                    10                  ,                    0                  ,                    5                  ,                    6                  ,2012
Niners,                    15                  ,                    11                  ,                    1                  ,                    7                  ,                    5                  ,2012
Cowboys,                    14                  ,                    9                  ,                    2                  ,                    3                  ,                    4                  ,2012
Chiefs,                    14                  ,                    6                  ,                    1                  ,                    6                  ,                    7                  ,2012
Jets,                    14                  ,                    11                  ,                    1                  ,                    3                  ,                    7                  ,2012
Titans,                    13                  ,                    5                  ,                    1                  ,                    4                  ,                    6                  ,2012
Eagles,                    13                  ,                    5                  ,                    0                  ,                    0                  ,                    7                  ,2012
Cardinals,                    13                  ,                    10                  ,                    1                  ,                    4                  ,                    5                  ,2012
Jaguars,                    12                  ,                    11                  ,                    0                  ,                    2                  ,                    4                  ,2012
Rams,                    12                  ,                    4                  ,                    1                  ,                    2                  ,                    4                  ,2012
Redskins,                    12                  ,                    9                  ,                    1                  ,                    3                  ,                    7                  ,2012
Lions,                    11                  ,                    6                  ,                    0                  ,                    3                  ,                    4                  ,2012
Saints,                    11                  ,                    11                  ,                    0                  ,                    2                  ,                    6                  ,2012
Buccaneers,                    11                  ,                    8                  ,                    0                  ,                    4                  ,                    3                  ,2012
Ravens,                    10                  ,                    12                  ,                    0                  ,                    3                  ,                    11                  ,2012
Raiders,                    9                  ,                    8                  ,                    0                  ,                    6                  ,                    3                  ,2012
Packers,                    8                  ,                    5                  ,                    1                  ,                    4                  ,                    3                  ,2012
Colts,                    6                  ,                    3                  ,                    0                  ,                    3                  ,                    4                  ,2012
Rams,                    21                  ,                    15                  ,                    3                  ,                    3                  ,                    8                  ,2013
Bears,                    19                  ,                    8                  ,                    1                  ,                    5                  ,                    11                  ,2013
Colts,                    19                  ,                    12                  ,                    0                  ,                    0                  ,                    8                  ,2013
Raiders,                    19                  ,                    12                  ,                    2                  ,                    7                  ,                    6                  ,2013
Seahawks,                    17                  ,                    10                  ,                    1                  ,                    4                  ,                    7                  ,2013
Broncos,                    16                  ,                    9                  ,                    1                  ,                    4                  ,                    9                  ,2013
Packers,                    16                  ,                    11                  ,                    2                  ,                    3                  ,                    3                  ,2013
Steelers,                    16                  ,                    10                  ,                    0                  ,                    5                  ,                    7                  ,2013
Jaguars,                    15                  ,                    10                  ,                    1                  ,                    2                  ,                    10                  ,2013
Giants,                    15                  ,                    12                  ,                    0                  ,                    4                  ,                    6                  ,2013
Buccaneers,                    15                  ,                    10                  ,                    0                  ,                    5                  ,                    6                  ,2013
Ravens,                    14                  ,                    7                  ,                    0                  ,                    6                  ,                    6                  ,2013
Titans,                    14                  ,                    12                  ,                    2                  ,                    5                  ,                    9                  ,2013
Falcons,                    13                  ,                    10                  ,                    1                  ,                    6                  ,                    5                  ,2013
Bengals,                    13                  ,                    11                  ,                    1                  ,                    5                  ,                    4                  ,2013
Cowboys,                    13                  ,                    13                  ,                    3                  ,                    4                  ,                    4                  ,2013
Chiefs,                    13                  ,                    15                  ,                    2                  ,                    4                  ,                    4                  ,2013
Saints,                    13                  ,                    7                  ,                    0                  ,                    4                  ,                    3                  ,2013
Eagles,                    13                  ,                    12                  ,                    1                  ,                    3                  ,                    15                  ,2013
Bills,                    12                  ,                    6                  ,                    1                  ,                    3                  ,                    7                  ,2013
Vikings,                    12                  ,                    8                  ,                    1                  ,                    4                  ,                    7                  ,2013
Niners,                    12                  ,                    10                  ,                    3                  ,                    2                  ,                    6                  ,2013
Redskins,                    12                  ,                    9                  ,                    1                  ,                    5                  ,                    8                  ,2013
Panthers,                    11                  ,                    9                  ,                    0                  ,                    3                  ,                    5                  ,2013
Lions,                    11                  ,                    7                  ,                    1                  ,                    1                  ,                    10                  ,2013
Patriots,                    11                  ,                    12                  ,                    1                  ,                    5                  ,                    6                  ,2013
Cardinals,                    11                  ,                    9                  ,                    1                  ,                    2                  ,                    6                  ,2013
Chargers,                    11                  ,                    6                  ,                    0                  ,                    4                  ,                    4                  ,2013
Texans,                    10                  ,                    4                  ,                    0                  ,                    1                  ,                    7                  ,2013
Dolphins,                    10                  ,                    6                  ,                    0                  ,                    0                  ,                    5                  ,2013
Jets,                    10                  ,                    2                  ,                    0                  ,                    2                  ,                    5                  ,2013
Browns,                    8                  ,                    7                  ,                    1                  ,                    2                  ,                    4                  ,2013
Eagles,                    24                  ,                    16                  ,                    2                  ,                    4                  ,                    10                  ,2014
Panthers,                    22                  ,                    12                  ,                    0                  ,                    8                  ,                    6                  ,2014
Colts,                    21                  ,                    13                  ,                    1                  ,                    7                  ,                    9                  ,2014
Jaguars,                    19                  ,                    13                  ,                    2                  ,                    5                  ,                    4                  ,2014
