Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Jets,                    17                  ,                    8                  ,                    0                  ,                    4                  ,                    11                  ,2020
Cowboys,                    16                  ,                    12                  ,                    2                  ,                    2                  ,                    9                  ,2020
Dolphins,                    16                  ,                    10                  ,                    2                  ,                    5                  ,                    5                  ,2020
Bills,                    15                  ,                    10                  ,                    1                  ,                    5                  ,                    5                  ,2020
Bears,                    15                  ,                    8                  ,                    1                  ,                    4                  ,                    6                  ,2020
Lions,                    15                  ,                    5                  ,                    0                  ,                    7                  ,                    5                  ,2020
Cardinals,                    15                  ,                    10                  ,                    0                  ,                    1                  ,                    5                  ,2020
Buccaneers,                    15                  ,                    10                  ,                    0                  ,                    4                  ,                    5                  ,2020
Panthers,                    14                  ,                    15                  ,                    3                  ,                    3                  ,                    6                  ,2020
Colts,                    14                  ,                    10                  ,                    0                  ,                    6                  ,                    4                  ,2020
Giants,                    14                  ,                    11                  ,                    1                  ,                    8                  ,                    10                  ,2020
Eagles,                    14                  ,                    10                  ,                    1                  ,                    3                  ,                    5                  ,2020
Seahawks,                    14                  ,                    8                  ,                    0                  ,                    2                  ,                    6                  ,2020
FootballTeam,                    14                  ,                    7                  ,                    1                  ,                    1                  ,                    7                  ,2020
Chiefs,                    13                  ,                    5                  ,                    0                  ,                    8                  ,                    1                  ,2020
Steelers,                    13                  ,                    8                  ,                    0                  ,                    4                  ,                    6                  ,2020
49ers,                    13                  ,                    8                  ,                    0                  ,                    7                  ,                    8                  ,2020
Broncos,                    12                  ,                    6                  ,                    0                  ,                    4                  ,                    6                  ,2020
Packers,                    12                  ,                    7                  ,                    1                  ,                    5                  ,                    3                  ,2020
Titans,                    12                  ,                    8                  ,                    1                  ,                    5                  ,                    10                  ,2020
Jaguars,                    12                  ,                    5                  ,                    0                  ,                    4                  ,                    4                  ,2020
Rams,                    12                  ,                    8                  ,                    1                  ,                    1                  ,                    7                  ,2020
Vikings,                    11                  ,                    7                  ,                    0                  ,                    2                  ,                    5                  ,2020
Bengals,                    10                  ,                    6                  ,                    0                  ,                    6                  ,                    4                  ,2020
Texans,                    9                  ,                    6                  ,                    0                  ,                    1                  ,                    4                  ,2020
Raiders,                    8                  ,                    5                  ,                    0                  ,                    3                  ,                    2                  ,2020
Saints,                    7                  ,                    8                  ,                    0                  ,                    0                  ,                    7                  ,2020
Chargers,                    6                  ,                    7                  ,                    0                  ,                    2                  ,                    8                  ,2020
Patriots,                    5                  ,                    4                  ,                    1                  ,                    2                  ,                    2                  ,2020
49ers,                    22                  ,                    11                  ,                    0                  ,                    9                  ,                    11                  ,2021
Cardinals,                    21                  ,                    14                  ,                    1                  ,                    6                  ,                    6                  ,2021
Chargers,                    19                  ,                    10                  ,                    1                  ,                    5                  ,                    4                  ,2021
Colts,                    18                  ,                    14                  ,                    1                  ,                    4                  ,                    10                  ,2021
Chiefs,                    18                  ,                    13                  ,                    2                  ,                    5                  ,                    10                  ,2021
Steelers,                    18                  ,                    8                  ,                    0                  ,                    7                  ,                    7                  ,2021
Bengals,                    17                  ,                    8                  ,                    1                  ,                    6                  ,                    6                  ,2021
Texans,                    16                  ,                    7                  ,                    0                  ,                    4                  ,                    10                  ,2021
Buccaneers,                    16                  ,                    12                  ,                    0                  ,                    8                  ,                    4                  ,2021
Rams,                    15                  ,                    6                  ,                    0                  ,                    4                  ,                    6                  ,2021
Falcons,                    14                  ,                    8                  ,                    0                  ,                    3                  ,                    8                  ,2021
Panthers,                    14                  ,                    7                  ,                    0                  ,                    2                  ,                    9                  ,2021
Bears,                    14                  ,                    8                  ,                    1                  ,                    2                  ,                    5                  ,2021
Dolphins,                    14                  ,                    12                  ,                    2                  ,                    8                  ,                    6                  ,2021
Cowboys,                    13                  ,                    8                  ,                    1                  ,                    4                  ,                    3                  ,2021
Titans,                    13                  ,                    6                  ,                    1                  ,                    7                  ,                    4                  ,2021
Raiders,                    13                  ,                    9                  ,                    0                  ,                    3                  ,                    7                  ,2021
Vikings,                    13                  ,                    8                  ,                    0                  ,                    3                  ,                    4                  ,2021
Saints,                    13                  ,                    7                  ,                    0                  ,                    4                  ,                    4                  ,2021
Jets,                    13                  ,                    7                  ,                    0                  ,                    5                  ,                    10                  ,2021
Eagles,                    13                  ,                    4                  ,                    3                  ,                    3                  ,                    6                  ,2021
Bills,                    12                  ,                    11                  ,                    0                  ,                    4                  ,                    7                  ,2021
Browns,                    12                  ,                    6                  ,                    1                  ,                    4                  ,                    6                  ,2021
Giants,                    12                  ,                    7                  ,                    0                  ,                    4                  ,                    3                  ,2021
Patriots,                    11                  ,                    6                  ,                    0                  ,                    3                  ,                    6                  ,2021
Lions,                    10                  ,                    8                  ,                    0                  ,                    6                  ,                    3                  ,2021
Packers,                    10                  ,                    8                  ,                    0                  ,                    0                  ,                    5                  ,2021
Jaguars,                    9                  ,                    2                  ,                    0                  ,                    3                  ,                    4                  ,2021
Seahawks,                    9                  ,                    7                  ,                    0                  ,                    1                  ,                    5                  ,2021
FootballTeam,                    9                  ,                    7                  ,                    0                  ,                    5                  ,                    6                  ,2021
Ravens,                    8                  ,                    6                  ,                    0                  ,                    1                  ,                    2                  ,2021
Broncos,                    6                  ,                    6                  ,                    0                  ,                    0                  ,                    4                  ,2021
Cowboys,                    22                  ,                    17                  ,                    3                  ,                    3                  ,                    10                  ,2022
Giants,                    20                  ,                    13                  ,                    1                  ,                    4                  ,                    7                  ,2022
Seahawks,                    18                  ,                    11                  ,                    0                  ,                    4                  ,                    6                  ,2022
Jaguars,                    17                  ,                    13                  ,                    2                  ,                    4                  ,                    9                  ,2022
Broncos,                    16                  ,                    8                  ,                    0                  ,                    5                  ,                    7                  ,2022
49ers,                    16                  ,                    10                  ,                    1                  ,                    3                  ,                    5                  ,2022
Eagles,                    15                  ,                    10                  ,                    0                  ,                    1                  ,                    7                  ,2022
Chargers,                    15                  ,                    10                  ,                    0                  ,                    5                  ,                    6                  ,2022
Ravens,                    14                  ,                    10                  ,                    0                  ,                    7                  ,                    3                  ,2022
Bears,                    14                  ,                    9                  ,                    0                  ,                    4                  ,                    13                  ,2022
Bengals,                    14                  ,                    10                  ,                    1                  ,                    6                  ,                    4                  ,2022
Lions,                    14                  ,                    10                  ,                    0                  ,                    7                  ,                    5                  ,2022
Texans,                    14                  ,                    11                  ,                    0                  ,                    3                  ,                    14                  ,2022
Colts,                    14                  ,                    11                  ,                    0                  ,                    6                  ,                    3                  ,2022
Dolphins,                    13                  ,                    6                  ,                    2                  ,                    5                  ,                    6                  ,2022
Patriots,                    13                  ,                    11                  ,                    2                  ,                    6                  ,                    5                  ,2022
Saints,                    13                  ,                    7                  ,                    0                  ,                    5                  ,                    7                  ,2022
Packers,                    12                  ,                    7                  ,                    0                  ,                    5                  ,                    6                  ,2022
Chiefs,                    12                  ,                    9                  ,                    0                  ,                    2                  ,                    4                  ,2022
Cardinals,                    12                  ,                    9                  ,                    2                  ,                    5                  ,                    11                  ,2022
Buccaneers,                    12                  ,                    10                  ,                    0                  ,                    8                  ,                    6                  ,2022
Bills,                    11                  ,                    10                  ,                    0                  ,                    1                  ,                    9                  ,2022
Browns,                    11                  ,                    9                  ,                    2                  ,                    4                  ,                    9                  ,2022
Titans,                    11                  ,                    6                  ,                    0                  ,                    1                  ,                    12                  ,2022
Vikings,                    11                  ,                    10                  ,                    1                  ,                    3                  ,                    6                  ,2022
Jets,                    11                  ,                    4                  ,                    0                  ,                    2                  ,                    4                  ,2022
Rams,                    10                  ,                    6                  ,                    0                  ,                    1                  ,                    5                  ,2022
Raiders,                    10                  ,                    7                  ,                    2                  ,                    4                  ,                    7                  ,2022
Panthers,                    9                  ,                    6                  ,                    1                  ,                    3                  ,                    6                  ,2022
Steelers,                    9                  ,                    3                  ,                    0                  ,                    2                  ,                    6                  ,2022
Falcons,                    8                  ,                    6                  ,                    0                  ,                    4                  ,                    6                  ,2022
Commanders,                    8                  ,                    9                  ,                    1                  ,                    6                  ,                    3                  ,2022
Vikings,                    22                  ,                    11                  ,                    2                  ,                    9                  ,                    7                  ,2023
Falcons,                    19                  ,                    8                  ,                    0                  ,                    3                  ,                    9                  ,2023
Broncos,                    19                  ,                    15                  ,                    1                  ,                    2                  ,                    12                  ,2023
Giants,                    19                  ,                    13                  ,                    0                  ,                    8                  ,                    6                  ,2023
Steelers,                    19                  ,                    11                  ,                    1                  ,                    6                  ,                    8                  ,2023
Buccaneers,                    18                  ,                    12                  ,                    0                  ,                    6                  ,                    8                  ,2023
Colts,                    17                  ,                    9                  ,                    1                  ,                    4                  ,                    7                  ,2023
Ravens,                    16                  ,                    13                  ,                    0                  ,                    3                  ,                    4                  ,2023
Eagles,                    16                  ,                    8                  ,                    1                  ,                    6                  ,                    5                  ,2023
Texans,                    15                  ,                    10                  ,                    1                  ,                    6                  ,                    5                  ,2023
Chiefs,                    15                  ,                    9                  ,                    2                  ,                    6                  ,                    7                  ,2023
Dolphins,                    15                  ,                    12                  ,                    0                  ,                    6                  ,                    5                  ,2023
Patriots,                    15                  ,                    8                  ,                    1                  ,                    3                  ,                    11                  ,2023
Chargers,                    15                  ,                    12                  ,                    0                  ,                    3                  ,                    8                  ,2023
Bills,                    14                  ,                    11                  ,                    0                  ,                    7                  ,                    4                  ,2023
Browns,                    14                  ,                    10                  ,                    1                  ,                    2                  ,                    5                  ,2023
Cowboys,                    14                  ,                    8                  ,                    1                  ,                    5                  ,                    8                  ,2023
Raiders,                    14                  ,                    9                  ,                    2                  ,                    4                  ,                    6                  ,2023
Jets,                    14                  ,                    10                  ,                    1                  ,                    5                  ,                    13                  ,2023
Bears,                    13                  ,                    6                  ,                    0                  ,                    4                  ,                    6                  ,2023
Lions,                    13                  ,                    6                  ,                    0                  ,                    3                  ,                    4                  ,2023
Titans,                    13                  ,                    8                  ,                    0                  ,                    2                  ,                    3                  ,2023
Seahawks,                    13                  ,                    8                  ,                    0                  ,                    5                  ,                    3                  ,2023
Jaguars,                    12                  ,                    11                  ,                    0                  ,                    5                  ,                    4                  ,2023
Bengals,                    11                  ,                    9                  ,                    0                  ,                    4                  ,                    6                  ,2023
Packers,                    10                  ,                    11                  ,                    1                  ,                    1                  ,                    5                  ,2023
49ers,                    10                  ,                    6                  ,                    0                  ,                    6                  ,                    4                  ,2023
Commanders,                    10                  ,                    10                  ,                    0                  ,                    3                  ,                    8                  ,2023
Saints,                    8                  ,                    11                  ,                    1                  ,                    4                  ,                    4                  ,2023
Rams,                    7                  ,                    5                  ,                    0                  ,                    2                  ,                    7                  ,2023
Cardinals,                    6                  ,                    6                  ,                    1                  ,                    2                  ,                    4                  ,2023
Panthers,                    5                  ,                    3                  ,                    0                  ,                    3                  ,                    4                  ,2023
Eagles,                    22                  ,                    13                  ,                    0                  ,                    6                  ,                    15                  ,2024
Steelers,                    22                  ,                    15                  ,                    1                  ,                    4                  ,                    6                  ,2024
Bills,                    18                  ,                    16                  ,                    1                  ,                    4                  ,                    11                  ,2024
Cowboys,                    18                  ,                    9                  ,                    0                  ,                    6                  ,                    3                  ,2024
Colts,                    18                  ,                    9                  ,                    1                  ,                    6                  ,                    7                  ,2024
Bears,                    17                  ,                    13                  ,                    0                  ,                    6                  ,                    5                  ,2024
Cardinals,                    17                  ,                    8                  ,                    0                  ,                    7                  ,                    7                  ,2024
Packers,                    16                  ,                    14                  ,                    0                  ,                    7                  ,                    6                  ,2024
Giants,                    16                  ,                    10                  ,                    0                  ,                    5                  ,                    9                  ,2024
Buccaneers,                    16                  ,                    11                  ,                    1                  ,                    6                  ,                    10                  ,2024
Commanders,                    16                  ,                    10                  ,                    0                  ,                    2                  ,                    9                  ,2024
Chiefs,                    15                  ,                    7                  ,                    1                  ,                    4                  ,                    4                  ,2024
Bengals,                    14                  ,                    10                  ,                    0                  ,                    2                  ,                    9                  ,2024
Patriots,                    14                  ,                    5                  ,                    1                  ,                    2                  ,                    11                  ,2024
Jets,                    14                  ,                    10                  ,                    0                  ,                    3                  ,                    7                  ,2024
Seahawks,                    14                  ,                    4                  ,                    2                  ,                    1                  ,                    10                  ,2024
Lions,                    13                  ,                    7                  ,                    0                  ,                    7                  ,                    7                  ,2024
49ers,                    13                  ,                    6                  ,                    0                  ,                    4                  ,                    8                  ,2024
Falcons,                    12                  ,                    6                  ,                    1                  ,                    6                  ,                    9                  ,2024
Ravens,                    12                  ,                    5                  ,                    0                  ,                    4                  ,                    5                  ,2024
Browns,                    12                  ,                    8                  ,                    1                  ,                    1                  ,                    6                  ,2024
Broncos,                    12                  ,                    9                  ,                    2                  ,                    4                  ,                    7                  ,2024
Vikings,                    12                  ,                    9                  ,                    1                  ,                    2                  ,                    5                  ,2024
Saints,                    12                  ,                    3                  ,                    0                  ,                    2                  ,                    5                  ,2024
Texans,                    11                  ,                    9                  ,                    2                  ,                    3                  ,                    8                  ,2024
Titans,                    10                  ,                    6                  ,                    0                  ,                    3                  ,                    5                  ,2024
Rams,                    10                  ,                    7                  ,                    1                  ,                    2                  ,                    3                  ,2024
Panthers,                    8                  ,                    8                  ,                    0                  ,                    4                  ,                    6                  ,2024
Dolphins,                    8                  ,                    6                  ,                    0                  ,                    1                  ,                    5                  ,2024
Chargers,                    8                  ,                    6                  ,                    0                  ,                    1                  ,                    6                  ,2024
Raiders,                    6                  ,                    3                  ,                    0                  ,                    3                  ,                    4                  ,2024
Jaguars,                    5                  ,                    3                  ,                    1                  ,                    0                  ,                    3                  ,2024
