Team,Sck,Comb,Asst,Solo,year
Bears,                    30                  ,                    1022                  ,                    353                  ,                    615                  ,2023
Panthers,                    27                  ,                    1061                  ,                    414                  ,                    597                  ,2023
Broncos,                    63                  ,                    1105                  ,                    426                  ,                    648                  ,2024
Ravens,                    54                  ,                    1029                  ,                    399                  ,                    618                  ,2024
Cowboys,                    52                  ,                    1068                  ,                    410                  ,                    690                  ,2024
Texans,                    49                  ,                    989                  ,                    349                  ,                    640                  ,2024
Vikings,                    49                  ,                    1074                  ,                    415                  ,                    625                  ,2024
Chargers,                    46                  ,                    1030                  ,                    380                  ,                    642                  ,2024
Buccaneers,                    46                  ,                    1030                  ,                    364                  ,                    648                  ,2024
Packers,                    45                  ,                    1059                  ,                    408                  ,                    646                  ,2024
Giants,                    45                  ,                    1152                  ,                    502                  ,                    610                  ,2024
Seahawks,                    45                  ,                    1095                  ,                    434                  ,                    656                  ,2024
Jets,                    43                  ,                    1070                  ,                    383                  ,                    665                  ,2024
Commanders,                    43                  ,                    1038                  ,                    414                  ,                    639                  ,2024
Browns,                    41                  ,                    1039                  ,                    373                  ,                    636                  ,2024
Eagles,                    41                  ,                    980                  ,                    373                  ,                    612                  ,2024
Cardinals,                    41                  ,                    1128                  ,                    481                  ,                    604                  ,2024
Bears,                    40                  ,                    1074                  ,                    412                  ,                    625                  ,2024
Steelers,                    40                  ,                    1038                  ,                    403                  ,                    641                  ,2024
Bills,                    39                  ,                    1085                  ,                    405                  ,                    623                  ,2024
Chiefs,                    39                  ,                    999                  ,                    353                  ,                    649                  ,2024
Saints,                    39                  ,                    1079                  ,                    389                  ,                    709                  ,2024
Rams,                    38                  ,                    1111                  ,                    474                  ,                    586                  ,2024
Raiders,                    38                  ,                    1082                  ,                    442                  ,                    620                  ,2024
Lions,                    37                  ,                    933                  ,                    317                  ,                    604                  ,2024
49ers,                    37                  ,                    1042                  ,                    400                  ,                    635                  ,2024
Bengals,                    36                  ,                    1100                  ,                    441                  ,                    634                  ,2024
Colts,                    36                  ,                    1211                  ,                    480                  ,                    665                  ,2024
Dolphins,                    35                  ,                    1003                  ,                    396                  ,                    588                  ,2024
Jaguars,                    34                  ,                    1132                  ,                    419                  ,                    697                  ,2024
Panthers,                    32                  ,                    1224                  ,                    531                  ,                    691                  ,2024
Titans,                    32                  ,                    1058                  ,                    414                  ,                    634                  ,2024
Falcons,                    31                  ,                    1092                  ,                    415                  ,                    666                  ,2024
Patriots,                    28                  ,                    1118                  ,                    463                  ,                    628                  ,2024
